strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_chase,1h,80,hold_168h_trail20,1454,40.8,3.05,-3.31,134.9,1081.6,-100.0,2.24,1.45
trend_chase,1h,80,hold_336h_trail15_TP30,1454,41.2,1.96,-3.8,157.8,1039.0,-100.0,2.23,1.29
trend_chase,1h,80,hold_336h_trail20_cut5h,1454,33.1,2.73,-4.83,155.0,47.2,-100.0,2.07,1.4
trend_chase,1h,85,hold_24h_trail10,949,40.4,1.44,-1.87,21.4,4943.1,-99.1,1.52,1.37
trend_chase,1h,85,hold_72h_trail10_TP20,949,42.0,0.74,-2.43,47.2,-79.5,-100.0,0.96,1.15
trend_chase,1h,85,hold_168h_trail15_TP30,949,40.5,1.66,-3.72,105.9,194.7,-100.0,1.62,1.27
trend_chase,1h,85,hold_168h_trail20,949,40.4,2.73,-4.24,132.4,-56.4,-100.0,1.67,1.39
trend_chase,1h,85,hold_336h_trail15_TP30,949,42.4,2.46,-3.67,157.5,35518.3,-99.9,2.21,1.37
trend_chase,1h,85,hold_336h_trail20_cut5h,949,33.7,2.83,-4.9,151.3,394.0,-100.0,1.77,1.42
trend_chase,1h,90,hold_24h_trail10,575,39.0,2.08,-2.65,20.6,5747.2,-96.0,1.44,1.49
trend_chase,1h,90,hold_72h_trail10_TP20,575,40.9,0.84,-2.97,42.8,-59.9,-99.8,0.81,1.17
trend_chase,1h,90,hold_168h_trail15_TP30,575,39.3,2.05,-4.81,94.5,665.7,-99.3,1.48,1.32
trend_chase,1h,90,hold_168h_trail20,575,40.9,3.23,-4.64,123.8,93.4,-99.9,1.45,1.45
trend_chase,1h,90,hold_336h_trail15_TP30,575,41.6,2.65,-4.63,138.6,3433.0,-99.7,1.77,1.38
trend_chase,1h,90,hold_336h_trail20_cut5h,575,33.7,3.0,-5.14,126.6,417.5,-99.9,1.44,1.45
trend_pullback,1h,60,hold_24h_trail10,7021,42.7,0.86,-1.43,21.0,35.2,-100.0,3.0,1.22
trend_pullback,1h,60,hold_72h_trail10_TP20,7021,39.8,0.97,-3.11,39.7,-97.0,-100.0,3.33,1.2
trend_pullback,1h,60,hold_168h_trail15_TP30,7021,41.1,2.63,-4.3,85.1,2.5037534011801217e+21,-100.0,6.26,1.39
trend_pullback,1h,60,hold_168h_trail20,7021,42.6,4.37,-4.08,118.2,2.977474545385322e+24,-100.0,6.56,1.57
trend_pullback,1h,60,hold_336h_trail15_TP30,7021,39.7,2.73,-4.98,108.6,2000655639081714.8,-100.0,6.16,1.38
trend_pullback,1h,60,hold_336h_trail20_cut5h,7021,33.5,4.8,-5.1,129.4,5.898953047736428e+32,-100.0,6.68,1.65
trend_pullback,1h,70,hold_24h_trail10,7877,42.8,0.77,-1.45,21.1,-92.4,-100.0,2.93,1.2
trend_pullback,1h,70,hold_72h_trail10_TP20,7877,39.5,1.0,-3.08,39.8,-0.7,-100.0,3.63,1.2
trend_pullback,1h,70,hold_168h_trail15_TP30,7877,40.8,2.48,-4.38,85.4,8.002084483822556e+19,-100.0,6.31,1.37
trend_pullback,1h,70,hold_168h_trail20,7877,42.9,4.4,-3.93,119.6,7.539542691869467e+28,-100.0,7.01,1.57
trend_pullback,1h,70,hold_336h_trail15_TP30,7877,39.5,2.69,-5.07,109.2,8.722095510212728e+16,-100.0,6.45,1.37
trend_pullback,1h,70,hold_336h_trail20_cut5h,7877,33.3,4.9,-5.03,130.1,1.5679668442102985e+42,-100.0,7.33,1.68
trend_pullback,1h,75,hold_24h_trail10,8146,42.3,0.7,-1.55,21.0,-100.0,-100.0,2.7,1.18
trend_pullback,1h,75,hold_72h_trail10_TP20,8146,38.8,0.89,-3.22,39.4,-100.0,-100.0,3.29,1.18
trend_pullback,1h,75,hold_168h_trail15_TP30,8146,40.7,2.5,-4.52,84.7,2.1740857246955914e+21,-100.0,6.46,1.37
trend_pullback,1h,75,hold_168h_trail20,8146,42.9,4.68,-3.81,119.4,7.174131669661179e+36,-100.0,7.48,1.61
trend_pullback,1h,75,hold_336h_trail15_TP30,8146,39.7,2.83,-5.08,108.3,4.38742396324294e+23,-100.0,6.93,1.4
trend_pullback,1h,75,hold_336h_trail20_cut5h,8146,33.2,5.58,-4.94,127.5,1.494538940866466e+60,-100.0,8.23,1.78
trend_pullback,1h,80,hold_24h_trail10,6523,42.3,0.75,-1.57,20.9,-99.7,-100.0,2.53,1.19
trend_pullback,1h,80,hold_72h_trail10_TP20,6523,39.0,0.97,-3.13,38.6,-99.5,-100.0,3.16,1.19
trend_pullback,1h,80,hold_168h_trail15_TP30,6523,40.8,2.59,-4.51,82.8,3.2364603451172777e+18,-100.0,5.95,1.38
trend_pullback,1h,80,hold_168h_trail20,6523,43.1,4.89,-3.86,117.8,3.130337395319152e+32,-100.0,6.94,1.63
trend_pullback,1h,80,hold_336h_trail15_TP30,6523,39.7,2.94,-5.03,105.4,3.1152951674605163e+21,-100.0,6.43,1.41
trend_pullback,1h,80,hold_336h_trail20_cut5h,6523,33.0,5.78,-4.93,121.5,1.824838027534392e+54,-100.0,7.67,1.82
trend_pullback,1h,85,hold_24h_trail10,5098,42.7,0.86,-1.55,20.7,-88.4,-100.0,2.47,1.21
trend_pullback,1h,85,hold_72h_trail10_TP20,5098,39.4,1.02,-3.09,37.6,-98.6,-100.0,2.87,1.2
trend_pullback,1h,85,hold_168h_trail15_TP30,5098,40.8,2.75,-4.62,80.2,1.3179187677790062e+17,-100.0,5.51,1.4
trend_pullback,1h,85,hold_168h_trail20,5098,43.0,5.19,-4.02,115.4,3.98853570988716e+28,-100.0,6.34,1.66
trend_pullback,1h,85,hold_336h_trail15_TP30,5098,40.4,3.21,-5.05,101.6,1.371344603721776e+22,-100.0,6.14,1.45
trend_pullback,1h,85,hold_336h_trail20_cut5h,5098,32.8,6.17,-5.03,115.6,4.329792543464887e+46,-100.0,7.0,1.87
trend_pullback,1h,90,hold_24h_trail10,3030,41.5,0.56,-1.78,20.6,-100.0,-100.0,1.24,1.13
trend_pullback,1h,90,hold_72h_trail10_TP20,3030,39.6,0.78,-3.29,37.8,-100.0,-100.0,1.68,1.15
trend_pullback,1h,90,hold_168h_trail15_TP30,3030,41.3,2.39,-4.39,81.8,804553.3,-100.0,3.71,1.34
trend_pullback,1h,90,hold_168h_trail20,3030,43.1,4.84,-4.02,116.8,18545631056111.0,-100.0,4.6,1.61
trend_pullback,1h,90,hold_336h_trail15_TP30,3030,40.7,2.84,-4.77,104.4,1230570675.7,-100.0,4.22,1.39
trend_pullback,1h,90,hold_336h_trail20_cut5h,3030,32.5,5.52,-4.96,115.1,1.3464830078177831e+23,-100.0,5.06,1.78
