symbol,tier,listing_days,r2_btc,beta_btc,realized_vol_annual,kurt_trimmed
JDUSDT,junk,198,0.04081120584049813,0.12366822988662787,0.2973267032595698,9.238948526121387
JOEUSDT,trend,1093,0.3887947653613765,1.444268413269518,1.0829595277445565,4.429289704145057
JSTUSDT,trend,381,0.021880930933674853,0.19869109822892092,0.5637102343076651,5.350679366754093
JTOUSDT,trend,884,0.29623378956653296,1.35959075408526,1.2050563972825212,4.78154810046129
JUPUSDT,trend,833,0.3832508662002296,1.3986197701130958,1.090883719279343,3.869479080791517
KAIAUSDT,trend,1093,0.27739541280426167,1.082638575609164,0.9610774287478532,6.7861183249963215
KAITOUSDT,trend,448,0.16353577036217526,1.180760667752443,1.3223135280610712,7.65958275986189
KASUSDT,trend,776,0.368380816771452,1.18523143801875,0.9127997038126731,4.296392269736253
KATUSDT,junk,57,0.0030922463157752227,0.4314497172843445,2.7761678287621256,13.84208396316532
KAVAUSDT,trend,1093,0.3731498040581674,1.1054917013184127,0.8461325371412849,4.3237216871161275
KERNELUSDT,trend,395,0.1834471069075385,1.342921416196568,1.3134588832254936,4.180579994456368
KGENUSDT,junk,218,0.02005243665839812,0.5642612553821412,1.9230524895435743,10.832820279722167
KITEUSDT,junk,197,0.0789835051780857,0.9010080880621981,1.5575274816460054,4.062616820189885
KLACUSDT,junk,16,,,,
KMNOUSDT,trend,581,0.3032894403712907,1.5006713817557216,1.2441758478137372,4.901038524288411
KNCUSDT,trend,1093,0.23483134245189607,1.02361644513139,0.9876060506298506,5.26933527113398
KOPNUSDT,junk,3,,,,
KSMUSDT,trend,1093,0.24971487197624598,1.184305365043684,1.108066973332129,4.685185116999983
KWEBUSDT,junk,50,0.07786949101859231,0.24492529519198109,0.30588526885594136,4.738584991229605
LABUSDT,junk,209,0.008599454731755206,0.6707646026152289,3.4537779877860753,11.627134410340831
LAUSDT,junk,344,0.05619345822593096,0.7728002968180494,1.393971782755629,5.8500049540454615
LAYERUSDT,trend,457,0.13475925336489372,0.9596090923775881,1.1753118519832637,6.870296115661033
LDOUSDT,trend,1093,0.3664077809641115,1.4063067611156794,1.0862311145320502,4.445820419207078
LIGHTUSDT,junk,229,0.026747014097634525,1.4870741500600133,4.34967370663713,10.650327444987981
LINEAUSDT,junk,255,0.25453246089953646,1.331983316498858,1.2126698788603951,5.098067313810774
LINKUSDT,trend,1093,0.4381862178183947,1.2277630900331113,0.867180960718267,4.484487467912179
LISTAUSDT,trend,693,0.26294843070982676,1.4879258526513577,1.3523335103869056,6.494433431783077
LITEUSDT,junk,29,,,,
LITUSDT,junk,141,0.24508055469664206,1.1742087544981903,1.204313205491087,3.360311209625958
LLYUSDT,junk,184,0.011711227024885827,0.07992293828202145,0.3609460283440494,8.141333118421574
LPTUSDT,trend,1008,0.17671471649543327,1.2793297141918492,1.4473708039468502,9.356512454914288
LQTYUSDT,trend,1093,0.3271524724683607,1.3699220287477776,1.1198123781541176,6.567648299859079
LSKUSDT,trend,751,0.26752153267098194,1.0480710070915635,0.9424018636286086,5.112703199748144
LTCUSDT,trend,1093,0.35747076608935324,0.9240262487890518,0.7225843658597808,6.05940680911123
LUMIAUSDT,trend,570,0.23616882444797996,1.3569820458974717,1.2770660255201671,4.22863110120989
LUNAUSDT,trend,1093,0.20898383184283323,1.1299009585596784,1.1556027082793585,7.809254534671463
LUNCUSDT,whale,1093,0.18576645895464317,1.0272896432907568,1.1143811987247614,10.119641834305629
LWLGUSDT,junk,3,,,,
