strategy,interval,score_th,rule,trail,tp,hold,n_full,win%_full,mean%_full,Sharpe_full,n_oos,win%_oos,mean%_oos,Sharpe_oos
trend_pullback,1h,70,h72_tr15_tp10,15,10,72,1834,56.5,1.56,2.16,1514,57.5,1.67,2.04
trend_pullback,1h,70,h72_tr15_tp20,15,20,72,1834,48.7,2.94,3.22,1514,49.4,3.32,3.18
trend_pullback,1h,70,h72_tr15_tpnone,15,none,72,1834,47.8,2.91,2.68,1514,48.3,3.16,2.55
trend_pullback,1h,70,h168_tr5_tp10,5,10,168,1834,43.6,1.03,1.77,1514,44.7,1.14,1.72
trend_pullback,1h,70,h168_tr5_tp20,5,20,168,1834,43.2,1.55,2.26,1514,44.3,1.71,2.18
trend_pullback,1h,70,h168_tr5_tpnone,5,none,168,1834,43.0,1.77,1.97,1514,43.9,2.05,1.95
trend_pullback,1h,70,h168_tr10_tp10,10,10,168,1834,49.3,1.29,1.83,1514,50.2,1.38,1.72
trend_pullback,1h,70,h168_tr10_tp20,10,20,168,1834,42.1,2.44,2.76,1514,42.5,2.69,2.68
trend_pullback,1h,70,h168_tr10_tpnone,10,none,168,1834,41.6,2.83,2.53,1514,41.9,3.15,2.45
trend_pullback,1h,70,h168_tr15_tp10,15,10,168,1834,59.9,1.93,2.45,1514,60.0,1.87,2.11
trend_pullback,1h,70,h168_tr15_tp20,15,20,168,1834,47.1,3.5,3.45,1514,47.4,3.83,3.32
trend_pullback,1h,70,h168_tr15_tpnone,15,none,168,1834,45.9,4.17,3.15,1514,46.0,4.55,2.98
trend_pullback,1h,80,h24_tr5_tp10,5,10,24,1490,42.3,0.84,1.55,1227,43.6,0.98,1.61
trend_pullback,1h,80,h24_tr5_tp20,5,20,24,1490,42.1,0.98,1.6,1227,43.4,1.25,1.78
trend_pullback,1h,80,h24_tr5_tpnone,5,none,24,1490,41.7,1.14,1.37,1227,43.0,1.51,1.53
trend_pullback,1h,80,h24_tr10_tp10,10,10,24,1490,49.5,1.2,1.97,1227,50.2,1.31,1.91
trend_pullback,1h,80,h24_tr10_tp20,10,20,24,1490,45.8,1.38,1.94,1227,46.4,1.65,2.04
trend_pullback,1h,80,h24_tr10_tpnone,10,none,24,1490,45.4,1.64,1.77,1227,45.9,1.92,1.78
trend_pullback,1h,80,h24_tr15_tp10,15,10,24,1490,52.5,1.51,2.4,1227,53.5,1.61,2.28
trend_pullback,1h,80,h24_tr15_tp20,15,20,24,1490,48.1,1.69,2.29,1227,49.1,1.96,2.32
trend_pullback,1h,80,h24_tr15_tpnone,15,none,24,1490,47.4,1.83,1.91,1227,48.2,2.07,1.86
trend_pullback,1h,80,h72_tr5_tp10,5,10,72,1490,42.3,0.91,1.43,1227,43.2,1.0,1.38
trend_pullback,1h,80,h72_tr5_tp20,5,20,72,1490,41.9,1.22,1.68,1227,42.8,1.44,1.72
trend_pullback,1h,80,h72_tr5_tpnone,5,none,72,1490,41.6,1.7,1.61,1227,42.4,2.11,1.68
trend_pullback,1h,80,h72_tr10_tp10,10,10,72,1490,48.7,1.09,1.43,1227,49.5,1.14,1.33
trend_pullback,1h,80,h72_tr10_tp20,10,20,72,1490,42.5,1.92,2.08,1227,43.1,2.24,2.12
trend_pullback,1h,80,h72_tr10_tpnone,10,none,72,1490,41.9,2.1,1.89,1227,42.4,2.36,1.85
trend_pullback,1h,80,h72_tr15_tp10,15,10,72,1490,56.2,1.6,1.96,1227,57.2,1.65,1.78
trend_pullback,1h,80,h72_tr15_tp20,15,20,72,1490,47.7,2.88,2.81,1227,49.1,3.3,2.8
trend_pullback,1h,80,h72_tr15_tpnone,15,none,72,1490,46.5,2.94,2.37,1227,47.7,3.27,2.28
trend_pullback,1h,80,h168_tr5_tp10,5,10,168,1490,43.4,1.0,1.53,1227,44.0,1.03,1.39
trend_pullback,1h,80,h168_tr5_tp20,5,20,168,1490,43.0,1.33,1.78,1227,43.6,1.46,1.71
trend_pullback,1h,80,h168_tr5_tpnone,5,none,168,1490,42.6,1.78,1.67,1227,43.2,2.12,1.67
trend_pullback,1h,80,h168_tr10_tp10,10,10,168,1490,48.9,1.18,1.49,1227,49.6,1.16,1.3
trend_pullback,1h,80,h168_tr10_tp20,10,20,168,1490,41.5,2.24,2.29,1227,41.9,2.44,2.19
trend_pullback,1h,80,h168_tr10_tpnone,10,none,168,1490,40.9,2.72,2.19,1227,41.2,3.04,2.11
trend_pullback,1h,80,h168_tr15_tp10,15,10,168,1490,60.7,1.99,2.27,1227,61.0,1.95,1.97
trend_pullback,1h,80,h168_tr15_tp20,15,20,168,1490,48.1,3.59,3.19,1227,49.2,4.01,3.13
trend_pullback,1h,80,h168_tr15_tpnone,15,none,168,1490,46.4,4.86,3.11,1227,47.4,5.66,3.1
