asset,strategy,interval,score_th,top_n,n_full,win%_full,mean%_full,Sharpe_full,n_oos,win%_oos,mean%_oos,Sharpe_oos
kr,trend_pullback,1d,60.0,50,3592,64.8,15.1,14.99,1603,71.2,18.37,13.33
kr,trend_pullback,1d,60.0,100,6701,62.1,13.37,17.66,2937,68.2,16.55,15.49
kr,trend_pullback,1d,60.0,300,18143,57.0,10.75,21.53,7565,62.4,13.69,17.72
kr,trend_pullback,1d,60.0,500,28753,54.5,9.41,23.75,10877,59.9,12.21,19.33
us,trend_pullback,1d,70.0,50,3192,58.1,11.89,11.57,1166,53.3,9.79,5.78
us,trend_pullback,1d,70.0,100,5959,53.9,9.79,12.98,2108,51.1,8.64,6.81
us,trend_pullback,1d,70.0,300,19038,51.3,8.65,19.76,6811,52.0,9.17,12.66
us,trend_pullback,1d,70.0,500,32755,49.5,7.81,22.87,11531,51.0,8.67,15.02
