feature,win_n,win_mean,win_median,lose_n,lose_mean,lose_median,mean_diff_WL,median_diff_WL,abs_mean_diff
pre_vol_quiet_ratio,1965,13.44636117587192,5.10079218671283,2754,14.094637539268653,5.364375734890764,-0.6482763633967341,-0.26358354817793384,0.6482763633967341
vs_72h_low_pct,1965,0.24471207330676864,0.1894454981590985,2754,0.2654824578150877,0.19552934140752432,-0.020770384508319084,-0.006083843248425813,0.020770384508319084
pre_consec_up_h,1965,1.714503816793893,1.0,2754,1.7251270878721858,1.0,-0.01062327107829275,0.0,0.01062327107829275
vs_24h_high_pct,1965,0.032059580778106854,0.028518527424435502,2754,0.03905585285477512,0.02936217269375041,-0.006996272076668267,-0.0008436452693149077,0.006996272076668267
upper_wick_ratio,1965,0.18199545344556095,0.14772727272727146,2754,0.18878607025467747,0.1532738913007643,-0.006790616809116523,-0.00554661857349284,0.006790616809116523
body_to_range,1965,0.7530529373636936,0.7797468354430368,2754,0.747578152802153,0.7700883354618964,0.005474784561540602,0.009658499981140434,0.005474784561540602
pre_24h_range_pct,1965,0.11665374902940169,0.0995727789551587,2754,0.1204039728955519,0.09706633236769846,-0.003750223866150204,0.0025064465874602426,0.003750223866150204
close_to_high_pct,1965,0.01619455371385546,0.009221689413500685,2754,0.01898430976737776,0.010332360257214734,-0.0027897560535222986,-0.0011106708437140494,0.0027897560535222986
next_body_sum,1965,0.0031578113024250875,-0.0038484056571533795,2754,0.001103201321794098,-0.005573092812426864,0.0020546099806309894,0.001724687155273484,0.0020546099806309894
lower_wick_ratio,1965,0.06495160919074548,0.03971962616822257,2754,0.06363577694316938,0.03352449016839075,0.0013158322475761014,0.006195135999831819,0.0013158322475761014
next_max_close_above,1965,0.02336210973572387,0.009533251982916324,2754,0.023545117187892362,0.0106388036984979,-0.00018300745216849254,-0.0011055517155815764,0.00018300745216849254
next_avg_vol_ratio,1965,0.7483772520510323,0.5123366791902653,2754,0.7485082086421684,0.5081647603760394,-0.0001309565911360444,0.00417191881422585,0.0001309565911360444
