feature,quantile,horizon,n,mean,median,win,std
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_4h_post,1264,3.484091641578866e-05,-0.002751301598947653,0.46044303797468356,0.04316146152543051
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_24h_post,1260,0.0004188619700225343,-0.0076522760676120405,0.44603174603174606,0.0940680376869701
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_72h_post,1257,0.0013247922607635316,-0.014447964150505976,0.4343675417661098,0.14988800550914053
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_168h_post,1232,0.008951301264689224,-0.018315737679445443,0.461038961038961,0.22914530272102632
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_336h_post,1189,0.02450120726513256,-0.036907468952247724,0.43313708999158956,0.32305631906889887
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_672h_post,1137,0.01478858771569115,-0.07762883526958597,0.39050131926121373,0.4429689598042937
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_4h_post,1263,0.0017491372603506555,-0.0023128814648248897,0.4615993665874901,0.05631130562539493
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_24h_post,1263,-0.0034671417359352624,-0.013949626349294197,0.40459224069675376,0.10083120479692484
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_72h_post,1260,-0.00404242637962691,-0.02459815012472194,0.4103174603174603,0.16951084182933931
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_168h_post,1251,0.006070615374664253,-0.03485663764871849,0.40927258193445243,0.3007132100313202
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_336h_post,1206,0.02853024556774861,-0.04167790165263091,0.43283582089552236,0.3851750876244725
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_672h_post,1155,0.03497658697370537,-0.07390126429861532,0.4077922077922078,0.65654424306737
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_4h_post,1262,-0.0008045369575945688,-0.0018435566414053417,0.47385103011093505,0.04824002110471141
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_24h_post,1261,-0.00024330110158894504,-0.01054878814517124,0.4274385408406027,0.10069543133508123
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_72h_post,1256,0.0032477343700550013,-0.015660242366602906,0.43471337579617836,0.16469898832582852
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_168h_post,1243,0.006251980228808327,-0.028331799120384527,0.42075623491552694,0.2629378051208703
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_336h_post,1205,0.025827623878780796,-0.04534829359513781,0.4149377593360996,0.3998676526068662
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_672h_post,1154,0.0400261704459633,-0.0882135076252723,0.3882149046793761,0.6250113233941648
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_4h_post,1262,-0.0006632018523578939,-0.001862349170411226,0.47305863708399365,0.04884433874254438
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_24h_post,1261,-0.007641176306379271,-0.01434720229555253,0.3973037272006344,0.10598411889873285
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_72h_post,1259,-0.003593611949161484,-0.024398684893580214,0.39555202541699763,0.18183505108383807
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_168h_post,1242,0.0006166608221013921,-0.03936011418708735,0.4082125603864734,0.26324159596804503
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_336h_post,1206,0.029539529433022613,-0.051449101796407215,0.4096185737976783,0.39735695485588646
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_672h_post,1164,0.04346090054508939,-0.0884230836492168,0.3797250859106529,0.656366885619883
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_4h_post,1264,-0.002421249601573072,-0.0033540307098649524,0.44462025316455694,0.08456037239799133
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_24h_post,1262,-0.007586722407744221,-0.016952051758400477,0.39461172741679873,0.11032731078861947
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_72h_post,1261,-0.007266488303423929,-0.02488954344624439,0.41237113402061853,0.1564226911965697
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_168h_post,1246,-0.003432986943077604,-0.03436167480573049,0.4117174959871589,0.22838379742038808
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_336h_post,1211,0.016008529499763433,-0.05466130114017431,0.4079273327828241,0.3295257937421953
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_672h_post,1168,0.010092420285508982,-0.09353473699695924,0.3707191780821918,0.5219140443489637
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_4h_post,1264,0.001648594397807982,-0.0015112137654964553,0.46677215189873417,0.07767096819901724
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_24h_post,1262,-0.0072525053302743515,-0.013492454905136453,0.3977812995245642,0.08655209822777658
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_72h_post,1259,-0.010809676665101851,-0.021709260785930273,0.39555202541699763,0.15210458332882298
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_168h_post,1242,-0.010915226827656005,-0.03712817162886267,0.40418679549114334,0.20283763925892684
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_336h_post,1192,0.018086025868566107,-0.053607296892456024,0.4077181208053691,0.34826623112084304
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_672h_post,1136,0.031040313086888385,-0.07818873119221698,0.3996478873239437,0.574658887143547
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_4h_post,1263,-0.0019415262217783544,-0.003160556257901348,0.444972288202692,0.046542894371627966
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_24h_post,1262,-0.005415281493235095,-0.014661469131935057,0.4009508716323296,0.10465632388221063
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_72h_post,1258,-0.00419840742389628,-0.025229987624948158,0.3998410174880763,0.16163578341220652
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_168h_post,1248,0.0002226152142500914,-0.040285963910132006,0.40384615384615385,0.24673602836481826
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_336h_post,1214,0.015837452538935735,-0.056816531187112884,0.3970345963756178,0.3686621678643691
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_672h_post,1170,0.014274968542112175,-0.10584238166205379,0.3700854700854701,0.5525521721169068
