horizon_w,n,mean,median,std,win,p25,p75
1,1466,0.007601561477871496,-0.004840605042085222,0.19804152670655575,0.4761255115961801,-0.07516801027516426,0.06928653459661205
2,1455,0.014180821334142864,-0.011667583929554137,0.2858258435607916,0.46804123711340206,-0.12325792884593967,0.10585513054180273
4,1446,-0.015156732921261146,-0.07845198297077505,0.5362236918593211,0.334716459197787,-0.2130223451862603,0.05158819914273849
8,1415,-0.03732794216482454,-0.1875453446191051,0.7287744709373191,0.28480565371024735,-0.36412687891027656,0.05150102489821762
24,1351,-0.09053945292867978,-0.36795918367346947,1.3541385167105489,0.23908216136195412,-0.5784668491662527,-0.016473759058332205
