body_ret_min,n_4h,mean_4h,median_4h,win_4h,var_adj_4h,n_24h,mean_24h,median_24h,win_24h,var_adj_24h,n_72h,mean_72h,median_72h,win_72h,var_adj_72h,n_168h,mean_168h,median_168h,win_168h,var_adj_168h,n_672h,mean_672h,median_672h,win_672h,var_adj_672h
0.01,24617,0.00019122298482270877,-0.0021943099273609157,0.4565950359507657,-0.07110161571224971,24591,-0.0009572519965587142,-0.006952769120115221,0.44691147167662965,-0.1440532993575559,24537,0.0022157197749180717,-0.011090159480967698,0.4478950156905897,-0.2313806002741585,24250,0.008915360366274862,-0.02025400230141583,0.4437938144329897,-0.3665401596048564,22724,0.04004673063718488,-0.06479457899447233,0.40666255940855484,-0.8403938206612378
0.02,16065,-9.731370937558576e-05,-0.0035942492012779326,0.4485527544351074,-0.08484787825936531,16044,-0.0010354679818868093,-0.010569853518714034,0.43474195961106954,-0.16468154996643475,16009,0.002920221347193457,-0.014445173998686833,0.43769129864451245,-0.256385431919299,15824,0.011129169494916623,-0.0246302312342504,0.4381951466127401,-0.4031923986774809,14802,0.03561647259613565,-0.07697353537597118,0.39724361572760436,-0.896712827284462
0.03,10111,0.00033678473329585727,-0.00545702592087316,0.43843338937790527,-0.10120521185840235,10094,-0.0008292222144586298,-0.013839838260843507,0.4223300970873786,-0.1876499446011215,10077,0.003505950206131474,-0.019521082769390907,0.423340279845192,-0.289121467393317,9961,0.01209608971759871,-0.028807036833425004,0.4324866981226784,-0.44193663928004984,9297,0.032300265174112754,-0.08993176574542228,0.3851780144132516,-0.9728513399636011
