body_ret_min,vol_ratio_min,pullback_timeout_h,horizon_h,n,mean,median,std,win,var_adj
0.01,1.0,24,4,24515,0.000882966187839803,0.00013575582053082513,0.0372489227597997,0.5016520497654497,-0.060577756365829696
0.01,1.0,24,12,24507,0.0011711181126284039,-0.001640958319658714,0.060505889553601776,0.47761863957236705,-0.09866359965081452
0.01,1.0,24,24,24496,0.00033435136230652976,-0.005397442816669318,0.08311995104883863,0.45068582625734815,-0.1368135678682772
0.01,1.0,24,72,24441,0.002381591218103247,-0.010030667007411065,0.13846173438469092,0.45476862648827787,-0.22608027051663676
0.01,1.0,24,168,24134,0.009490881635566004,-0.019595044284032137,0.21789797937752106,0.4468799204441866,-0.35004078433734376
0.01,1.0,24,336,23400,0.02989252629558599,-0.03394276995808104,0.339388157512753,0.43393162393162393,-0.5300979336004563
0.01,1.0,24,672,22625,0.0391528200090709,-0.06310202476901905,0.5240810536143059,0.4045082872928177,-0.8255809184545337
0.01,1.0,168,4,24603,0.0008662433204324415,0.00012443614870116804,0.037229980261032324,0.5013616225663537,-0.06056322411027089
0.01,1.0,168,12,24595,0.001134756900793751,-0.0016516185862145427,0.06061653014579152,0.4774954258995731,-0.09888251783976226
0.01,1.0,168,24,24584,0.0003217855390702142,-0.005406101807028274,0.08329723198105748,0.4506589651806053,-0.13711864722967462
0.01,1.0,168,72,24528,0.002284782615487183,-0.010077718374282396,0.1384926905343145,0.4545825179386823,-0.22622815676613175
0.01,1.0,168,168,24221,0.009350669736349642,-0.019757807520713988,0.21778420100829804,0.4465133561785228,-0.34999326192734215
0.01,1.0,168,336,23486,0.029765294102111255,-0.03394276995808104,0.3391133731454176,0.4338755002980499,-0.5297717715878277
0.01,1.0,168,672,22711,0.039057524267389315,-0.06310202476901905,0.5236875812724511,0.40447360309981945,-0.825026984832155
0.01,2.0,24,4,17189,0.0008834317979907235,0.0,0.039735316520142845,0.49653848391413113,-0.06467984046024497
0.01,2.0,24,12,17187,0.0016721838934693652,-0.0015889830508474256,0.06245368158636376,0.47640658637342176,-0.10137639072403083
0.01,2.0,24,24,17175,0.00048478977400694394,-0.005447781025777254,0.0825727264912903,0.45158660844250365,-0.13576020893662202
0.01,2.0,24,72,17140,0.002007430788251412,-0.010703292397420683,0.14068689952176594,0.45064177362893815,-0.23012595342266237
0.01,2.0,24,168,16904,0.0090961882523889,-0.019810156077540053,0.2217518170319647,0.44527922385234264,-0.3567943098503528
0.01,2.0,24,336,16344,0.033230725332734794,-0.03276588289103932,0.3475852866739937,0.43863191385217815,-0.5402849976793548
0.01,2.0,24,672,15749,0.04447769496672309,-0.058967457793002276,0.5366324626674329,0.4125976252460474,-0.8409658684345412
0.01,2.0,168,4,17263,0.0008581091403040184,0.0,0.039747982485968135,0.4964953947749522,-0.0647260619615434
0.01,2.0,168,12,17261,0.0015797544420010309,-0.0016097476411005562,0.06269571086320663,0.4761021957012919,-0.1018681684822899
0.01,2.0,168,24,17249,0.0004255693652648197,-0.005488157134604266,0.08292612152065187,0.45138848628906025,-0.13640253114381076
0.01,2.0,168,72,17214,0.001948628715259576,-0.01074321132526107,0.14096360178759892,0.45038921807830834,-0.23064131423427864
0.01,2.0,168,168,16978,0.008900541922672742,-0.02006877326825779,0.22171609737917225,0.4448109317940865,-0.35693101875296146
0.01,2.0,168,336,16418,0.033077311811830996,-0.03276588289103932,0.34733793856651457,0.4384821537337069,-0.540030286822918
