btc_regime,horizon_w,n,mean,median,win
btc_up,1,1249,0.004837011981395162,-0.0035619454698528896,0.4843875100080064
btc_up,2,1249,0.011406175570969459,-0.010819034739244504,0.47157726180944753
btc_up,4,1249,-0.030310180590684823,-0.08233117483811281,0.31945556445156126
btc_up,8,1249,-0.050519483233051325,-0.20677779308444688,0.2722177742193755
btc_up,24,1249,-0.11627950497125618,-0.3868627982646421,0.22898318654923938
btc_down,1,217,0.023513645906898882,-0.01108825896449972,0.42857142857142855
btc_down,2,206,0.03100379491765542,-0.01719006495348885,0.44660194174757284
btc_down,4,197,0.08091766372396814,-0.028545300150238484,0.43147208121827413
btc_down,8,166,0.06192648430635161,-0.09021763708633285,0.3795180722891566
btc_down,24,102,0.22465000786718237,-0.08593300198158993,0.3627450980392157
