IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,asset,strategy,interval,score_th,rule,gate_param,gate_value
1297,48.2,6.53,-95.1,5.18,1.96,883,49.9,7.21,-95.6,6.79,2.11,us,trend_chase,1d,60,hold_252d_trail20_TP30,baseline,default
1309,48.4,6.61,-95.6,5.27,1.97,887,50.2,7.31,-95.6,6.88,2.13,us,trend_chase,1d,60,hold_252d_trail20_TP30,amount_lookback,120
1297,48.2,6.53,-95.1,5.18,1.96,883,49.9,7.21,-95.6,6.79,2.11,us,trend_chase,1d,60,hold_252d_trail20_TP30,amount_lookback,250
1290,48.1,6.57,-95.1,5.21,1.96,880,49.9,7.17,-95.6,6.74,2.1,us,trend_chase,1d,60,hold_252d_trail20_TP30,amount_lookback,500
798,49.9,7.17,-93.1,4.49,2.12,578,48.4,6.34,-84.5,4.94,1.96,us,trend_chase,1d,60,hold_252d_trail20_TP30,fresh_big_th,0.04
1297,48.2,6.53,-95.1,5.18,1.96,883,49.9,7.21,-95.6,6.79,2.11,us,trend_chase,1d,60,hold_252d_trail20_TP30,fresh_big_th,0.05
1740,49.0,6.82,-98.4,6.07,1.97,1118,50.3,7.47,-94.8,7.76,2.13,us,trend_chase,1d,60,hold_252d_trail20_TP30,fresh_big_th,0.06
2362,48.3,6.79,-99.8,6.82,1.92,1423,51.9,8.68,-92.7,10.09,2.39,us,trend_chase,1d,60,hold_252d_trail20_TP30,fresh_big_th,0.08
1297,48.2,6.53,-95.1,5.18,1.96,883,49.9,7.21,-95.6,6.79,2.11,us,trend_chase,1d,60,hold_252d_trail20_TP30,max_prior_extension,0.3
1328,48.5,6.7,-95.1,5.38,1.99,901,50.1,7.27,-95.9,6.89,2.12,us,trend_chase,1d,60,hold_252d_trail20_TP30,max_prior_extension,0.4
1339,48.4,6.66,-95.1,5.36,1.98,913,50.1,7.28,-95.9,6.94,2.12,us,trend_chase,1d,60,hold_252d_trail20_TP30,max_prior_extension,0.5
370,65.7,19.29,-97.3,6.7,4.7,242,53.3,12.27,-90.8,4.41,2.62,kr,quiet_bottom,1w,binary,hold_52w_trail20_TP30,baseline,default
655,62.3,16.42,-99.6,7.53,3.82,380,58.7,14.28,-88.1,6.83,3.22,kr,quiet_bottom,1w,binary,hold_52w_trail20_TP30,dd_avg_max,-0.4
370,65.7,19.29,-97.3,6.7,4.7,242,53.3,12.27,-90.8,4.41,2.62,kr,quiet_bottom,1w,binary,hold_52w_trail20_TP30,dd_avg_max,-0.45
207,66.7,19.92,-94.3,5.11,4.79,158,50.6,12.73,-86.2,3.59,2.7,kr,quiet_bottom,1w,binary,hold_52w_trail20_TP30,dd_avg_max,-0.5
315,65.7,19.4,-93.1,6.35,4.91,216,55.6,13.34,-90.2,4.52,2.83,kr,quiet_bottom,1w,binary,hold_52w_trail20_TP30,path_r2_max,0.4
370,65.7,19.29,-97.3,6.7,4.7,242,53.3,12.27,-90.8,4.41,2.62,kr,quiet_bottom,1w,binary,hold_52w_trail20_TP30,path_r2_max,0.5
422,67.1,20.6,-97.3,7.46,5.1,287,55.4,13.01,-95.3,5.18,2.8,kr,quiet_bottom,1w,binary,hold_52w_trail20_TP30,path_r2_max,0.6
251,56.6,12.85,-92.3,3.5,2.72,155,55.5,18.08,-96.8,4.96,3.83,us,quiet_bottom,1w,binary,hold_52w_trail20_TP30,baseline,default
369,55.3,12.16,-94.8,4.22,2.71,251,58.2,16.89,-94.1,6.43,3.85,us,quiet_bottom,1w,binary,hold_52w_trail20_TP30,dd_avg_max,-0.4
251,56.6,12.85,-92.3,3.5,2.72,155,55.5,18.08,-96.8,4.96,3.83,us,quiet_bottom,1w,binary,hold_52w_trail20_TP30,dd_avg_max,-0.45
185,55.7,12.37,-92.3,2.86,2.61,105,59.0,20.54,-92.0,4.45,4.28,us,quiet_bottom,1w,binary,hold_52w_trail20_TP30,dd_avg_max,-0.5
215,59.1,13.49,-91.7,3.44,2.83,134,56.0,18.9,-96.2,4.81,4.15,us,quiet_bottom,1w,binary,hold_52w_trail20_TP30,path_r2_max,0.4
251,56.6,12.85,-92.3,3.5,2.72,155,55.5,18.08,-96.8,4.96,3.83,us,quiet_bottom,1w,binary,hold_52w_trail20_TP30,path_r2_max,0.5
299,54.5,12.08,-93.8,3.53,2.55,188,54.8,16.77,-96.8,5.11,3.54,us,quiet_bottom,1w,binary,hold_52w_trail20_TP30,path_r2_max,0.6
