strategy,interval,threshold,universe_top,n_symbols,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_chase,1d,60,100,100,h252_tr20_TP30,1232,51.0,8.2,0.68,104.4,7.42489138983948e+30,-98.7,4.98,2.2
trend_chase,1d,60,300,299,h252_tr20_TP30,4011,47.9,6.69,-1.59,103.4,1.3135464376340823e+69,-100.0,7.23,1.91
trend_chase,1d,60,500,499,h252_tr20_TP30,7172,45.0,6.05,-3.16,102.6,2.8376409797810185e+90,-100.0,6.05,1.77
trend_chase,1d,60,800,799,h252_tr20_TP30,11821,43.2,5.23,-3.99,101.0,5.197952246873122e+109,-100.0,7.44,1.64
trend_chase,1d,60,-1,947,h252_tr20_TP30,13767,42.0,4.52,-4.63,101.2,2.8994600681713882e+88,-100.0,7.14,1.54
