strategy,interval,threshold,universe_top,n_symbols,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_pullback,1d,60,100,100,h252_tr20_TP30,6701,53.9,10.73,8.55,71.1,2.368430754300811e+226,-100.0,14.97,2.76
trend_pullback,1d,60,300,299,h252_tr20_TP30,18143,49.8,8.63,-0.13,71.2,inf,,18.4,2.25
trend_pullback,1d,60,500,499,h252_tr20_TP30,29578,46.7,7.02,-2.32,75.0,inf,,18.77,1.9
trend_pullback,1d,60,800,799,h252_tr20_TP30,47109,44.8,6.05,-3.52,76.2,inf,,20.18,1.72
trend_pullback,1d,60,-1,947,h252_tr20_TP30,53298,43.8,5.46,-4.13,77.0,inf,,19.43,1.64
