strategy,interval,threshold,universe_top,n_symbols,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_pullback,1w,75,100,99,h52w_tr20_TP30,2220,57.8,12.51,15.45,24.2,1.701764314884597e+88,-99.8,9.27,3.02
trend_pullback,1w,75,300,298,h52w_tr20_TP30,5550,54.3,10.51,6.32,23.9,6.62187097178804e+167,-100.0,11.93,2.5
trend_pullback,1w,75,500,498,h52w_tr20_TP30,8492,50.8,8.63,0.65,24.5,3.37299916538109e+182,-100.0,11.67,2.11
trend_pullback,1w,75,800,797,h52w_tr20_TP30,12439,48.1,7.25,-1.61,24.3,1.0572533455791744e+188,-100.0,11.69,1.86
trend_pullback,1w,75,-1,944,h52w_tr20_TP30,13902,47.0,6.6,-2.36,24.4,2.9411686256288782e+172,-100.0,11.27,1.77
