strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,robust%
trend_pullback,1w,75,h78_tr20_TP40_SL15_cutN,78,0.2,0.4,-0.15,False,3224,37.7,5.75,-100.0,5.66,1.64,2343,64.4,20.0,-99.6,23.22,5.45,410.2
trend_pullback,1w,75,h78_tr20_TP40_SL20_cutN,78,0.2,0.4,-0.2,False,3224,39.2,5.73,-100.0,5.47,1.6,2343,67.8,21.55,-99.8,25.11,6.18,459.0
trend_pullback,1w,75,h78_tr20_TP40_SLx_cutN,78,0.2,0.4,,False,3224,41.3,5.96,-100.0,5.41,1.6,2343,70.4,23.27,-99.5,27.89,7.72,515.5
trend_pullback,1w,75,h52_tr20_TP40_SL15_cutN,52,0.2,0.4,-0.15,False,3224,39.1,5.31,-100.0,5.39,1.61,2343,64.6,19.39,-99.6,22.76,5.33,422.3
trend_pullback,1w,75,h39_tr20_TP40_SL20_cutN,39,0.2,0.4,-0.2,False,3224,42.8,5.32,-100.0,5.39,1.61,2343,67.4,19.53,-99.8,23.33,5.72,432.8
trend_pullback,1w,75,h39_tr20_TP40_SLx_cutN,39,0.2,0.4,,False,3224,43.9,5.35,-100.0,5.27,1.6,2343,68.9,20.44,-99.6,24.77,6.51,470.0
trend_pullback,1w,75,h26_tr25_TP40_SLx_cutN,26,0.25,0.4,,False,3224,47.2,5.01,-100.0,5.26,1.61,2343,68.6,18.38,-99.5,22.79,5.8,433.3
trend_pullback,1w,75,h39_tr25_TP40_SL15_cutN,39,0.25,0.4,-0.15,False,3224,40.4,5.12,-100.0,5.22,1.58,2343,65.2,19.2,-99.2,22.61,5.18,433.1
trend_pullback,1w,75,h52_tr20_TP40_SL20_cutN,52,0.2,0.4,-0.2,False,3224,40.5,5.23,-100.0,5.14,1.56,2343,67.9,20.89,-99.8,24.58,6.04,478.2
trend_pullback,1w,75,h78_tr25_TP40_SL15_cutN,78,0.25,0.4,-0.15,False,3224,35.5,5.28,-100.0,5.01,1.53,2343,65.0,21.28,-99.2,24.3,5.53,485.0
trend_pullback,1w,75,h52_tr20_TP40_SLx_cutN,52,0.2,0.4,,False,3224,42.0,5.3,-100.0,5.01,1.55,2343,70.2,22.21,-99.5,26.87,7.38,536.3
trend_pullback,1w,75,h39_tr25_TP40_SL20_cutN,39,0.25,0.4,-0.2,False,3224,42.8,5.03,-100.0,4.94,1.53,2343,69.3,20.92,-99.4,24.75,6.01,501.0
trend_pullback,1w,75,h52_tr25_TP40_SL15_cutN,52,0.25,0.4,-0.15,False,3224,37.7,4.87,-100.0,4.81,1.51,2343,65.3,20.45,-99.2,23.67,5.38,492.1
trend_pullback,1w,75,h39_tr20_TP30_SLx_cutN,39,0.2,0.3,,False,3224,44.7,4.36,-100.0,4.78,1.49,2343,69.2,17.87,-99.5,25.22,5.83,527.6
trend_pullback,1w,75,h39_tr25_TP40_SLx_cutN,39,0.25,0.4,,False,3224,44.2,5.03,-100.0,4.77,1.51,2343,71.2,22.04,-99.3,26.55,6.99,556.6
trend_pullback,1w,75,h78_tr20_TP30_SL20_cutN,78,0.2,0.3,-0.2,False,3224,40.1,4.37,-100.0,4.73,1.46,2343,68.0,18.52,-99.7,25.21,5.46,533.0
trend_pullback,1w,75,h78_tr20_TP30_SLx_cutN,78,0.2,0.3,,False,3224,42.2,4.66,-100.0,4.72,1.47,2343,70.7,20.13,-99.4,28.43,6.83,602.3
trend_pullback,1w,75,h78_tr25_TP40_SL20_cutN,78,0.25,0.4,-0.2,False,3224,37.6,5.04,-100.0,4.57,1.46,2343,69.9,23.53,-99.4,27.19,6.62,595.0
trend_pullback,1w,75,h52_tr20_TP30_SL20_cutN,52,0.2,0.3,-0.2,False,3224,41.3,4.13,-100.0,4.56,1.45,2343,68.1,17.99,-99.7,24.68,5.35,541.2
trend_pullback,1w,75,h39_tr25_TP30_SL20_cutN,39,0.25,0.3,-0.2,False,3224,45.3,4.03,-100.0,4.43,1.43,2343,70.9,18.22,-99.4,25.01,5.43,564.6
trend_pullback,1w,75,h52_tr20_TP30_SLx_cutN,52,0.2,0.3,,False,3224,42.8,4.21,-100.0,4.42,1.44,2343,70.5,19.31,-99.4,27.42,6.56,620.4
trend_pullback,1w,75,h52_tr25_TP40_SL20_cutN,52,0.25,0.4,-0.2,False,3224,40.0,4.65,-100.0,4.4,1.45,2343,69.9,22.55,-99.4,26.34,6.39,598.6
trend_pullback,1w,75,h78_tr25_TP40_SLx_cutN,78,0.25,0.4,,False,3224,40.2,5.12,-100.0,4.38,1.44,2343,73.2,25.6,-98.9,30.62,8.52,699.1
trend_pullback,1w,75,h39_tr25_TP30_SLx_cutN,39,0.25,0.3,,False,3224,46.7,4.04,-100.0,4.26,1.42,2343,72.9,19.33,-99.3,27.11,6.36,636.4
trend_pullback,1w,75,h78_tr20_TP25_SLx_cutN,78,0.2,0.25,,False,3224,44.7,3.92,-100.0,4.25,1.4,2343,72.7,18.23,-99.5,28.46,6.37,669.6
trend_pullback,1w,75,h52_tr25_TP40_SLx_cutN,52,0.25,0.4,,False,3224,41.8,4.61,-100.0,4.15,1.42,2343,72.7,24.14,-99.0,29.16,8.02,702.7
trend_pullback,1w,75,h52_tr20_TP25_SLx_cutN,52,0.2,0.25,,False,3224,45.0,3.6,-100.0,4.03,1.38,2343,72.3,17.65,-99.5,27.61,6.16,685.1
trend_pullback,1w,75,h78_tr25_TP30_SL20_cutN,78,0.25,0.3,-0.2,False,3224,41.3,3.72,-100.0,3.81,1.34,2343,72.0,20.24,-99.4,27.36,5.93,718.1
trend_pullback,1w,75,h78_tr25_TP30_SLx_cutN,78,0.25,0.3,,False,3224,44.0,3.81,-100.0,3.64,1.33,2343,75.4,22.17,-98.5,31.33,7.68,860.7
trend_pullback,1w,75,h52_tr25_TP30_SLx_cutN,52,0.25,0.3,,False,3224,45.0,3.58,-100.0,3.57,1.33,2343,74.6,20.98,-98.9,29.81,7.25,835.0
