strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_chase,1w,60,h52_tr25_TP25_SL20_cutN,52,0.25,0.25,-0.2,False,81,69.1,13.03,25.25,31.0,432110.2,-50.8,2.27,3.8
trend_chase,1w,60,h52_tr20_TP25_SL20_cutN,52,0.2,0.25,-0.2,False,81,67.9,12.84,25.07,29.8,394436.8,-48.0,2.27,3.86
trend_chase,1w,60,h78_tr25_TPx_SL20_cutN,78,0.25,0.0,-0.2,False,81,64.2,42.2,29.73,55.6,162876544889.8,-52.0,2.25,9.76
trend_chase,1w,60,h78_tr15_TP40_SL20_cutN,78,0.15,0.4,-0.2,False,81,59.3,17.5,8.99,33.2,3814232.0,-57.0,2.24,4.36
trend_chase,1w,60,h78_tr20_TP30_SL15_cutN,78,0.2,0.3,-0.15,False,81,60.5,14.62,30.08,31.8,925156.2,-58.9,2.22,3.81
trend_chase,1w,60,h52_tr25_TP40_SLx_cutY,52,0.25,0.4,,True,81,61.7,15.77,11.43,34.4,1755811.6,-41.1,2.22,4.54
trend_chase,1w,60,h78_tr25_TPx_SLx_cutY,78,0.25,0.0,,True,81,60.5,40.46,21.62,52.4,88965785759.0,-51.2,2.21,11.12
trend_chase,1w,60,h52_tr20_TP40_SLx_cutY,52,0.2,0.4,,True,81,61.7,15.21,10.38,32.6,1319150.8,-34.9,2.19,4.68
trend_chase,1w,60,h52_tr20_TP25_SLx_cutY,52,0.2,0.25,,True,81,63.0,11.86,16.02,27.9,228631.8,-34.9,2.19,3.9
trend_chase,1w,60,h78_tr25_TP30_SL15_cutN,78,0.25,0.3,-0.15,False,81,60.5,14.7,30.23,32.7,909183.0,-60.4,2.19,3.65
trend_chase,1w,60,h52_tr25_TP25_SLx_cutY,52,0.25,0.25,,True,81,64.2,12.01,17.0,29.0,239625.4,-41.1,2.18,3.8
trend_chase,1w,60,h52_tr20_TP30_SLx_cutY,52,0.2,0.3,,True,81,61.7,12.98,11.43,29.9,406437.8,-34.9,2.16,4.14
trend_chase,1w,60,h78_tr20_TP25_SL15_cutN,78,0.2,0.25,-0.15,False,81,61.7,12.75,26.05,28.7,330400.4,-58.9,2.16,3.47
trend_chase,1w,60,h52_tr25_TP40_SL20_cutY,52,0.25,0.4,-0.2,True,81,61.7,15.49,11.43,32.8,1352980.9,-42.5,2.16,4.27
trend_chase,1w,60,h78_tr25_TP25_SL15_cutN,78,0.25,0.25,-0.15,False,81,63.0,12.85,26.14,29.6,335981.1,-60.4,2.15,3.37
trend_chase,1w,60,h52_tr25_TP30_SLx_cutY,52,0.25,0.3,,True,81,63.0,13.19,13.3,31.1,437203.1,-41.1,2.15,4.02
trend_chase,1w,60,h78_tr15_TPx_SLx_cutN,78,0.15,0.0,,False,81,60.5,25.97,11.03,42.5,124788318.5,-73.7,2.12,6.67
trend_chase,1w,60,h52_tr20_TP40_SL20_cutY,52,0.2,0.4,-0.2,True,81,61.7,14.89,10.38,31.1,972487.2,-39.2,2.11,4.34
trend_chase,1w,60,h78_tr15_TP40_SLx_cutY,78,0.15,0.4,,True,81,54.3,15.58,6.31,30.8,1348321.8,-44.4,2.11,4.35
trend_chase,1w,60,h52_tr25_TP40_SL15_cutN,52,0.25,0.4,-0.15,False,81,63.0,15.32,13.3,31.8,1081984.5,-54.2,2.09,3.86
trend_chase,1w,60,h78_tr15_TP30_SL20_cutN,78,0.15,0.3,-0.2,False,81,59.3,14.1,29.96,29.6,592459.2,-53.7,2.09,3.71
trend_chase,1w,60,h52_tr25_TP25_SL20_cutY,52,0.25,0.25,-0.2,True,81,64.2,11.73,17.0,27.5,184629.0,-49.0,2.09,3.57
trend_chase,1w,60,h52_tr20_TP25_SL20_cutY,52,0.2,0.25,-0.2,True,81,63.0,11.54,16.02,26.4,168527.2,-46.0,2.09,3.61
trend_chase,1w,60,h78_tr20_TPx_SL20_cutN,78,0.2,0.0,-0.2,False,81,65.4,39.7,21.82,49.6,36001497346.3,-52.0,2.09,9.72
trend_chase,1w,60,h78_tr20_TP30_SL15_cutY,78,0.2,0.3,-0.15,True,81,56.8,13.26,29.77,29.9,398013.3,-53.5,2.09,3.63
trend_chase,1w,60,h78_tr25_TPx_SL20_cutY,78,0.25,0.0,-0.2,True,81,58.0,37.89,18.41,49.6,16968403536.9,-51.0,2.08,8.92
trend_chase,1w,60,h52_tr25_TP30_SL20_cutY,52,0.25,0.3,-0.2,True,81,63.0,12.91,13.3,29.6,336879.6,-42.5,2.08,3.78
trend_chase,1w,60,h52_tr20_TP30_SL20_cutY,52,0.2,0.3,-0.2,True,81,61.7,12.66,11.43,28.4,299610.6,-39.2,2.07,3.84
trend_chase,1w,60,h78_tr15_TP25_SL20_cutN,78,0.15,0.25,-0.2,False,81,59.3,12.41,26.05,27.5,243172.7,-54.2,2.07,3.38
trend_chase,1w,60,h78_tr25_TP30_SL15_cutY,78,0.25,0.3,-0.15,True,81,56.8,13.34,29.96,30.9,391140.5,-55.2,2.06,3.48
trend_chase,1w,60,h78_tr20_TPx_SLx_cutY,78,0.2,0.0,,True,81,61.7,38.3,17.7,46.7,24171803367.7,-40.3,2.06,11.37
trend_chase,1w,60,h78_tr20_TP25_SL15_cutY,78,0.2,0.25,-0.15,True,81,58.0,11.92,25.39,27.0,193315.1,-53.5,2.05,3.39
trend_chase,1w,60,h52_tr20_TP40_SL15_cutN,52,0.2,0.4,-0.15,False,81,63.0,14.7,11.03,30.6,755964.5,-54.2,2.04,3.88
trend_chase,1w,60,h78_tr25_TP25_SL15_cutY,78,0.25,0.25,-0.15,True,81,59.3,12.02,25.74,27.9,196581.0,-55.2,2.04,3.29
trend_chase,1w,60,h78_tr15_TP25_SLx_cutY,78,0.15,0.25,,True,81,54.3,11.49,25.07,25.6,156217.2,-46.6,2.03,3.47
trend_chase,1w,60,h52_tr15_TP40_SLx_cutN,52,0.15,0.4,,False,81,60.5,14.47,8.44,32.7,583212.7,-67.2,2.01,4.11
trend_chase,1w,60,h78_tr15_TP30_SLx_cutY,78,0.15,0.3,,True,81,54.3,12.66,6.61,27.6,279844.2,-45.9,2.01,3.72
trend_chase,1w,60,h52_tr15_TP25_SLx_cutN,52,0.15,0.25,,False,81,60.5,11.7,24.89,28.6,146398.8,-67.2,2.01,3.52
trend_chase,1w,60,h78_tr15_TPx_SL20_cutN,78,0.15,0.0,-0.2,False,81,58.0,24.87,8.61,38.2,64471831.9,-59.4,2.01,5.73
trend_chase,1w,60,h78_tr25_TPx_SL15_cutN,78,0.25,0.0,-0.15,False,81,58.0,37.27,18.41,48.3,8061905606.5,-60.4,2.0,7.54
trend_chase,1w,60,h52_tr25_TP30_SL15_cutN,52,0.25,0.3,-0.15,False,81,64.2,12.51,16.02,28.5,234408.7,-54.2,1.99,3.38
trend_chase,1w,60,h52_tr25_TP25_SL15_cutN,52,0.25,0.25,-0.15,False,81,65.4,11.42,20.01,26.3,133593.4,-57.9,1.98,3.2
trend_chase,1w,60,h52_tr15_TP30_SLx_cutN,52,0.15,0.3,,False,81,60.5,12.86,10.38,30.3,256505.1,-67.2,1.98,3.77
