
--- build_cache asset=kr strategy=trend_chase interval=1w universe_top=300 -> 300 symbols, 948 files ---
  loaded 50 (skipped 0) elapsed 3.2s
  loaded 100 (skipped 0) elapsed 5.0s
  loaded 150 (skipped 1) elapsed 6.6s
  loaded 200 (skipped 1) elapsed 8.6s
  loaded 250 (skipped 1) elapsed 10.3s
  build_cache done: 298 symbols, skipped 2. elapsed 11.4s

=== Task1 KR trend_chase/1w threshold=60 rules=288 ===
  [20/288] elapsed 0.8s last rule=h26_tr15_TP25_SLx_cutY n=81 sharpe=1.51
  [40/288] elapsed 1.7s last rule=h26_tr15_TP30_SL15_cutY n=81 sharpe=1.37
  [60/288] elapsed 2.5s last rule=h26_tr15_TP40_SL20_cutY n=81 sharpe=1.48
  [80/288] elapsed 3.4s last rule=h39_tr20_TPx_SLx_cutY n=81 sharpe=1.47
  [100/288] elapsed 4.3s last rule=h39_tr20_TP25_SL15_cutY n=81 sharpe=1.6
  [120/288] elapsed 5.2s last rule=h39_tr20_TP30_SL20_cutY n=81 sharpe=1.65
  [140/288] elapsed 6.1s last rule=h39_tr25_TP40_SLx_cutY n=81 sharpe=1.74
  [160/288] elapsed 7.0s last rule=h52_tr25_TPx_SL15_cutY n=81 sharpe=1.5
  [180/288] elapsed 7.9s last rule=h52_tr25_TP25_SL20_cutY n=81 sharpe=2.09
  [200/288] elapsed 9.1s last rule=h52_tr15_TP40_SLx_cutY n=81 sharpe=1.71
  [220/288] elapsed 10.5s last rule=h78_tr15_TPx_SL15_cutY n=81 sharpe=1.67
  [240/288] elapsed 12.1s last rule=h78_tr15_TP25_SL20_cutY n=81 sharpe=1.82
  [260/288] elapsed 13.5s last rule=h78_tr20_TP30_SLx_cutY n=81 sharpe=2.72
  [280/288] elapsed 14.7s last rule=h78_tr20_TP40_SL15_cutY n=81 sharpe=2.29
  [288/288] elapsed 15.1s last rule=h78_tr25_TP40_SL20_cutY n=81 sharpe=2.66
  saved: C:\Users\82109\Desktop\LYC\git\stock_total\scripts\out\optimize\round2\kr\task1_trend_chase_1w.csv
                  rule  n  win%  mean%  MDD%  Sharpe_ann   PF
h78_tr25_TP40_SLx_cutN 81  69.1  26.10 -71.9        3.26 7.62
h78_tr20_TP40_SLx_cutN 81  70.4  25.39 -67.7        3.23 8.12
h78_tr20_TP30_SLx_cutN 81  70.4  19.83 -67.7        3.05 6.56
h78_tr20_TP25_SLx_cutN 81  71.6  17.32 -67.7        3.04 5.91
h78_tr25_TP25_SLx_cutN 81  72.8  17.49 -71.9        3.01 5.71
