strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_pullback,1d,60,h180_tr15_TP40_SL15_cutY,180,0.15,0.4,-0.15,True,18143,40.9,5.34,-4.97,40.5,6.764396991427947e+247,-100.0,12.36,1.91
trend_pullback,1d,60,h365_tr20_TPx_SL20_cutY,365,0.2,0.0,-0.2,True,18143,42.3,11.67,-5.29,80.5,inf,,12.34,2.7
trend_pullback,1d,60,h180_tr20_TPx_SL15_cutN,180,0.2,0.0,-0.15,False,18143,44.9,11.7,-3.6,72.2,inf,,12.32,2.65
trend_pullback,1d,60,h120_tr15_TP30_SL20_cutY,120,0.15,0.3,-0.2,True,18143,42.2,4.84,-4.27,37.2,4.332465728309727e+233,-100.0,12.29,1.83
trend_pullback,1d,60,h180_tr20_TPx_SLx_cutY,180,0.2,0.0,,True,18143,43.8,11.57,-4.26,74.7,inf,,12.27,2.73
trend_pullback,1d,60,h120_tr15_TPx_SLx_cutN,120,0.15,0.0,,False,18143,47.5,8.08,-1.37,54.7,inf,,12.23,2.38
trend_pullback,1d,60,h252_tr15_TP30_SL15_cutY,252,0.15,0.3,-0.15,True,18143,40.9,4.85,-4.97,37.9,5.117912831543771e+232,-100.0,12.22,1.82
trend_pullback,1d,60,h252_tr15_TP25_SL20_cutY,252,0.15,0.25,-0.2,True,18143,42.0,4.59,-4.45,36.9,6.659580451247292e+225,-100.0,12.22,1.78
trend_pullback,1d,60,h120_tr15_TP25_SLx_cutY,120,0.15,0.25,,True,18143,42.8,4.56,-3.98,37.3,5.254696084845723e+223,-100.0,12.22,1.8
trend_pullback,1d,60,h120_tr25_TPx_SLx_cutY,120,0.25,0.0,,True,18143,48.5,13.48,-1.14,76.6,inf,,12.18,3.01
trend_pullback,1d,60,h365_tr15_TP25_SL20_cutY,365,0.15,0.25,-0.2,True,18143,41.9,4.58,-4.48,37.1,3.352396810730576e+224,-100.0,12.18,1.78
trend_pullback,1d,60,h365_tr15_TP30_SL15_cutY,365,0.15,0.3,-0.15,True,18143,40.8,4.83,-5.0,38.0,1.5668077888716786e+231,-100.0,12.17,1.82
trend_pullback,1d,60,h180_tr15_TP25_SL20_cutY,180,0.15,0.25,-0.2,True,18143,42.0,4.56,-4.41,36.5,3.906532077859579e+223,-100.0,12.15,1.78
trend_pullback,1d,60,h180_tr15_TP30_SL15_cutY,180,0.15,0.3,-0.15,True,18143,41.0,4.81,-4.97,37.4,9.728206484848993e+229,-100.0,12.13,1.82
trend_pullback,1d,60,h120_tr15_TP40_SL15_cutY,120,0.15,0.4,-0.15,True,18143,41.3,5.12,-4.79,38.6,2.2961559002487335e+236,-100.0,12.04,1.88
trend_pullback,1d,60,h180_tr20_TPx_SL20_cutY,180,0.2,0.0,-0.2,True,18143,43.2,11.3,-4.79,71.0,inf,,12.02,2.67
trend_pullback,1d,60,h252_tr20_TPx_SL15_cutY,252,0.2,0.0,-0.15,True,18143,40.9,11.07,-5.65,71.6,inf,,11.9,2.63
trend_pullback,1d,60,h252_tr15_TPx_SL20_cutN,252,0.15,0.0,-0.2,False,18143,45.8,8.28,-2.26,55.3,inf,,11.89,2.35
