bucket,horizon_d,n,mean,median,win
below_<-5%,7,312,-0.03310885865681094,-0.051333765199559345,0.28525641025641024
below_<-5%,14,312,-0.08906924709150449,-0.09989126446926955,0.21153846153846154
below_<-5%,21,312,-0.10907952999713412,-0.1353510575543604,0.22115384615384615
below_<-5%,28,312,-0.13176275310703486,-0.1890012889784224,0.17307692307692307
below_<-5%,56,312,-0.19407416590729015,-0.2640122086570477,0.1955128205128205
below_-5~0%,7,126,-0.013695143738739396,-0.015089724225895607,0.40476190476190477
below_-5~0%,14,126,-0.0002217558249921635,-0.04213538706364772,0.373015873015873
below_-5~0%,21,126,0.002049824507859058,-0.039647501754740855,0.3333333333333333
below_-5~0%,28,126,-0.015568876421704552,-0.05001408568077914,0.31746031746031744
below_-5~0%,56,126,-0.08576921549042174,-0.13821340414182826,0.25396825396825395
0~3%,7,112,-0.008585281852871367,-0.00039988005197477694,0.4107142857142857
0~3%,14,112,0.006519883464881367,-0.0012491060122913344,0.35714285714285715
0~3%,21,112,0.008053312352896693,-0.0016483616941844192,0.4017857142857143
0~3%,28,112,0.012517559818967263,-0.0009259043930743283,0.375
0~3%,56,112,-0.007503439556229936,-0.07025811890715467,0.2767857142857143
3~7%,7,126,-0.0031913937256571614,-0.009557388081201712,0.42063492063492064
3~7%,14,126,0.06095225187419566,-0.03913509670223436,0.4365079365079365
3~7%,21,126,0.0340256197306946,-0.0492829299445805,0.3888888888888889
3~7%,28,126,0.046354604958284876,-0.03050544020872098,0.4444444444444444
3~7%,56,126,0.2745053028090329,-0.1134908518362116,0.35714285714285715
7~15%,7,237,-0.014973543517547611,-0.018069973087274094,0.42616033755274263
7~15%,14,237,0.07531489684460824,0.021830004644681766,0.5232067510548524
7~15%,21,237,0.08608373686359572,-0.015406976744186007,0.4810126582278481
7~15%,28,237,0.11811096058842938,0.007946026986506594,0.510548523206751
7~15%,56,237,0.10333956936674504,-0.03304957436154232,0.459915611814346
15~30%,7,256,0.022141675353092676,-0.013892847782799034,0.48046875
15~30%,14,256,0.07760710859344243,0.05273508644186509,0.58984375
15~30%,21,256,0.07823651078406219,0.004768795934959935,0.51171875
15~30%,28,256,0.09122648836795819,-0.02306385663290389,0.45703125
15~30%,56,256,0.019418713441935794,-0.10478352522415946,0.37109375
30%+,7,261,0.01934143811127109,-0.002457002457002533,0.49808429118773945
30%+,14,261,0.09769772486583357,0.06629306501942311,0.5708812260536399
30%+,21,261,0.06850323333744002,0.021394611727416857,0.5325670498084292
30%+,28,261,0.01142322011165206,-0.10065281108446567,0.3716475095785441
30%+,56,261,0.01740332089388845,-0.14419863122712084,0.3333333333333333
