asset,strategy,interval,score_th,best_trail,best_tp,best_hold,Sharpe_full,Sharpe_oos,mean%_full,win%_full,n_full,n_oos
kr,trend_pullback,1d,60.0,25,30,252,21.53,17.72,10.75,57.0,18143,7565
us,trend_pullback,1d,70.0,25,30,252,22.01,13.9,10.32,58.0,19038,6811
kr,trend_chase,1d,60.0,25,30,252,7.98,9.12,7.94,53.0,4011,1210
us,trend_chase,1d,60.0,15,30,252,5.35,3.82,5.57,47.3,2202,876
us,quiet_bottom,1w,binary,25,20,104,4.78,3.36,15.47,73.3,404,154
kr,quiet_bottom,1w,binary,25,30,104,6.24,3.38,18.63,65.4,607,235
