asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
kr,trend_chase,1d,60,0.1,,120,trail10_TPoff_hold120,2772,42.5,2.75,-99.7,3.5,1.56,1221,44.8,3.75,-97.2,4.71,1.81,0.346
kr,trend_chase,1d,60,0.15,0.2,120,trail15_TP20_hold120,2772,43.8,2.63,-99.8,3.96,1.42,1221,50.0,4.8,-91.0,6.75,1.85,0.705
kr,trend_chase,1d,60,0.15,0.25,120,trail15_TP25_hold120,2772,43.4,2.98,-99.9,4.21,1.47,1221,48.7,5.18,-94.7,6.75,1.92,0.603
kr,trend_chase,1d,60,0.15,0.3,120,trail15_TP30_hold120,2772,43.4,3.23,-99.9,4.3,1.51,1221,48.4,5.45,-94.4,6.65,1.96,0.547
kr,trend_chase,1d,60,0.15,0.4,120,trail15_TP40_hold120,2772,43.3,3.51,-99.9,4.33,1.56,1221,48.2,6.42,-93.5,6.92,2.13,0.598
kr,trend_chase,1d,60,0.15,0.5,120,trail15_TP50_hold120,2772,43.3,3.78,-99.9,4.38,1.6,1221,48.2,6.76,-94.2,6.76,2.19,0.543
kr,trend_chase,1d,60,0.15,,120,trail15_TPoff_hold120,2772,43.3,4.1,-99.9,4.13,1.65,1221,48.2,6.48,-94.2,5.96,2.14,0.443
kr,trend_chase,1d,60,0.2,0.2,120,trail20_TP20_hold120,2772,51.7,3.27,-99.9,4.55,1.47,1221,61.2,6.84,-96.5,9.13,2.23,1.007
kr,trend_chase,1d,60,0.2,0.25,120,trail20_TP25_hold120,2772,48.0,3.7,-99.9,4.78,1.52,1221,57.2,7.54,-98.1,9.18,2.31,0.921
kr,trend_chase,1d,60,0.2,0.3,120,trail20_TP30_hold120,2772,46.8,4.0,-99.9,4.87,1.56,1221,55.0,8.01,-98.0,9.04,2.38,0.856
kr,trend_chase,1d,60,0.2,0.4,120,trail20_TP40_hold120,2772,46.5,4.34,-100.0,4.85,1.61,1221,53.9,9.02,-97.7,8.95,2.55,0.845
kr,trend_chase,1d,60,0.2,0.5,120,trail20_TP50_hold120,2772,46.5,4.75,-100.0,4.95,1.67,1221,53.9,9.72,-97.9,8.84,2.67,0.786
kr,trend_chase,1d,60,0.2,,120,trail20_TPoff_hold120,2772,46.5,5.45,-100.0,4.62,1.76,1221,53.9,9.45,-97.9,7.2,2.62,0.558
kr,trend_chase,1d,60,0.25,0.2,120,trail25_TP20_hold120,2772,55.2,3.6,-99.8,4.81,1.5,1221,66.0,8.06,-96.7,10.66,2.55,1.216
kr,trend_chase,1d,60,0.25,0.25,120,trail25_TP25_hold120,2772,52.2,4.11,-99.9,5.1,1.56,1221,63.7,9.18,-98.0,10.99,2.7,1.155
kr,trend_chase,1d,60,0.25,0.3,120,trail25_TP30_hold120,2772,50.2,4.44,-99.9,5.18,1.59,1221,61.7,10.2,-97.9,11.12,2.84,1.147
kr,trend_chase,1d,60,0.25,0.4,120,trail25_TP40_hold120,2772,48.3,4.86,-99.9,5.18,1.64,1221,59.6,11.61,-97.6,11.03,3.06,1.129
kr,trend_chase,1d,60,0.25,0.5,120,trail25_TP50_hold120,2772,48.2,5.24,-99.9,5.22,1.69,1221,59.5,12.78,-97.9,11.01,3.27,1.109
kr,trend_chase,1d,60,0.25,,120,trail25_TPoff_hold120,2772,48.1,5.97,-99.9,4.89,1.79,1221,59.5,13.14,-97.2,9.04,3.33,0.849
kr,trend_chase,1d,60,0.3,0.2,120,trail30_TP20_hold120,2772,56.1,3.71,-99.9,4.88,1.52,1221,67.8,8.51,-97.4,11.21,2.7,1.297
kr,trend_chase,1d,60,0.3,0.25,120,trail30_TP25_hold120,2772,53.5,4.19,-99.9,5.12,1.57,1221,66.0,9.75,-98.4,11.63,2.88,1.271
kr,trend_chase,1d,60,0.3,0.3,120,trail30_TP30_hold120,2772,51.9,4.55,-99.9,5.22,1.6,1221,64.6,10.91,-98.5,11.83,3.04,1.266
kr,trend_chase,1d,60,0.3,0.4,120,trail30_TP40_hold120,2772,50.1,5.04,-99.9,5.27,1.65,1221,63.0,12.59,-98.3,11.87,3.3,1.252
kr,trend_chase,1d,60,0.3,0.5,120,trail30_TP50_hold120,2772,49.5,5.45,-99.9,5.33,1.71,1221,62.7,13.92,-98.5,11.86,3.54,1.225
kr,trend_chase,1d,60,0.3,,120,trail30_TPoff_hold120,2772,49.4,6.12,-100.0,4.93,1.79,1221,62.7,16.74,-97.9,7.95,4.05,0.613
kr,trend_chase,1d,60,0.1,0.2,252,trail10_TP20_hold252,2772,42.8,1.93,-100.0,3.17,1.38,1221,46.4,4.14,-90.1,6.86,2.0,1.164
kr,trend_chase,1d,60,0.1,0.25,252,trail10_TP25_hold252,2772,42.8,2.04,-100.0,3.22,1.4,1221,46.2,4.31,-93.1,6.66,2.04,1.068
kr,trend_chase,1d,60,0.1,0.3,252,trail10_TP30_hold252,2772,42.8,2.3,-100.0,3.44,1.45,1221,45.9,4.4,-93.5,6.45,2.06,0.875
kr,trend_chase,1d,60,0.1,0.4,252,trail10_TP40_hold252,2772,42.8,2.4,-100.0,3.4,1.47,1221,45.9,4.85,-94.5,6.43,2.17,0.891
kr,trend_chase,1d,60,0.1,0.5,252,trail10_TP50_hold252,2772,42.8,2.41,-100.0,3.31,1.47,1221,45.9,5.12,-96.1,6.31,2.24,0.906
kr,trend_chase,1d,60,0.1,,252,trail10_TPoff_hold252,2772,42.8,2.68,-100.0,3.27,1.52,1221,45.9,4.94,-96.1,5.75,2.19,0.758
kr,trend_chase,1d,60,0.15,0.2,252,trail15_TP20_hold252,2772,42.6,2.78,-100.0,3.91,1.41,1221,51.0,6.06,-95.2,8.57,2.15,1.192
kr,trend_chase,1d,60,0.15,0.25,252,trail15_TP25_hold252,2772,42.0,3.18,-100.0,4.18,1.47,1221,49.7,6.63,-97.4,8.55,2.26,1.045
kr,trend_chase,1d,60,0.15,0.3,252,trail15_TP30_hold252,2772,41.9,3.55,-100.0,4.39,1.52,1221,49.4,7.21,-97.2,8.56,2.37,0.95
kr,trend_chase,1d,60,0.15,0.4,252,trail15_TP40_hold252,2772,41.9,3.7,-100.0,4.24,1.55,1221,49.2,8.36,-97.0,8.65,2.58,1.04
kr,trend_chase,1d,60,0.15,0.5,252,trail15_TP50_hold252,2772,41.8,3.92,-100.0,4.24,1.58,1221,49.2,8.88,-97.3,8.42,2.68,0.986
kr,trend_chase,1d,60,0.15,,252,trail15_TPoff_hold252,2772,41.8,4.06,-100.0,3.85,1.6,1221,49.2,9.27,-97.3,7.26,2.75,0.886
kr,trend_chase,1d,60,0.2,0.2,252,trail20_TP20_hold252,2772,51.0,3.57,-100.0,4.52,1.45,1221,64.5,9.17,-98.7,12.13,2.76,1.684
kr,trend_chase,1d,60,0.2,0.25,252,trail20_TP25_hold252,2772,45.7,4.1,-100.0,4.81,1.5,1221,59.5,10.42,-99.4,12.33,2.91,1.563
kr,trend_chase,1d,60,0.2,0.3,252,trail20_TP30_hold252,2772,44.0,4.61,-100.0,5.05,1.56,1221,56.8,11.52,-99.4,12.32,3.09,1.44
kr,trend_chase,1d,60,0.2,0.4,252,trail20_TP40_hold252,2772,43.7,4.93,-100.0,4.93,1.6,1221,55.6,13.23,-99.4,12.16,3.39,1.467
kr,trend_chase,1d,60,0.2,0.5,252,trail20_TP50_hold252,2772,43.6,5.25,-100.0,4.9,1.64,1221,55.6,14.55,-99.5,11.95,3.63,1.439
kr,trend_chase,1d,60,0.2,,252,trail20_TPoff_hold252,2772,43.6,5.58,-100.0,4.17,1.68,1221,55.6,16.61,-99.5,9.69,4.0,1.324
kr,trend_chase,1d,60,0.25,0.2,252,trail25_TP20_hold252,2772,55.7,3.65,-100.0,4.3,1.41,1221,72.2,11.23,-98.5,14.81,3.38,2.444
kr,trend_chase,1d,60,0.25,0.25,252,trail25_TP25_hold252,2772,51.1,4.27,-100.0,4.64,1.46,1221,69.4,13.2,-98.7,15.47,3.64,2.334
kr,trend_chase,1d,60,0.25,0.3,252,trail25_TP30_hold252,2772,47.0,4.78,-100.0,4.84,1.5,1221,66.8,15.24,-98.9,15.9,3.95,2.285
kr,trend_chase,1d,60,0.25,0.4,252,trail25_TP40_hold252,2772,43.1,5.19,-100.0,4.76,1.54,1221,63.3,18.13,-98.9,15.88,4.43,2.336
kr,trend_chase,1d,60,0.25,0.5,252,trail25_TP50_hold252,2772,42.9,5.55,-100.0,4.73,1.58,1221,63.0,20.76,-99.1,15.87,4.92,2.355
kr,trend_chase,1d,60,0.25,,252,trail25_TPoff_hold252,2772,42.8,6.72,-100.0,4.27,1.7,1221,63.0,29.37,-97.6,11.21,6.55,1.625
kr,trend_chase,1d,60,0.3,0.2,252,trail30_TP20_hold252,2772,58.1,3.51,-100.0,3.94,1.37,1221,75.5,12.21,-98.7,15.99,3.71,3.058
kr,trend_chase,1d,60,0.3,0.25,252,trail30_TP25_hold252,2772,54.1,4.15,-100.0,4.3,1.42,1221,73.1,14.34,-98.8,16.72,3.99,2.888
kr,trend_chase,1d,60,0.3,0.3,252,trail30_TP30_hold252,2772,50.6,4.73,-100.0,4.55,1.46,1221,71.3,16.72,-99.1,17.32,4.36,2.807
kr,trend_chase,1d,60,0.3,0.4,252,trail30_TP40_hold252,2772,45.3,5.16,-100.0,4.48,1.48,1221,68.2,20.25,-99.1,17.59,4.9,2.926
kr,trend_chase,1d,60,0.3,0.5,252,trail30_TP50_hold252,2772,43.5,5.57,-100.0,4.5,1.52,1221,67.3,23.45,-99.3,17.69,5.5,2.931
kr,trend_chase,1d,60,0.3,,252,trail30_TPoff_hold252,2772,43.3,6.86,-100.0,3.91,1.64,1221,67.3,43.01,-98.1,8.09,9.26,1.069
