asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
kr,quiet_bottom,1w,binary,0.1,0.5,26,trail10_TP50_hold26,370,57.8,12.64,-91.8,4.4,3.8,242,42.6,5.29,-87.1,2.16,1.76,-0.509
kr,quiet_bottom,1w,binary,0.1,,26,trail10_TPoff_hold26,370,57.8,15.84,-92.6,3.86,4.51,242,42.6,6.51,-89.4,1.87,1.94,-0.516
kr,quiet_bottom,1w,binary,0.15,0.2,26,trail15_TP20_hold26,370,64.3,12.29,-92.1,5.4,3.52,242,46.7,6.27,-92.2,2.63,1.79,-0.513
kr,quiet_bottom,1w,binary,0.15,0.25,26,trail15_TP25_hold26,370,62.7,13.77,-92.1,5.58,3.81,242,43.4,6.96,-95.3,2.73,1.87,-0.511
kr,quiet_bottom,1w,binary,0.15,0.3,26,trail15_TP30_hold26,370,62.7,14.84,-92.8,5.59,4.03,242,43.0,7.12,-95.3,2.73,1.89,-0.512
kr,quiet_bottom,1w,binary,0.15,0.4,26,trail15_TP40_hold26,370,62.4,16.3,-92.1,5.56,4.32,242,43.0,7.35,-94.2,2.68,1.92,-0.518
kr,quiet_bottom,1w,binary,0.15,0.5,26,trail15_TP50_hold26,370,62.4,17.5,-92.1,5.46,4.56,242,43.0,6.71,-94.2,2.44,1.84,-0.553
kr,quiet_bottom,1w,binary,0.15,,26,trail15_TPoff_hold26,370,62.4,19.66,-94.5,4.59,5.0,242,43.0,7.45,-95.4,1.97,1.93,-0.571
kr,quiet_bottom,1w,binary,0.2,0.2,26,trail20_TP20_hold26,370,71.6,13.82,-94.3,6.03,3.87,242,53.7,8.09,-90.7,3.3,2.03,-0.453
kr,quiet_bottom,1w,binary,0.2,0.25,26,trail20_TP25_hold26,370,68.4,15.25,-94.3,6.08,4.07,242,49.6,8.88,-94.0,3.37,2.1,-0.446
kr,quiet_bottom,1w,binary,0.2,0.3,26,trail20_TP30_hold26,370,67.8,16.63,-95.4,6.14,4.31,242,49.2,9.5,-94.0,3.47,2.18,-0.435
kr,quiet_bottom,1w,binary,0.2,0.4,26,trail20_TP40_hold26,370,66.8,18.71,-94.8,6.18,4.68,242,48.8,10.08,-92.5,3.45,2.25,-0.442
kr,quiet_bottom,1w,binary,0.2,0.5,26,trail20_TP50_hold26,370,66.8,19.86,-95.9,5.98,4.91,242,48.8,10.18,-92.5,3.35,2.26,-0.44
kr,quiet_bottom,1w,binary,0.2,,26,trail20_TPoff_hold26,370,66.8,24.84,-96.2,5.03,5.89,242,48.8,14.35,-94.0,3.01,2.78,-0.402
kr,quiet_bottom,1w,binary,0.25,0.2,26,trail25_TP20_hold26,370,74.1,14.4,-94.1,6.25,4.04,242,57.4,8.74,-91.1,3.48,2.08,-0.443
kr,quiet_bottom,1w,binary,0.25,0.25,26,trail25_TP25_hold26,370,71.1,15.75,-94.1,6.22,4.12,242,53.7,9.53,-91.5,3.52,2.12,-0.434
kr,quiet_bottom,1w,binary,0.25,0.3,26,trail25_TP30_hold26,370,70.0,17.21,-95.7,6.28,4.34,242,52.1,10.15,-91.6,3.6,2.18,-0.427
kr,quiet_bottom,1w,binary,0.25,0.4,26,trail25_TP40_hold26,370,68.4,19.24,-94.6,6.3,4.69,242,50.8,11.52,-91.1,3.79,2.33,-0.398
kr,quiet_bottom,1w,binary,0.25,0.5,26,trail25_TP50_hold26,370,67.8,20.08,-97.7,5.99,4.82,242,50.8,11.32,-91.1,3.62,2.31,-0.396
kr,quiet_bottom,1w,binary,0.25,,26,trail25_TPoff_hold26,370,67.6,25.38,-97.9,5.1,5.81,242,50.8,15.02,-94.3,3.13,2.74,-0.386
kr,quiet_bottom,1w,binary,0.3,0.2,26,trail30_TP20_hold26,370,74.9,14.46,-94.4,6.19,4.01,242,59.9,9.92,-90.8,3.96,2.32,-0.36
kr,quiet_bottom,1w,binary,0.3,0.25,26,trail30_TP25_hold26,370,72.4,15.94,-94.4,6.24,4.15,242,57.4,11.12,-90.8,4.12,2.42,-0.34
kr,quiet_bottom,1w,binary,0.3,0.3,26,trail30_TP30_hold26,370,71.6,17.72,-94.7,6.28,4.45,242,57.0,12.22,-90.8,4.34,2.56,-0.309
kr,quiet_bottom,1w,binary,0.3,0.4,26,trail30_TP40_hold26,370,70.3,19.82,-94.1,6.33,4.77,242,56.2,13.65,-90.8,4.49,2.72,-0.291
kr,quiet_bottom,1w,binary,0.3,0.5,26,trail30_TP50_hold26,370,69.2,20.74,-97.2,6.02,4.89,242,55.8,14.15,-90.8,4.43,2.78,-0.264
kr,quiet_bottom,1w,binary,0.3,,26,trail30_TPoff_hold26,370,68.9,26.35,-97.0,5.1,5.92,242,55.8,19.08,-95.1,3.75,3.4,-0.265
kr,quiet_bottom,1w,binary,0.1,0.2,52,trail10_TP20_hold52,370,60.3,10.48,-92.9,4.81,3.46,242,46.3,6.47,-85.9,2.94,2.03,-0.389
kr,quiet_bottom,1w,binary,0.1,0.25,52,trail10_TP25_hold52,370,59.7,11.33,-92.9,4.84,3.65,242,45.5,6.93,-85.9,2.99,2.1,-0.382
kr,quiet_bottom,1w,binary,0.1,0.3,52,trail10_TP30_hold52,370,59.7,11.87,-94.7,4.74,3.78,242,45.0,7.07,-85.9,2.99,2.13,-0.369
kr,quiet_bottom,1w,binary,0.1,0.4,52,trail10_TP40_hold52,370,59.5,12.74,-94.7,4.68,3.98,242,45.0,7.32,-85.9,2.97,2.17,-0.365
kr,quiet_bottom,1w,binary,0.1,0.5,52,trail10_TP50_hold52,370,59.5,13.52,-94.7,4.61,4.16,242,45.0,6.97,-85.9,2.81,2.11,-0.39
kr,quiet_bottom,1w,binary,0.1,,52,trail10_TPoff_hold52,370,59.5,18.2,-94.7,4.06,5.25,242,45.0,8.49,-85.9,2.2,2.35,-0.458
kr,quiet_bottom,1w,binary,0.15,0.2,52,trail15_TP20_hold52,370,65.7,13.75,-95.2,5.91,3.87,242,49.2,7.82,-89.7,3.29,2.06,-0.443
kr,quiet_bottom,1w,binary,0.15,0.25,52,trail15_TP25_hold52,370,63.8,15.25,-95.2,6.02,4.17,242,45.9,8.87,-93.6,3.45,2.19,-0.427
