asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
us,trend_chase,1d,60,0.1,,120,trail10_TPoff_hold120,1297,45.2,2.85,-94.9,2.99,1.65,883,52.0,6.36,-71.5,5.59,2.69,0.87
us,trend_chase,1d,60,0.15,0.2,120,trail15_TP20_hold120,1297,48.9,3.41,-92.5,3.7,1.62,883,53.0,4.9,-78.9,6.35,1.99,0.716
us,trend_chase,1d,60,0.15,0.25,120,trail15_TP25_hold120,1297,48.3,3.84,-92.5,3.86,1.69,883,51.8,5.31,-82.1,6.35,2.07,0.645
us,trend_chase,1d,60,0.15,0.3,120,trail15_TP30_hold120,1297,48.3,4.11,-94.6,3.93,1.74,883,51.5,5.88,-82.8,6.54,2.18,0.664
us,trend_chase,1d,60,0.15,0.4,120,trail15_TP40_hold120,1297,48.2,4.52,-97.4,3.99,1.81,883,51.4,6.59,-82.2,6.65,2.32,0.667
us,trend_chase,1d,60,0.15,0.5,120,trail15_TP50_hold120,1297,48.2,4.47,-98.7,3.8,1.8,883,51.4,6.97,-85.7,6.66,2.39,0.753
us,trend_chase,1d,60,0.15,,120,trail15_TPoff_hold120,1297,48.2,4.44,-99.0,3.65,1.8,883,51.3,7.96,-87.6,5.97,2.59,0.636
us,trend_chase,1d,60,0.2,0.2,120,trail20_TP20_hold120,1297,57.1,4.11,-95.0,4.14,1.67,883,59.3,5.26,-87.6,6.24,1.92,0.507
us,trend_chase,1d,60,0.2,0.25,120,trail20_TP25_hold120,1297,54.1,4.59,-94.4,4.28,1.74,883,56.1,5.66,-91.0,6.18,1.96,0.444
us,trend_chase,1d,60,0.2,0.3,120,trail20_TP30_hold120,1297,53.4,4.84,-95.2,4.3,1.78,883,54.8,6.36,-92.9,6.47,2.08,0.505
us,trend_chase,1d,60,0.2,0.4,120,trail20_TP40_hold120,1297,53.0,5.2,-95.1,4.28,1.83,883,54.7,7.51,-91.6,6.87,2.27,0.605
us,trend_chase,1d,60,0.2,0.5,120,trail20_TP50_hold120,1297,53.0,5.29,-95.8,4.15,1.84,883,54.7,8.18,-93.5,7.01,2.38,0.689
us,trend_chase,1d,60,0.2,,120,trail20_TPoff_hold120,1297,53.0,5.56,-96.5,3.8,1.89,883,54.5,10.34,-95.0,6.26,2.74,0.647
us,trend_chase,1d,60,0.25,0.2,120,trail25_TP20_hold120,1297,60.8,4.34,-96.3,4.2,1.69,883,62.5,5.51,-92.0,6.26,1.93,0.49
us,trend_chase,1d,60,0.25,0.25,120,trail25_TP25_hold120,1297,58.1,4.78,-96.1,4.28,1.73,883,59.9,5.98,-96.0,6.26,1.96,0.463
us,trend_chase,1d,60,0.25,0.3,120,trail25_TP30_hold120,1297,56.6,5.06,-97.6,4.31,1.76,883,59.0,6.79,-97.0,6.63,2.08,0.538
us,trend_chase,1d,60,0.25,0.4,120,trail25_TP40_hold120,1297,55.3,5.45,-97.7,4.31,1.82,883,58.1,8.17,-96.4,7.14,2.3,0.657
us,trend_chase,1d,60,0.25,0.5,120,trail25_TP50_hold120,1297,55.2,5.57,-97.9,4.2,1.83,883,58.1,8.91,-97.4,7.28,2.41,0.733
us,trend_chase,1d,60,0.25,,120,trail25_TPoff_hold120,1297,55.2,5.86,-97.0,3.86,1.88,883,57.9,11.55,-98.1,6.53,2.83,0.692
us,trend_chase,1d,60,0.3,0.2,120,trail30_TP20_hold120,1297,62.1,4.5,-97.0,4.26,1.72,883,64.1,5.82,-95.7,6.42,1.98,0.507
us,trend_chase,1d,60,0.3,0.25,120,trail30_TP25_hold120,1297,59.6,4.95,-96.6,4.34,1.76,883,61.8,6.3,-98.3,6.4,2.01,0.475
us,trend_chase,1d,60,0.3,0.3,120,trail30_TP30_hold120,1297,58.3,5.23,-97.8,4.36,1.78,883,61.2,7.14,-98.9,6.79,2.12,0.557
us,trend_chase,1d,60,0.3,0.4,120,trail30_TP40_hold120,1297,56.9,5.58,-97.2,4.32,1.82,883,60.1,8.43,-98.7,7.2,2.3,0.667
us,trend_chase,1d,60,0.3,0.5,120,trail30_TP50_hold120,1297,56.4,5.73,-97.6,4.23,1.84,883,59.7,9.15,-99.1,7.33,2.41,0.733
us,trend_chase,1d,60,0.3,,120,trail30_TPoff_hold120,1297,56.4,5.89,-97.5,3.86,1.87,883,59.5,11.85,-99.4,6.62,2.82,0.715
us,trend_chase,1d,60,0.1,0.2,252,trail10_TP20_hold252,1297,45.4,2.93,-94.7,3.63,1.7,883,52.4,4.86,-71.9,7.12,2.33,0.961
us,trend_chase,1d,60,0.1,0.25,252,trail10_TP25_hold252,1297,45.3,2.99,-95.7,3.51,1.71,883,52.1,5.08,-72.2,6.95,2.39,0.98
us,trend_chase,1d,60,0.1,0.3,252,trail10_TP30_hold252,1297,45.2,3.31,-96.0,3.65,1.79,883,52.1,5.42,-71.9,6.94,2.48,0.901
us,trend_chase,1d,60,0.1,0.4,252,trail10_TP40_hold252,1297,45.2,3.62,-96.5,3.72,1.86,883,52.1,5.85,-71.9,6.85,2.6,0.841
us,trend_chase,1d,60,0.1,0.5,252,trail10_TP50_hold252,1297,45.2,3.57,-96.5,3.59,1.85,883,52.1,6.21,-72.1,6.8,2.7,0.894
us,trend_chase,1d,60,0.1,,252,trail10_TPoff_hold252,1297,45.2,3.4,-96.5,3.36,1.81,883,52.1,6.81,-72.1,5.91,2.86,0.759
us,trend_chase,1d,60,0.15,0.2,252,trail15_TP20_hold252,1297,46.9,4.04,-95.5,4.2,1.71,883,51.5,5.38,-82.8,6.77,2.07,0.612
us,trend_chase,1d,60,0.15,0.25,252,trail15_TP25_hold252,1297,46.3,4.55,-95.2,4.35,1.8,883,50.1,5.86,-88.3,6.73,2.15,0.547
us,trend_chase,1d,60,0.15,0.3,252,trail15_TP30_hold252,1297,46.0,5.0,-95.2,4.48,1.88,883,49.7,6.56,-88.7,6.94,2.28,0.549
us,trend_chase,1d,60,0.15,0.4,252,trail15_TP40_hold252,1297,45.7,5.55,-96.1,4.48,1.98,883,49.6,7.43,-89.1,7.0,2.45,0.562
us,trend_chase,1d,60,0.15,0.5,252,trail15_TP50_hold252,1297,45.7,5.71,-96.1,4.34,2.0,883,49.6,7.93,-89.7,6.94,2.55,0.599
us,trend_chase,1d,60,0.15,,252,trail15_TPoff_hold252,1297,45.7,5.76,-98.5,3.89,2.01,883,49.5,9.63,-89.8,5.96,2.88,0.532
us,trend_chase,1d,60,0.2,0.2,252,trail20_TP20_hold252,1297,56.2,5.26,-93.3,4.94,1.8,883,58.7,5.98,-91.2,6.75,1.98,0.366
us,trend_chase,1d,60,0.2,0.25,252,trail20_TP25_hold252,1297,50.2,5.89,-95.9,5.04,1.87,883,52.7,6.43,-95.0,6.58,2.0,0.306
us,trend_chase,1d,60,0.2,0.3,252,trail20_TP30_hold252,1297,48.2,6.53,-95.1,5.18,1.96,883,49.9,7.21,-95.6,6.79,2.11,0.311
us,trend_chase,1d,60,0.2,0.4,252,trail20_TP40_hold252,1297,47.6,7.36,-97.2,5.22,2.07,883,49.6,8.51,-93.2,7.08,2.31,0.356
us,trend_chase,1d,60,0.2,0.5,252,trail20_TP50_hold252,1297,47.6,7.99,-97.1,5.22,2.16,883,49.6,9.48,-95.3,7.22,2.46,0.383
us,trend_chase,1d,60,0.2,,252,trail20_TPoff_hold252,1297,47.6,9.24,-97.1,4.41,2.35,883,49.4,14.56,-96.7,6.23,3.24,0.413
us,trend_chase,1d,60,0.25,0.2,252,trail25_TP20_hold252,1297,63.0,5.88,-94.4,5.17,1.83,883,63.3,6.35,-98.4,6.73,1.97,0.302
us,trend_chase,1d,60,0.25,0.25,252,trail25_TP25_hold252,1297,58.2,6.7,-97.4,5.34,1.89,883,58.7,7.05,-99.1,6.78,2.01,0.27
us,trend_chase,1d,60,0.25,0.3,252,trail25_TP30_hold252,1297,54.4,7.28,-96.9,5.39,1.94,883,55.6,7.85,-99.3,6.95,2.09,0.289
us,trend_chase,1d,60,0.25,0.4,252,trail25_TP40_hold252,1297,51.5,8.41,-98.5,5.55,2.07,883,53.2,9.49,-98.8,7.4,2.3,0.333
us,trend_chase,1d,60,0.25,0.5,252,trail25_TP50_hold252,1297,51.1,8.93,-98.5,5.45,2.13,883,53.2,10.68,-99.3,7.59,2.46,0.393
us,trend_chase,1d,60,0.25,,252,trail25_TPoff_hold252,1297,51.0,11.41,-98.5,4.57,2.44,883,53.0,18.86,-99.5,6.41,3.58,0.403
us,trend_chase,1d,60,0.3,0.2,252,trail30_TP20_hold252,1297,66.5,6.45,-98.6,5.45,1.9,883,67.3,7.12,-99.2,7.28,2.09,0.336
us,trend_chase,1d,60,0.3,0.25,252,trail30_TP25_hold252,1297,62.5,7.35,-99.0,5.64,1.96,883,63.0,7.85,-99.7,7.24,2.1,0.284
us,trend_chase,1d,60,0.3,0.3,252,trail30_TP30_hold252,1297,59.4,8.1,-97.8,5.74,2.01,883,60.6,8.81,-99.8,7.45,2.18,0.298
us,trend_chase,1d,60,0.3,0.4,252,trail30_TP40_hold252,1297,56.1,9.35,-98.0,5.91,2.13,883,57.8,10.52,-99.7,7.85,2.36,0.328
us,trend_chase,1d,60,0.3,0.5,252,trail30_TP50_hold252,1297,54.7,10.04,-98.3,5.85,2.2,883,56.4,11.88,-99.8,8.05,2.53,0.376
us,trend_chase,1d,60,0.3,,252,trail30_TPoff_hold252,1297,54.5,12.46,-98.4,4.93,2.49,883,56.1,20.88,-99.9,6.8,3.68,0.379
