asset,strategy,interval,score_th,trail,tp,hold,rule_name,n_full,win%_full,mean%_full,MDD%_full,Sharpe_full,PF_full,held_full,n_oos,win%_oos,mean%_oos,Sharpe_oos,PF_oos
us,trend_chase,1d,60.0,15,20,60,h60_tr15_tp20,2202,55.0,3.21,-82.2,4.32,1.72,44.7,876,57.0,4.05,3.47,1.98
us,trend_chase,1d,60.0,15,30,60,h60_tr15_tp30,2202,54.7,3.67,-85.8,4.48,1.82,48.2,876,56.4,4.7,3.59,2.13
us,trend_chase,1d,60.0,15,none,60,h60_tr15_tpnone,2202,54.7,3.93,-87.8,4.26,1.88,50.2,876,56.4,5.29,3.51,2.27
us,trend_chase,1d,60.0,20,20,60,h60_tr20_tp20,2202,59.0,3.55,-85.9,4.56,1.77,48.4,876,60.7,4.32,3.51,1.99
us,trend_chase,1d,60.0,20,30,60,h60_tr20_tp30,2202,57.9,4.0,-88.7,4.68,1.86,52.3,876,59.1,4.91,3.57,2.11
us,trend_chase,1d,60.0,20,none,60,h60_tr20_tpnone,2202,57.9,4.35,-89.5,4.5,1.93,54.6,876,59.1,5.66,3.55,2.28
us,trend_chase,1d,60.0,25,20,60,h60_tr25_tp20,2202,59.6,3.56,-83.9,4.49,1.76,49.9,876,61.1,4.32,3.45,1.99
us,trend_chase,1d,60.0,25,30,60,h60_tr25_tp30,2202,58.6,4.05,-86.3,4.63,1.85,53.9,876,59.9,4.97,3.54,2.1
us,trend_chase,1d,60.0,25,none,60,h60_tr25_tpnone,2202,58.2,4.48,-86.3,4.47,1.94,56.3,876,59.6,5.71,3.52,2.26
us,trend_chase,1d,60.0,15,20,120,h120_tr15_tp20,2202,50.4,3.97,-96.3,4.64,1.75,60.7,876,51.8,4.57,3.44,1.93
us,trend_chase,1d,60.0,15,30,120,h120_tr15_tp30,2202,49.4,4.77,-97.6,4.86,1.9,69.4,876,50.3,5.56,3.59,2.11
us,trend_chase,1d,60.0,15,none,120,h120_tr15_tpnone,2202,49.3,5.8,-98.2,4.53,2.09,78.2,876,50.1,7.65,3.3,2.53
us,trend_chase,1d,60.0,20,20,120,h120_tr20_tp20,2202,57.8,4.52,-96.0,4.88,1.77,71.3,876,58.0,4.9,3.38,1.86
us,trend_chase,1d,60.0,20,30,120,h120_tr20_tp30,2202,53.7,5.4,-95.1,5.08,1.89,81.8,876,53.5,5.96,3.52,2.01
us,trend_chase,1d,60.0,20,none,120,h120_tr20_tpnone,2202,53.4,7.41,-96.0,4.73,2.22,93.3,876,53.2,9.8,3.45,2.66
us,trend_chase,1d,60.0,25,20,120,h120_tr25_tp20,2202,61.2,4.76,-94.9,4.93,1.78,76.9,876,61.2,5.17,3.41,1.87
us,trend_chase,1d,60.0,25,30,120,h120_tr25_tp30,2202,57.3,5.7,-96.3,5.14,1.88,88.5,876,57.8,6.37,3.62,2.02
us,trend_chase,1d,60.0,25,none,120,h120_tr25_tpnone,2202,56.0,8.08,-95.2,4.89,2.24,101.3,876,56.7,11.0,3.61,2.75
us,trend_chase,1d,60.0,15,20,252,h252_tr15_tp20,2202,48.6,4.53,-96.2,5.1,1.84,69.6,876,50.6,5.04,3.67,2.0
us,trend_chase,1d,60.0,15,30,252,h252_tr15_tp30,2202,47.3,5.57,-97.0,5.35,2.03,82.6,876,48.7,6.24,3.82,2.22
us,trend_chase,1d,60.0,15,none,252,h252_tr15_tpnone,2202,47.1,7.25,-97.6,4.66,2.34,104.6,876,48.5,9.42,3.35,2.83
us,trend_chase,1d,60.0,20,20,252,h252_tr20_tp20,2202,56.9,5.49,-96.7,5.57,1.87,87.7,876,57.5,5.62,3.68,1.93
us,trend_chase,1d,60.0,20,30,252,h252_tr20_tp30,2202,48.7,6.73,-97.4,5.74,2.01,106.0,876,49.1,6.82,3.73,2.06
us,trend_chase,1d,60.0,20,none,252,h252_tr20_tpnone,2202,48.1,11.28,-97.6,5.07,2.69,140.8,876,48.5,13.8,3.54,3.13
us,trend_chase,1d,60.0,25,20,252,h252_tr25_tp20,2202,62.8,6.0,-97.3,5.71,1.88,100.8,876,62.1,5.98,3.67,1.91
us,trend_chase,1d,60.0,25,30,252,h252_tr25_tp30,2202,54.7,7.43,-99.2,5.93,1.99,123.4,876,54.7,7.41,3.81,2.03
us,trend_chase,1d,60.0,25,none,252,h252_tr25_tpnone,2202,51.6,14.28,-99.5,5.23,2.88,166.3,876,52.2,17.96,3.62,3.47
