A_n_bars,A_tolerance,h,n,mean,median,win,std,strategy,B_timeout_h,C_n_bars,D_n_bars,E_max_days
12.0,0.02,4,4884,-0.00023031962380067126,-0.001817460021323658,0.4645782145782146,0.04149258609921452,A,,,,
12.0,0.02,24,4880,-0.0026884372045662083,-0.010735858876432303,0.4165983606557377,0.09491453173991883,A,,,,
12.0,0.02,72,4869,-0.0017558770118229416,-0.019820081253627553,0.4214417744916821,0.15194235442190748,A,,,,
12.0,0.02,168,4805,0.003990502960690729,-0.03082127419657965,0.41935483870967744,0.23794474422601622,A,,,,
12.0,0.02,336,4656,0.024668299803480523,-0.046519714932938994,0.4183848797250859,0.35351219222047425,A,,,,
12.0,0.02,672,4492,0.032498857724538865,-0.07909138145034605,0.39136242208370436,0.5852318379687734,A,,,,
12.0,0.05,4,5656,-0.0004380337020139495,-0.001817460021323658,0.46552333804809054,0.04059007357476484,A,,,,
12.0,0.05,24,5650,-0.002825783500734105,-0.01070599198668054,0.41823008849557525,0.09407344720393022,A,,,,
12.0,0.05,72,5636,-0.001978018818961577,-0.019217580167841086,0.4240596167494677,0.15194379002127226,A,,,,
12.0,0.05,168,5560,0.003630270276695253,-0.030813282335189263,0.4172661870503597,0.23776822647459225,A,,,,
12.0,0.05,336,5384,0.02509419197745635,-0.0474211457653147,0.4184621099554235,0.3618905530073884,A,,,,
12.0,0.05,672,5187,0.02972563618462597,-0.08366358432408627,0.3888567572778099,0.578116738868518,A,,,,
24.0,0.02,4,4057,0.002000660880773166,-0.0005436161345269142,0.4858269657382302,0.04462778135172184,A,,,,
24.0,0.02,24,4053,-0.0003286245135804887,-0.008469324519727262,0.43720700715519367,0.09393592437034073,A,,,,
24.0,0.02,72,4046,0.0018607555095862772,-0.015916160342389907,0.4369747899159664,0.1554314863014923,A,,,,
24.0,0.02,168,3998,0.006574528877418508,-0.027020308689295947,0.42846423211605805,0.23110892374567588,A,,,,
24.0,0.02,336,3865,0.0235508955746055,-0.04458276867951405,0.41940491591203105,0.3506662124469024,A,,,,
24.0,0.02,672,3733,0.030630374850324604,-0.08546023382183432,0.3897669434770962,0.558605460275777,A,,,,
24.0,0.05,4,5051,0.00155148940537131,-0.0005438230762259133,0.48406256186893687,0.042481586216403085,A,,,,
24.0,0.05,24,5047,0.0004874110392173791,-0.0077928550393040474,0.4426391915989697,0.09223859306152378,A,,,,
24.0,0.05,72,5037,0.0017005687037169755,-0.013872135102533267,0.44192972007147113,0.15091237925073137,A,,,,
24.0,0.05,168,4969,0.005497261938911881,-0.025682182985553803,0.4310726504326826,0.2248608224893171,A,,,,
24.0,0.05,336,4805,0.02552033383234046,-0.04152249134948094,0.42476586888657647,0.3453607561783129,A,,,,
24.0,0.05,672,4636,0.02887538653163732,-0.08378595597775018,0.3915012942191544,0.5562463355965469,A,,,,
48.0,0.02,4,3111,0.0008844504407951401,-0.0012853035684086134,0.4673738347798136,0.04422772026072851,A,,,,
48.0,0.02,24,3111,0.002376351251659027,-0.00849957853329586,0.44101575056252007,0.09486503310612192,A,,,,
48.0,0.02,72,3101,0.00429268851329438,-0.014406764965984475,0.4401805869074492,0.15337498222792187,A,,,,
48.0,0.02,168,3058,0.013578451029462403,-0.028168901995504758,0.4270765206017005,0.2431909019898517,A,,,,
48.0,0.02,336,2948,0.028953733917681523,-0.040131094172352444,0.42740841248303935,0.35667885369988805,A,,,,
48.0,0.02,672,2843,0.034875431978209456,-0.08227561196736188,0.3890256771016532,0.5867835287072987,A,,,,
48.0,0.05,4,4197,0.0005587350545022524,-0.0013020833333331483,0.4662854419823684,0.041042001731726306,A,,,,
48.0,0.05,24,4195,0.0012677525324144214,-0.007687927107061565,0.44481525625744933,0.08891033826771887,A,,,,
48.0,0.05,72,4180,0.0016353504627806444,-0.01479384486468982,0.43564593301435406,0.1445583288307596,A,,,,
48.0,0.05,168,4113,0.008801839282735181,-0.027804616210413302,0.42669584245076586,0.23071349417714435,A,,,,
48.0,0.05,336,3974,0.026120468449788617,-0.03947955229934158,0.4257674886763966,0.34418865503252266,A,,,,
48.0,0.05,672,3834,0.027910777179540255,-0.08538451407325665,0.3888888888888889,0.5483171802462804,A,,,,
,,4,6313,0.00042084776637103853,-0.001885107649568396,0.468715349279265,0.05293876559298395,B,48.0,,,
,,24,6303,-0.001502466844899127,-0.009666080843585223,0.4277328256385848,0.0974761028721235,B,48.0,,,
,,72,6294,-7.225666585151585e-05,-0.018972307737579464,0.4232602478551001,0.1660238309983953,B,48.0,,,
,,168,6209,0.004693382010605561,-0.028695181375202994,0.42583346754710905,0.2384620969429159,B,48.0,,,
,,336,6013,0.0278320825414506,-0.045362903225806495,0.42458007650091467,0.36855261683425383,B,48.0,,,
,,672,5773,0.030739038327272622,-0.08574259636064774,0.3897453663606444,0.5774733782687177,B,48.0,,,
,,4,4255,-0.0009182561480829247,-0.005456349206349187,0.4282021151586369,0.06538124660382322,C,,12.0,,
,,24,4251,-0.0037494009626563075,-0.016363156505674437,0.4048459186073865,0.12125653652417995,C,,12.0,,
,,72,4243,-0.0021607917380236062,-0.024252865946590707,0.41621494225783645,0.17607828654185248,C,,12.0,,
,,168,4187,0.004573739111166891,-0.03617710583153344,0.40960114640554096,0.26952325184369097,C,,12.0,,
,,336,4050,0.024547948697275872,-0.049873462721164,0.4160493827160494,0.37694507236688274,C,,12.0,,
,,672,3884,0.03138434499548807,-0.09151639681319623,0.38027806385169927,0.6255058325907945,C,,12.0,,
,,4,4597,-0.0009676132627313381,-0.005718370264474526,0.42440722210137044,0.06441059321818848,C,,24.0,,
,,24,4593,-0.002931398450857516,-0.01624274314882357,0.40561724363161333,0.1224422626534396,C,,24.0,,
,,72,4584,-0.0022197240457708643,-0.023873438345585196,0.4155759162303665,0.1747316136853445,C,,24.0,,
,,168,4526,0.00489558661377553,-0.03668905025271668,0.4102960671674768,0.2690485692696588,C,,24.0,,
,,336,4382,0.026490986451826078,-0.0498226418640621,0.4169329073482428,0.37787100848858357,C,,24.0,,
,,672,4202,0.03064023073726589,-0.08874677606237885,0.3829128986197049,0.6120113059470976,C,,24.0,,
,,4,4930,-0.001006642061207207,-0.005489424566225032,0.42697768762677485,0.0637452319815762,C,,48.0,,
,,24,4926,-0.0025596684656204937,-0.015859608263514124,0.4070239545269996,0.12091028166656237,C,,48.0,,
,,72,4916,-0.0014825502069734482,-0.023368443278253104,0.41700569568755086,0.17517154729110457,C,,48.0,,
,,168,4857,0.005610580717856215,-0.03727041158332223,0.41177681696520485,0.26708242796931225,C,,48.0,,
,,336,4699,0.028069798881886914,-0.049164399533618175,0.4181740795914024,0.37597633023588944,C,,48.0,,
,,672,4508,0.03223415568572394,-0.0853447113378773,0.38509316770186336,0.609040579747135,C,,48.0,,
,,4,4977,-0.000967308737493701,-0.0027223230490017736,0.4583082178018887,0.0505305488798817,D,,,4.0,
,,24,4972,-0.0030823482373391747,-0.012324749475814245,0.412711182622687,0.1045458229104281,D,,,4.0,
,,72,4961,-0.0019345520049399224,-0.021508231545406264,0.41523886313243297,0.16267743021394934,D,,,4.0,
,,168,4907,0.004856446711081552,-0.03211892621647283,0.42184634196046467,0.2493355262935653,D,,,4.0,
,,336,4754,0.03168372175650601,-0.045953623363589324,0.4234328986116954,0.38726924790058104,D,,,4.0,
,,672,4578,0.03538209077574333,-0.0804427717539527,0.3920926168632591,0.5893774237063802,D,,,4.0,
,,4,4187,-0.0005042171906348908,-0.0034888791975576927,0.44877000238834486,0.04767649105388839,D,,,8.0,
,,24,4182,-0.0037031096885427805,-0.012034043526341631,0.4105691056910569,0.09708665140214871,D,,,8.0,
