A_n_bars,A_tolerance,h,n,mean,median,win,std,strategy,B_timeout_h,C_n_bars,D_n_bars,E_max_days
,,72,4174,-0.002167479832094733,-0.020452575063380884,0.4262098706276953,0.16001764142953012,D,,,8.0,
,,168,4124,0.006063623091729118,-0.02878230901013723,0.4277400581959263,0.24676901438510662,D,,,8.0,
,,336,3999,0.03184752059315896,-0.04378066993812668,0.4291072768192048,0.368237848266357,D,,,8.0,
,,672,3858,0.036359181465386234,-0.082479981635113,0.3942457231726283,0.5892377439530748,D,,,8.0,
,,4,3259,-0.00017593988535058788,-0.0018631104138066013,0.4642528382939552,0.044150071357026054,D,,,12.0,
,,24,3257,-0.002804245316509378,-0.011558451632922129,0.4166410807491557,0.09804125896322873,D,,,12.0,
,,72,3250,-0.0013024317304895514,-0.021906684725509773,0.41384615384615386,0.1580737386073195,D,,,12.0,
,,168,3211,0.008580326221796383,-0.03007518796992481,0.4263469324198069,0.24600711896709537,D,,,12.0,
,,336,3119,0.036284655186832056,-0.03973405097356342,0.43475472907983326,0.37311407832420285,D,,,12.0,
,,672,3018,0.04633514578076234,-0.07548766383171285,0.4039098740888005,0.6229729702695499,D,,,12.0,
,,4,2794,-0.00039631234072340414,-0.004703977945143989,0.43342877594846096,0.047387729591531334,E,,,,2.0
,,24,2794,-0.001841977978805833,-0.01200917669396756,0.42233357193987114,0.09671822344132426,E,,,,2.0
,,72,2786,-0.00106325448328016,-0.0219516727443681,0.4253409906676238,0.1696300230291797,E,,,,2.0
,,168,2743,0.015801969195461462,-0.027916331456154353,0.43747721472839957,0.2707824782347476,E,,,,2.0
,,336,2657,0.04320823285925652,-0.046217712177121784,0.42717350395182535,0.42591118189852667,E,,,,2.0
,,672,2548,0.04309242253493192,-0.09548851496638111,0.38893249607535324,0.6408413735156823,E,,,,2.0
