ma_short_period,gate_strict,horizon_d,n,mean,median,std,win,var_adj
10,True,1,1488,-0.0031059033532676358,-0.003284898386598012,0.0659678071106308,0.4603494623655914,-0.11195278508580844
10,True,2,1481,0.0005145688344546284,-0.002279140438463112,0.08955908250033444,0.46927751519243754,-0.1472579172910972
10,True,3,1470,7.854089608840713e-05,-0.004849377209167394,0.11002848728135363,0.4673469387755102,-0.18146846311814507
10,True,4,1467,0.0012323942562483376,-0.0054167920553716,0.12438812905465985,0.46284935241990455,-0.20400801868394042
10,True,5,1461,0.0045708568698820725,-0.0013023659648361274,0.13029288732749839,0.4804928131416838,-0.21041240722049026
10,True,6,1457,-0.002213951585396042,-0.010978794988711349,0.1348252133618516,0.4433768016472203,-0.22467555363245117
10,True,7,1456,-0.0018470196480930119,-0.013066871637202104,0.14488471770187064,0.41895604395604397,-0.24090680385617955
10,True,14,1451,0.009196907041605354,-0.0008631851532152623,0.22808524123040916,0.48518263266712613,-0.3671437409885697
10,True,21,1446,-0.006316626603138342,-0.03792867394748073,0.27214408969257886,0.3831258644536653,-0.45535437459589345
10,True,28,1441,-0.013396997229702518,-0.051600099230959984,0.3126827394048448,0.35877862595419846,-0.5293235172476964
10,True,35,1427,-0.0313755861412131,-0.08208208208208223,0.4055425296950676,0.3265592151366503,-0.7005207601380745
10,True,42,1420,-0.03335275727810408,-0.08850575431182689,0.427921699249147,0.33943661971830985,-0.7394235610391966
10,True,49,1413,-0.04329256143886388,-0.11331423401688778,0.7340614112672128,0.313517338995046,-1.254493890029765
10,True,56,1406,-0.04985172716453807,-0.16027784884185342,0.6982549857045868,0.2972972972972973,-1.2019724535771061
5,True,1,1528,-0.002282829025683439,-0.004653678463249766,0.06839082791639542,0.44175392670157065,-0.11512769508773588
5,True,2,1514,0.00839442414035869,0.00012657342859345722,0.09306090641056955,0.5039630118890357,-0.14515607143708106
5,True,3,1494,0.008713084097460038,-0.0004412145315206839,0.11743898056189372,0.4886211512717537,-0.18506123382966458
5,True,4,1491,0.006250054614837932,-0.0009991008092715692,0.1253070633396919,0.48088531187122735,-0.2005065998956537
5,True,5,1480,0.006343621613541785,-0.001399475939110606,0.13341748991338478,0.4810810810810811,-0.2137952367435431
5,True,6,1477,0.008450414495643767,-0.0009997000899729658,0.1372157613442858,0.47935003385240355,-0.21795559172242782
5,True,7,1476,0.004091817188259616,-0.010271209573953055,0.150355774743111,0.4464769647696477,-0.24399521113787348
5,True,14,1470,0.007189689181882293,-0.016112741198192004,0.24811895985302618,0.44625850340136053,-0.40220659457561087
5,True,21,1461,-9.695181609145834e-05,-0.05143755615453727,0.28639190224000316,0.379192334017796,-0.47264359051209665
5,True,28,1451,-0.001199827337807703,-0.06128848346636262,0.316793936642994,0.352170916609235,-0.5239098227987478
5,True,35,1443,-0.01795294128445014,-0.09140108238123867,0.42248338474464714,0.32917532917532916,-0.7150505261131179
5,True,42,1433,-0.019747763918350703,-0.09289383561643827,0.43608620471016507,0.34124214933705516,-0.7392900016901229
5,True,49,1426,-0.025035191201794288,-0.10688656971862998,0.7178070236087621,0.33660589060308554,-1.2094167801562519
5,True,56,1420,-0.051716781905387414,-0.14154855919445924,0.6661673254230293,0.3,-1.1508928688533857
15,True,1,1478,-0.0013686627208787353,-0.0016613146601952566,0.06093515754025567,0.4769959404600812,-0.10191167266230058
15,True,2,1466,0.0038192553871657002,-0.0007455738069429008,0.09408370585449402,0.4849931787175989,-0.15141885927274942
15,True,3,1458,0.0073493707425148465,-0.0011648671153655088,0.11725983233729458,0.4787379972565158,-0.1861293526140212
15,True,4,1458,0.00904453950751405,0.004061333910359344,0.13518580615387865,0.5212620027434842,-0.2140120406463857
15,True,5,1454,0.005473292907934968,0.001735584491501907,0.13134313348617185,0.5123796423658872,-0.21124287734424857
15,True,6,1451,0.00041784089466618965,-0.0035820895522389318,0.13719921296855067,0.4720882150241213,-0.2259608605034424
15,True,7,1446,0.00014505454290242358,-0.01143141153081495,0.15177877827461905,0.4363762102351314,-0.250289929610219
15,True,14,1430,0.009013287525773017,-0.0024348324262389864,0.2240891808483589,0.479020979020979,-0.36073386087401915
15,True,21,1427,-0.013311722882436844,-0.04605431173916752,0.26046845293355037,0.37421163279607567,-0.44308467022279496
15,True,28,1419,-0.013620947735159337,-0.05634256278171279,0.3226574393821592,0.3664552501761804,-0.5460057227157219
15,True,35,1396,-0.030524105545000593,-0.09226994814122264,0.4322246463138731,0.3345272206303725,-0.7436947719628911
15,True,42,1388,-0.035997351336453175,-0.10165595772532088,0.4543584787907809,0.3414985590778098,-0.7856888413412416
15,True,49,1383,-0.035437821094131475,-0.11594924110475235,0.7595794898203264,0.3318872017353579,-1.28874397929767
15,True,56,1377,-0.04244437197460382,-0.16055045871559637,0.7225059772744586,0.31082062454611475,-1.2345792344774607
10,False,1,11620,9.048983368689024e-05,0.0,0.07656557939387512,0.49939759036144576,-0.12624271616620705
