group,n,1h_mean,1h_win,6h_mean,6h_win,24h_mean,24h_win,72h_mean,72h_win,168h_mean,168h_win
BASELINE: ALL impulses (imp-close),1228,0.003072618564300462,0.4747557003257329,0.00863932527954126,0.4609120521172638,0.0072554813584485055,0.4110929853181077,0.005562430361002077,0.3891625615763547,0.004134968905424757,0.373022481265612
MA10 touched within 10 (fr touch close),1099,0.0005581922643446041,0.47588717015468607,0.0040994154398490195,0.4531392174704277,-0.00013928959114422237,0.3989071038251366,0.0006252182336410871,0.39302112029384756,0.0008222123826726884,0.38992537313432835
  MA10 bars  1- 3 (ALL angles),195,0.002121872041770964,0.4512820512820513,-0.0009047123605564745,0.4358974358974359,-0.009377335367030452,0.39690721649484534,0.0012982859093010543,0.4010416666666667,-0.0046090533922350605,0.3709677419354839
  MA10 bars  4- 6 (ALL angles),382,0.001938876747498671,0.5157068062827225,0.01141566299696756,0.5,0.021487321145764012,0.46335078534031415,0.025849712653095703,0.4052631578947368,0.04869050489404119,0.4441489361702128
  MA10 bars  7-10 (ALL angles),522,-0.0010363269486113225,0.4559386973180077,0.0006147379575880794,0.42528735632183906,-0.012532363194548472,0.3524904214559387,-0.018164988484191538,0.38104448742746616,-0.03248810634309539,0.3568627450980392
--- CROSS-TAB: bars × angle (quantile bins) ---,0,,,,,,,,,,
"  [bars 1-3] quantile edges: q20=-8.48%/봉, q40=-5.41%, q60=-3.66%, q80=-2.72%",195,,,,,,,,,,
  bars  1- 3 × Q5 steepest,39,0.015663206394067698,0.41025641025641024,0.030904957514468298,0.5641025641025641,0.036768109378980736,0.4473684210526316,0.07555548049396077,0.5,-0.010898575424401053,0.3783783783783784
  bars  1- 3 × Q4,39,-0.0025304023202053195,0.41025641025641024,-0.0017069540352531393,0.4358974358974359,-0.0028397164839645416,0.4358974358974359,-0.0006636538353354124,0.4358974358974359,0.004167931885580289,0.34210526315789475
  bars  1- 3 × Q3 median,39,-0.0027285679317939873,0.46153846153846156,-0.017917653115325668,0.46153846153846156,-0.04321143184943288,0.3333333333333333,-0.023638454426545854,0.28205128205128205,0.01478405078587822,0.4358974358974359
  bars  1- 3 × Q2,39,-0.0019351335524207692,0.48717948717948717,-0.003655530537315243,0.38461538461538464,-0.01958220825847497,0.38461538461538464,0.00608347449159437,0.40540540540540543,0.02818213253274701,0.36363636363636365
  bars  1- 3 × Q1 flattest,39,0.0021402576192072,0.48717948717948717,-0.01214838162935662,0.3333333333333333,-0.0168382130903116,0.38461538461538464,-0.04869599226052127,0.38461538461538464,-0.05433349759320089,0.3333333333333333
"  [bars 4-6] quantile edges: q20=-1.90%/봉, q40=-1.36%, q60=-0.99%, q80=-0.64%",382,,,,,,,,,,
  bars  4- 6 × Q5 steepest,77,0.005290526708457432,0.5064935064935064,0.02656077359234199,0.5194805194805194,0.06350780252328538,0.4805194805194805,0.07000639849467204,0.4605263157894737,0.15624205732387983,0.5131578947368421
  bars  4- 6 × Q4,76,0.004202909509960454,0.5789473684210527,0.015345894802458746,0.5131578947368421,0.02070008855319455,0.5394736842105263,0.038777614053796726,0.40789473684210525,0.00863168596361946,0.41333333333333333
  bars  4- 6 × Q3 median,76,0.0029848003793013864,0.5789473684210527,-0.0017775287001128351,0.4605263157894737,-0.019952887038883944,0.4473684210526316,-0.018639424808750235,0.37333333333333335,-0.03652382218996517,0.33783783783783783
  bars  4- 6 × Q2,76,-0.00300765042489176,0.42105263157894735,0.008202669849426969,0.5,0.006711602206481286,0.40789473684210525,0.016346261669761223,0.40789473684210525,0.056781878187972624,0.5333333333333333
  bars  4- 6 × Q1 flattest,77,0.0002025433987161548,0.4935064935064935,0.008584480076578378,0.5064935064935064,0.035729698709203846,0.44155844155844154,0.022220088678534502,0.37662337662337664,0.05565761860832426,0.42105263157894735
"  [bars 7-10] quantile edges: q20=-0.38%/봉, q40=-0.13%, q60=+0.14%, q80=+0.50%",522,,,,,,,,,,
  bars  7-10 × Q5 steepest,105,0.0009992063443541057,0.5047619047619047,-0.001383795646439973,0.4095238095238095,-0.010839140266291592,0.34285714285714286,-0.008777889009064472,0.4326923076923077,-0.040941000825461565,0.36893203883495146
  bars  7-10 × Q4,104,-0.0012543403442553049,0.5,-0.00010700605668579631,0.3942307692307692,-0.02135755994348006,0.3076923076923077,-0.015817593123605297,0.3786407766990291,-0.0502481630985828,0.3627450980392157
  bars  7-10 × Q3 median,104,-0.00018507408088242237,0.4423076923076923,-0.0020008345706853093,0.375,-0.012492177799561565,0.41346153846153844,-0.012398294151146051,0.39805825242718446,-0.02204780684428542,0.4117647058823529
  bars  7-10 × Q2,104,-0.0035085792913768423,0.34615384615384615,-0.0017984706176496469,0.46153846153846156,-0.013458840034055149,0.3173076923076923,-0.03442170686278626,0.3076923076923077,-0.0496127732507225,0.2524271844660194
  bars  7-10 × Q1 flattest,105,-0.0012503617791883445,0.4857142857142857,0.008309029773517456,0.4857142857142857,-0.004606588293101151,0.38095238095238093,-0.019342763945195723,0.3883495145631068,0.001322934290408717,0.39
