year_month,n_impulses,n_symbols,mean_168h_imp,median_168h_imp,mean_168h_ma10,median_168h_ma10,win_168h_ma10,n_touched
2020-12,1,1,-0.003168642178148051,-0.003168642178148051,-0.0194726622956356,-0.0194726622956356,0.0,1
2021-01,1,1,-0.05769977982126662,-0.05769977982126662,-0.031408995319177735,-0.031408995319177735,0.0,1
2021-02,1,1,0.24531307437813998,0.24531307437813998,0.3027193755507993,0.3027193755507993,1.0,1
2021-03,3,2,0.07849475011192115,-0.046108007448789734,-0.09287986138791049,-0.09287986138791049,0.0,1
2021-05,2,2,0.15186586706461624,0.15186586706461624,0.12720150274433195,0.12720150274433195,1.0,2
2021-07,1,1,-0.029694803409403447,-0.029694803409403447,0.013835945220951551,0.013835945220951551,1.0,1
2021-09,1,1,0.1435861245317842,0.1435861245317842,0.204784162771515,0.204784162771515,1.0,1
2021-10,1,1,0.125938978020959,0.125938978020959,0.10487793790062283,0.10487793790062283,1.0,1
2021-12,2,2,-0.10179227049081885,-0.10179227049081885,-0.13193113013301078,-0.13193113013301078,0.0,2
2022-05,1,1,0.014789038712483604,0.014789038712483604,-0.11257011728709831,-0.11257011728709831,0.0,1
2022-09,1,1,-0.014539579967689842,-0.014539579967689842,0.05438786565547127,0.05438786565547127,1.0,1
2022-10,1,1,0.23393885688967653,0.23393885688967653,0.2604002698448393,0.2604002698448393,1.0,1
2022-11,18,8,-0.2018559786518551,-0.19874741972960858,-0.1872139887492179,-0.1666190492627091,0.16666666666666666,18
2023-01,8,6,0.09708880832614127,0.12077243340160371,0.08217710302794089,0.048798203237133686,0.6666666666666666,6
2023-02,8,8,-0.05931152504827855,-0.09356561463329244,-0.049357090124967994,-0.0825313502478856,0.2857142857142857,7
2023-03,7,5,-0.013900248777923776,-0.011767765424874899,-0.030495702879230646,-0.0047186870993430885,0.5,6
2023-04,5,4,-0.11083196407774105,-0.11438420557818862,-0.09933943652976056,-0.12173038229376254,0.2,5
2023-05,2,2,-0.055293297139848596,-0.055293297139848596,-0.03763186696794235,-0.03763186696794235,0.0,2
2023-06,3,2,-0.024910340239702806,-0.05749105841833346,-0.029694640613522044,-0.07702165412545592,0.3333333333333333,3
2023-07,12,6,0.060762252516577415,-0.008679346497946716,0.027910744652903857,-6.941411726840707e-05,0.5,12
2023-08,5,5,-0.07900766281824789,-0.08176780646033255,-0.08421628407835331,-0.0697163651735212,0.0,5
2023-10,6,5,0.002830989352346991,-0.044236357824725514,-0.0011391146423860115,-0.07543149162595486,0.3333333333333333,6
2023-11,27,22,0.06469627804087094,-0.0421737111007896,0.07982844744693797,-0.03650843932244452,0.4166666666666667,24
2023-12,41,32,0.020327686616862867,-0.02888019377678408,0.012745299429413779,-0.0281463229719483,0.42857142857142855,35
2024-01,45,33,-0.04881368828920331,-0.0837974242951619,-0.04511323633318717,-0.0681431005110733,0.3333333333333333,39
2024-02,68,42,0.21449150083347096,0.1066567948051077,0.21890998125175282,0.11064862989941027,0.7704918032786885,61
2024-03,95,55,0.015376842011723487,-0.03122232063773256,0.02414116986975624,-0.018260120585701922,0.47126436781609193,87
2024-04,32,22,-0.07331150493309288,-0.09040582919015755,-0.09204240985022004,-0.054748603351955305,0.24,25
2024-05,24,18,0.13878224150095733,0.0205302710299754,0.16992677759454786,0.07867596102890229,0.6521739130434783,23
2024-06,15,13,-0.2064134810112397,-0.2243451197371834,-0.18441907671939028,-0.21433317633492632,0.07142857142857142,14
2024-07,2,2,0.1473810028540391,0.1473810028540391,0.2369008811685408,0.2369008811685408,1.0,2
2024-08,1,1,0.0851410862828248,0.0851410862828248,0.05309451463297621,0.05309451463297621,1.0,1
2024-09,1,1,0.017163661581137246,0.017163661581137246,0.047094366447485214,0.047094366447485214,1.0,1
2024-11,44,33,0.03324003939470199,0.026993868012278432,0.055890300227200866,0.022547006482264376,0.5581395348837209,43
2024-12,69,47,-0.04315457393418642,-0.12929023658780403,-0.05041540499866974,-0.11501023853876202,0.36666666666666664,60
2025-01,43,31,-0.07088609239940494,-0.10203404819809858,-0.09189227733423824,-0.10269756268455033,0.22857142857142856,35
2025-02,18,7,-0.0866343984380265,-0.09283456005091073,-0.05512176772256575,-0.050005588670472056,0.3125,16
2025-03,30,24,-0.1928890272582072,-0.20648282699505582,-0.2086023322090066,-0.2436319860406756,0.03333333333333333,30
2025-04,5,4,0.06521525055556458,-0.013113389186657609,0.158190076895688,0.02370392272816879,0.6,5
2025-06,2,2,0.11281272793203401,0.11281272793203401,0.07267385638770724,0.07267385638770724,0.5,2
2025-07,37,28,-0.0687707451836429,-0.06284845413076534,-0.05045133383694802,-0.07602920280532649,0.3611111111111111,36
2025-08,130,91,-0.035180853504446365,-0.09246877315138607,-0.03039733599140221,-0.11332904056664517,0.21904761904761905,105
2025-09,73,36,-0.011858150633848116,-0.04156647200274821,0.009799042466350763,-0.05194642824038137,0.38235294117647056,68
2025-10,52,30,-0.08835884481624966,-0.11760379120911296,-0.10125625126973063,-0.08324772956345994,0.3125,48
2025-11,52,28,0.029548110776845417,-0.1170277682186599,-0.001918561087808054,-0.1143776787332948,0.3125,48
2025-12,21,11,0.0010713627767417124,-0.0835555555555556,0.042910687759910145,-0.03066640294054629,0.45,20
2026-01,29,19,-0.14931719145614358,-0.13755967580770512,-0.12630710188370137,-0.14525333722243006,0.23076923076923078,26
2026-02,19,7,0.23206852630288158,0.12290730910575753,0.222591493763627,0.10943140794223827,0.5789473684210527,19
2026-03,26,15,0.002748401056192771,0.04634091551845054,0.07509710169557719,0.03613687083342343,0.5454545454545454,22
2026-04,75,35,0.06995160250107815,-0.024301720056809084,0.04216845766574407,-0.02610472664619945,0.4375,64
2026-05,62,30,0.287238886977911,0.025401762571280573,0.0652069254676859,-0.031666745623800785,0.4827586206896552,56
