asset,strategy,interval,window,start,end,threshold,max_hold,trailing_pct,take_profit_pct,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
kr,trend_pullback,1d,W1,2020-05-01,2021-05-01,60,252,0.25,0.4,12869,67.8,23.63,40.58,110.2,inf,,90.03,5.87
kr,trend_pullback,1d,W2,2021-05-01,2022-05-01,60,252,0.25,0.4,7249,20.9,-7.96,-17.61,100.6,-100.0,-100.0,-24.59,0.51
kr,trend_pullback,1d,W3,2022-05-01,2023-05-01,60,252,0.25,0.4,5514,31.8,-0.13,-12.7,118.9,-100.0,-100.0,-0.32,0.99
kr,trend_pullback,1d,W4,2023-05-01,2024-05-01,60,252,0.25,0.4,5674,34.4,0.37,-12.08,113.5,-100.0,-100.0,0.89,1.03
kr,trend_pullback,1d,W5,2024-05-01,2025-05-01,60,252,0.25,0.4,5565,39.7,4.73,-7.75,104.5,3362570506.8,-100.0,11.5,1.44
kr,trend_pullback,1d,W6,2025-05-01,2026-05-18,60,252,0.25,0.4,10453,53.9,12.45,2.67,67.3,inf,,41.39,3.1
kr,trend_pullback,1w,W1,2020-05-01,2021-05-01,75,78,0.2,0.4,2396,58.5,18.03,6.55,28.2,5.543209319744328e+127,-99.8,25.47,3.93
kr,trend_pullback,1w,W2,2021-05-01,2022-05-01,75,78,0.2,0.4,3077,19.2,-8.35,-15.06,34.3,-100.0,-100.0,-17.7,0.46
kr,trend_pullback,1w,W3,2022-05-01,2023-05-01,75,78,0.2,0.4,874,36.4,1.3,-11.22,35.4,-100.0,-100.0,1.18,1.1
kr,trend_pullback,1w,W4,2023-05-01,2024-05-01,75,78,0.2,0.4,1473,46.6,8.92,-2.95,36.4,1.0288679865747673e+26,-100.0,10.55,1.95
kr,trend_pullback,1w,W5,2024-05-01,2025-05-01,75,78,0.2,0.4,1712,64.2,20.48,40.14,35.0,7.117987418490959e+113,-99.8,27.75,4.79
kr,trend_pullback,1w,W6,2025-05-01,2026-05-18,75,78,0.2,0.4,2955,60.5,14.49,5.41,16.9,2.290124265268454e+139,-99.2,27.6,4.49
kr,trend_chase,1d,W1,2020-05-01,2021-05-01,60,365,0.25,0.4,1877,66.7,23.89,40.48,136.6,6.491572500245864e+151,-93.3,35.91,6.82
kr,trend_chase,1d,W2,2021-05-01,2022-05-01,60,365,0.25,0.4,1899,18.9,-9.05,-17.51,140.5,-100.0,-100.0,-15.5,0.44
kr,trend_chase,1d,W3,2022-05-01,2023-05-01,60,365,0.25,0.4,1910,31.4,-0.39,-11.73,167.4,-100.0,-100.0,-0.57,0.97
kr,trend_chase,1d,W4,2023-05-01,2024-05-01,60,365,0.25,0.4,2226,39.1,4.17,-7.94,170.6,-100.0,-100.0,6.32,1.38
kr,trend_chase,1d,W5,2024-05-01,2025-05-01,60,365,0.25,0.4,1895,52.6,12.57,2.13,160.7,2.0721227408071365e+67,-99.5,17.82,2.59
kr,trend_chase,1d,W6,2025-05-01,2026-05-18,60,365,0.25,0.4,2022,53.9,13.62,2.46,91.8,5.733074177806343e+79,-99.7,11.26,3.4
