horizon_h,n,mean,median,std,win,p25,p75
1,3372,-0.00029993574962310283,0.00010001500250045314,0.03870951348241242,0.5029655990510083,-0.007653736636069192,0.008121923821346577
6,3372,0.0027982792604543793,0.0004951014513021601,0.05642295847220737,0.5103795966785291,-0.015939993908426958,0.018213811288399828
24,3367,0.0015862728500129367,-0.0010001000100009483,0.08939524044957504,0.47995247995247997,-0.03345307818872434,0.030344478056270385
72,3346,0.006076552786313567,-0.0011224262686850284,0.16029867049469246,0.4814704124327555,-0.055836752388869454,0.05367431012728435
168,3322,-0.0018475059874439347,-0.013527423679163597,0.16597560001536296,0.4361830222757375,-0.08671674200839521,0.06111413455400444
336,3312,-0.008925164881570906,-0.030398035132106704,0.27438414327198113,0.40851449275362317,-0.12972752793397158,0.06290823191286776
672,3293,-0.03427134979263264,-0.08621374652363911,0.4522934230589652,0.32462799878530213,-0.2257064504590438,0.046507617758763775
