confirm_offset,n_168h,mean_168h,median_168h,win_168h,var_adj_168h,n_672h,mean_672h,median_672h,win_672h,var_adj_672h
1,2898,-0.0014872240491699005,-0.013849825551148998,0.4385783298826777,-0.2731542437708562,2863,-0.03163432244100879,-0.08193539442672948,0.3265805099545931,-0.8355621434919478
2,2897,-0.003960449106367962,-0.015691727083126383,0.43493268898860893,-0.2686558660771817,2863,-0.03403167757434101,-0.08561223350820402,0.3262312259867272,-0.8359465064889299
3,2897,-0.005170978591048097,-0.01516833148353669,0.43493268898860893,-0.26714290588844974,2863,-0.034546300679347844,-0.08485567417951756,0.3230876702759343,-0.8428967414809546
