asset,strategy,interval,threshold,exit_rule,max_hold,trailing_pct,take_profit_pct,cut_early_neg,n,win_pct,mean_pct,median_pct,total_pct,mdd_pct,sharpe,profit_factor,avg_held_bars
us,trend_chase,1d,60.0,chase_default,65,0.2,0.3,0,1687,58.09128630705395,4.391559620706153,3.2129677280527513,4.58302733202163e+23,-80.33830776100646,0.548081034875199,1.9236736957573357,55.92708950800237
us,trend_chase,1d,70.0,chase_default,65,0.2,0.3,0,1100,58.45454545454546,4.641032870824759,3.1717509354383,8.415790254677322e+16,-85.30694520728068,0.5662038001613279,1.9573785691052412,55.17
us,trend_chase,1d,75.0,chase_default,65,0.2,0.3,0,685,60.0,5.6865974653319595,4.285308545661204,185667450267977.72,-72.01556633241009,0.6876594945874142,2.260037230705402,55.11094890510949
us,trend_chase,1d,80.0,chase_default,65,0.2,0.3,0,594,58.75420875420876,5.323218236006596,3.336425343164251,529302193760.1459,-80.3362423134971,0.6412958671140723,2.1532986297868786,55.07070707070707
us,trend_chase,1d,85.0,chase_default,65,0.2,0.3,0,390,59.23076923076923,5.647583168443096,3.8168053359891263,550702589.6251452,-72.65655373944672,0.6619964348872772,2.1961650444655145,54.53076923076923
us,trend_chase,1d,90.0,chase_default,65,0.2,0.3,0,205,60.0,4.781047786314666,3.6570261358322975,77960.7545405579,-68.87184101667754,0.5782839634827878,1.981220015901353,55.57073170731707
