asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
us,trend_chase,1d,60,hold_252d_trail20_TP30,2202,48.7,6.73,-0.78,106.0,2.935841199043085e+42,-97.4,5.74,2.01,252,0.2,0.3,False,-999,2
us,trend_chase,1d,60,hold_60d_trail15,2202,54.7,3.93,1.89,50.2,2.7660786555601153e+26,-87.8,4.26,1.88,60,0.15,0.0,False,-999,2
us,trend_chase,1d,60,hold_120d_trail20_TP25,2202,54.7,4.97,3.35,77.8,2.6103346224711417e+31,-95.6,4.96,1.82,120,0.2,0.25,False,-999,2
us,trend_chase,1d,60,hold_252d_trail15,2202,47.1,7.25,-1.2,104.6,5.413861978990106e+41,-97.6,4.66,2.34,252,0.15,0.0,False,-999,2
us,trend_chase,1d,70,hold_252d_trail20_TP30,1291,49.0,6.94,-0.77,102.8,3.879343028719612e+26,-95.1,4.49,2.03,252,0.2,0.3,False,-999,2
us,trend_chase,1d,70,hold_60d_trail15,1291,54.9,4.22,1.84,49.8,4.976233916219267e+17,-85.9,3.39,1.95,60,0.15,0.0,False,-999,2
us,trend_chase,1d,70,hold_120d_trail20_TP25,1291,54.9,5.15,3.55,76.0,3.034761058454514e+20,-91.0,3.94,1.86,120,0.2,0.25,False,-999,2
us,trend_chase,1d,70,hold_252d_trail15,1291,46.7,7.55,-1.42,104.2,3.348905980351583e+26,-88.4,3.68,2.39,252,0.15,0.0,False,-999,2
us,trend_chase,1d,75,hold_252d_trail20_TP30,757,49.8,7.63,-0.62,99.8,4.403067569192833e+18,-85.0,3.78,2.17,252,0.2,0.3,False,-999,2
us,trend_chase,1d,75,hold_60d_trail15,757,58.0,5.65,3.02,50.4,2177343145135138.8,-70.1,3.23,2.43,60,0.15,0.0,False,-999,2
us,trend_chase,1d,75,hold_120d_trail20_TP25,757,56.4,5.86,5.37,75.1,1062277868532742.4,-83.0,3.42,2.0,120,0.2,0.25,False,-999,2
us,trend_chase,1d,75,hold_252d_trail15,757,49.3,9.04,-0.46,103.7,1.3715297243609196e+20,-79.8,3.11,2.8,252,0.15,0.0,False,-999,2
us,trend_chase,1d,80,hold_252d_trail20_TP30,648,48.9,7.42,-0.97,98.6,5261846170463059.0,-85.0,3.41,2.14,252,0.2,0.3,False,-999,2
us,trend_chase,1d,80,hold_60d_trail15,648,56.5,5.37,2.38,50.4,3619872623918.4,-72.5,2.78,2.33,60,0.15,0.0,False,-999,2
us,trend_chase,1d,80,hold_120d_trail20_TP25,648,55.7,5.76,3.95,74.5,6988198278431.3,-84.0,3.09,1.98,120,0.2,0.25,False,-999,2
us,trend_chase,1d,80,hold_252d_trail15,648,48.8,9.41,-0.72,102.2,8.302277214970417e+17,-80.9,2.86,2.88,252,0.15,0.0,False,-999,2
us,trend_chase,1d,85,hold_252d_trail20_TP30,416,51.0,7.96,0.46,96.8,347852715681.3,-75.8,2.88,2.22,252,0.2,0.3,False,-999,2
us,trend_chase,1d,85,hold_60d_trail15,416,57.0,6.51,3.22,50.6,22775985917.2,-61.8,2.46,2.66,60,0.15,0.0,False,-999,2
us,trend_chase,1d,85,hold_120d_trail20_TP25,416,57.7,6.56,6.26,73.4,16872706054.5,-72.3,2.78,2.14,120,0.2,0.25,False,-999,2
us,trend_chase,1d,85,hold_252d_trail15,416,50.0,10.05,-0.02,100.8,14558814178109.6,-69.9,2.43,3.07,252,0.15,0.0,False,-999,2
us,trend_chase,1d,90,hold_252d_trail20_TP30,210,50.0,6.97,-0.47,106.1,1100438.4,-74.4,1.84,2.1,252,0.2,0.3,False,-999,2
us,trend_chase,1d,90,hold_60d_trail15,210,54.3,5.11,2.7,51.1,148507.7,-58.9,1.51,2.21,60,0.15,0.0,False,-999,2
us,trend_chase,1d,90,hold_120d_trail20_TP25,210,58.6,6.22,5.88,76.8,598879.1,-74.6,1.85,2.06,120,0.2,0.25,False,-999,2
us,trend_chase,1d,90,hold_252d_trail15,210,50.0,7.0,0.01,104.6,732343.7,-73.2,1.52,2.47,252,0.15,0.0,False,-999,2
