asset,strategy,interval,threshold,exit_rule,max_hold,trailing_pct,take_profit_pct,cut_early_neg,n,win_pct,mean_pct,median_pct,total_pct,mdd_pct,sharpe,profit_factor,avg_held_bars
crypto,trend_chase,1h,60.0,chase_default,1344,0.15,0.3,0,802,43.01745635910225,2.818446407424567,-3.3336796650713096,1056803.2620528825,-92.77670889458868,0.6167795336764567,1.4468479262943144,512.1134663341646
crypto,trend_chase,1h,70.0,chase_default,1344,0.15,0.3,0,693,41.125541125541126,2.5373769665905788,-3.515198911934714,45497.5579399279,-86.84173289965186,0.5605805111012379,1.3989973736043875,511.8845598845599
crypto,trend_chase,1h,75.0,chase_default,1344,0.15,0.3,0,574,41.46341463414634,2.544839014837228,-3.196425215540444,19308.961748100424,-92.3172432143768,0.5564062164416615,1.4147069643463484,533.5313588850174
crypto,trend_chase,1h,80.0,chase_default,1344,0.15,0.3,0,524,41.603053435114504,2.6533140188515283,-2.9288727351881483,21175.15452858407,-92.35994563900817,0.5831579801265775,1.4380475595287543,531.6240458015267
crypto,trend_chase,1h,85.0,chase_default,1344,0.15,0.3,0,397,40.55415617128463,2.0009973371438656,-3.2468898310447414,709.4972941507741,-94.21557977739445,0.4519963725784986,1.3255772398057055,536.7103274559194
crypto,trend_chase,1h,90.0,chase_default,1344,0.15,0.3,0,327,43.425076452599384,2.5115849162195114,-3.2468898310447414,2503.487032784399,-85.9422258170591,0.5560461127919686,1.4162094282462117,546.7675840978593
