asset,strategy,interval,threshold,exit_rule,max_hold,trailing_pct,take_profit_pct,cut_early_neg,n,win_pct,mean_pct,median_pct,total_pct,mdd_pct,sharpe,profit_factor,avg_held_bars
kr,trend_chase,1d,60.0,chase_default,65,0.2,0.3,0,2322,49.1817398794143,3.3020190814853634,-0.43132821315225417,1.694223318036439e+19,-98.9270706697588,0.3896946871078751,1.5794674243677504,53.69121447028424
kr,trend_chase,1d,70.0,chase_default,65,0.2,0.3,0,1798,48.553948832035594,3.589839055310821,-0.5371247267698662,6.0286595822023064e+16,-98.16564810353647,0.4139961235601212,1.617261834713482,52.75750834260289
kr,trend_chase,1d,75.0,chase_default,65,0.2,0.3,0,1290,46.27906976744186,3.2600798984964348,-1.1471585947872671,16076682936.82977,-99.27024976831319,0.3679805902917754,1.5242040963762946,51.81705426356589
kr,trend_chase,1d,80.0,chase_default,65,0.2,0.3,0,1212,46.947194719471945,3.450511798708152,-0.8997255934401035,46839856557.997856,-96.7164474390103,0.38903386191859873,1.5601704091304385,51.745049504950494
kr,trend_chase,1d,85.0,chase_default,65,0.2,0.3,0,804,46.14427860696517,3.7015173330352877,-1.3648445624185375,143759445.57164848,-95.67144715861252,0.4099481352675035,1.5810937646475223,50.11194029850746
kr,trend_chase,1d,90.0,chase_default,65,0.2,0.3,0,649,45.76271186440678,4.048727210805462,-1.797005988023947,62406974.90756719,-94.68938242684025,0.4450964981158747,1.6330134692019032,49.32973805855162
kr,trend_pullback,1d,60.0,pullback_default,130,0.2,0.3,0,3512,49.03189066059225,7.192761864345161,-0.6295331161780657,6.587216532325109e+65,-97.14767412401741,0.49699171333629344,2.02078691330263,59.18678815489749
kr,trend_pullback,1d,70.0,pullback_default,130,0.2,0.3,0,3363,49.03360095153137,7.25916721890124,-0.6802281368821326,3.1191762732683706e+63,-97.1088096619226,0.496431396405954,2.0239894004872805,59.132917038358606
kr,trend_pullback,1d,75.0,pullback_default,130,0.2,0.3,0,3186,49.152542372881356,6.967273884528781,-0.648205031850607,1.9296812157882413e+59,-96.3393673012534,0.5980296150337854,1.9778748081700914,59.372567482736976
kr,trend_pullback,1d,80.0,pullback_default,130,0.2,0.3,0,2984,49.2627345844504,7.024183864111349,-0.5937730787030302,1.573623328398974e+56,-97.74992212816306,0.6011209832089706,1.981274669632158,59.31467828418231
kr,trend_pullback,1d,85.0,pullback_default,130,0.2,0.3,0,2845,48.68189806678383,6.96680266485683,-0.851977920883162,1.3375493056336302e+53,-98.21670404906806,0.598770976670598,1.9730659811580318,58.993673110720565
kr,trend_pullback,1d,90.0,pullback_default,130,0.2,0.3,0,2486,48.63234111021721,7.060965937872179,-0.9769429896024525,2.2469767870062766e+48,-93.64204200404748,0.6112286199266214,2.0047119922015346,59.28399034593725
kr,trend_chase,1w,60.0,chase_default,13,0.2,0.3,0,1756,50.227790432801825,4.963472339150048,0.04656037083657942,3.303805276954357e+24,-97.1187534206456,0.5143158060030941,1.8637532968855235,11.140660592255125
kr,trend_chase,1w,70.0,chase_default,13,0.2,0.3,0,1349,49.88880652335063,4.933814621269679,-0.05845410628019217,4.8560133254332e+18,-98.75982904721413,0.5049954415697835,1.825514053828112,11.055596738324684
kr,trend_chase,1w,75.0,chase_default,13,0.2,0.3,0,1129,49.158547387068204,5.300135063773288,-0.3,1.797296091557732e+17,-98.96333208529522,0.5314478490695045,1.8809305750585095,10.889282550930027
kr,trend_chase,1w,80.0,chase_default,13,0.2,0.3,0,881,48.467650397275825,5.023960960162478,-0.5475247524752478,4905553037390.285,-98.53178945201557,0.4993440832549245,1.798284810094723,10.861520998864926
kr,trend_chase,1w,85.0,chase_default,13,0.2,0.3,0,770,47.79220779220779,4.615634613387855,-0.9757639164298778,6004759392.234525,-99.07599904709934,0.45485257125893797,1.6949458169363756,10.74155844155844
kr,trend_chase,1w,90.0,chase_default,13,0.2,0.3,0,420,46.42857142857143,4.985179934133723,-1.9230103583982467,2571727.1445388226,-97.38324057302354,0.4619888290736388,1.7118342860378628,10.6
kr,trend_pullback,1w,60.0,pullback_default,26,0.2,0.3,0,2330,55.493562231759654,9.909700833365044,5.315887146263975,6.654870058963785e+69,-96.59345878116831,0.6907236205141879,2.5788396432361735,16.45107296137339
kr,trend_pullback,1w,70.0,pullback_default,26,0.2,0.3,0,2118,56.610009442870634,9.75950972977974,5.429915254902884,3.8748615282651496e+62,-96.9463074222989,0.6810353739194774,2.565060311041243,16.69216241737488
kr,trend_pullback,1w,75.0,pullback_default,26,0.2,0.3,0,1917,57.224830464267086,9.791610946972844,5.684555984555983,1.1700265117986636e+57,-87.49546919160372,0.6844707656418565,2.5758099750278824,16.626499739175795
kr,trend_pullback,1w,80.0,pullback_default,26,0.2,0.3,0,1765,57.11048158640226,10.083555847051242,5.632203389830515,4.657320758014838e+54,-86.28297793461492,0.7020369708918288,2.634783566565472,16.541076487252123
kr,trend_pullback,1w,85.0,pullback_default,26,0.2,0.3,0,1592,57.22361809045226,10.307834752845908,6.264836148452657,2.4800244463983913e+50,-87.53348176145738,0.7068611467055839,2.650789939836268,16.569723618090453
kr,trend_pullback,1w,90.0,pullback_default,26,0.2,0.3,0,1310,58.01526717557252,10.589089590064209,5.877325581395354,1.7400663955497736e+43,-89.5377714438103,0.7266431394946399,2.7327540034293913,16.49847328244275
kr,quiet_bottom,1w,100.0,quiet_default,52,0.2,0.3,0,224,58.48214285714286,15.653342065815545,29.94513022273122,6434463687871.239,-88.04662845816354,0.8544914287489962,3.522985556725259,20.433035714285715
us,trend_chase,1d,60.0,chase_default,65,0.2,0.3,0,1687,58.09128630705395,4.391559620706153,3.2129677280527513,4.58302733202163e+23,-80.33830776100646,0.548081034875199,1.9236736957573357,55.92708950800237
us,trend_chase,1d,70.0,chase_default,65,0.2,0.3,0,1100,58.45454545454546,4.641032870824759,3.1717509354383,8.415790254677322e+16,-85.30694520728068,0.5662038001613279,1.9573785691052412,55.17
us,trend_chase,1d,75.0,chase_default,65,0.2,0.3,0,685,60.0,5.6865974653319595,4.285308545661204,185667450267977.72,-72.01556633241009,0.6876594945874142,2.260037230705402,55.11094890510949
us,trend_chase,1d,80.0,chase_default,65,0.2,0.3,0,594,58.75420875420876,5.323218236006596,3.336425343164251,529302193760.1459,-80.3362423134971,0.6412958671140723,2.1532986297868786,55.07070707070707
us,trend_chase,1d,85.0,chase_default,65,0.2,0.3,0,390,59.23076923076923,5.647583168443096,3.8168053359891263,550702589.6251452,-72.65655373944672,0.6619964348872772,2.1961650444655145,54.53076923076923
us,trend_chase,1d,90.0,chase_default,65,0.2,0.3,0,205,60.0,4.781047786314666,3.6570261358322975,77960.7545405579,-68.87184101667754,0.5782839634827878,1.981220015901353,55.57073170731707
us,trend_pullback,1d,60.0,pullback_default,130,0.2,0.3,0,3360,50.44642857142857,6.772055846987872,0.25299837327097413,1.2255483613357417e+57,-97.85157687302616,0.5508317237307929,1.927487835339622,61.417857142857144
us,trend_pullback,1d,70.0,pullback_default,130,0.2,0.3,0,3166,51.20025268477574,6.806383748483028,1.0056099693333878,2.3282861450511525e+54,-98.11789575151528,0.558116514535973,1.9247375792660957,62.38250157927985
us,trend_pullback,1d,75.0,pullback_default,130,0.2,0.3,0,3021,50.810989738497184,6.790430432075724,0.6352795098085064,1.1236081049506651e+51,-98.75827007971778,0.5520111705196553,1.9213065121036126,63.08109897384972
us,trend_pullback,1d,80.0,pullback_default,130,0.2,0.3,0,2812,51.28022759601707,6.845892489106759,1.031999370876702,6.276644490052638e+48,-98.38799311584374,0.5583257598835978,1.9363729844857527,63.89900426742532
us,trend_pullback,1d,85.0,pullback_default,130,0.2,0.3,0,2593,51.44620131122252,6.830497221390614,1.2038023113600584,1.3014715386667892e+44,-98.45053997952753,0.5551301511899094,1.9269699853214621,63.78210566910914
us,trend_pullback,1d,90.0,pullback_default,130,0.2,0.3,0,2247,52.42545616377392,7.266839673031292,2.073209478991944,4.1419724603308594e+43,-97.71901403743193,0.5958978881869987,2.0154900594975063,63.49265687583445
us,trend_chase,1w,60.0,chase_default,13,0.2,0.3,0,1398,54.434907010014314,3.8848807548944766,1.9659590489768175,300793838275565.25,-94.76765669350156,0.4283964404738907,1.6941557686617745,11.597281831187411
us,trend_chase,1w,70.0,chase_default,13,0.2,0.3,0,777,54.18275418275418,4.066168790062333,2.1537495506638527,1750779073.4757264,-96.22170478358217,0.43691392699343745,1.7153862152706099,11.575289575289576
us,trend_chase,1w,75.0,chase_default,13,0.2,0.3,0,583,53.516295025728986,4.222726280467247,1.8000004254309365,15542470.746799206,-95.8684381594549,0.43105711570699007,1.700144551182286,11.317324185248713
us,trend_chase,1w,80.0,chase_default,13,0.2,0.3,0,262,57.63358778625955,6.147175606831323,4.163819281922132,1912179.7099673527,-77.75867908715955,0.5995357653455464,2.090869486158527,11.206106870229007
us,trend_chase,1w,85.0,chase_default,13,0.2,0.3,0,216,57.407407407407405,6.876544726405051,3.960253535380498,981213.1874608464,-80.37170077758348,0.6468127350398004,2.195796191364074,11.0
us,trend_chase,1w,90.0,chase_default,13,0.2,0.3,0,54,57.407407407407405,4.471708810588008,3.561488403314639,11.169898772747967,-78.63293518406135,0.36218547134370016,1.555220329699408,11.148148148148149
us,trend_pullback,1w,60.0,pullback_default,26,0.2,0.3,0,2342,57.8138343296328,8.78821839537271,7.185143678541561,2.9283863909715526e+59,-93.0689732470904,0.6175842040516712,2.368421673087442,17.333048676345005
us,trend_pullback,1w,70.0,pullback_default,26,0.2,0.3,0,2190,57.716894977168955,8.552110483857565,6.762959996715323,4.8305497522613727e+54,-93.05294098012588,0.6032390267115165,2.3401661274651686,17.60593607305936
us,trend_pullback,1w,75.0,pullback_default,26,0.2,0.3,0,2011,57.68274490303331,8.355892667685302,6.703229949508516,3.956747414936426e+49,-94.0982759321537,0.6032885840791973,2.3216838124449817,17.52312282446544
us,trend_pullback,1w,80.0,pullback_default,26,0.2,0.3,0,1827,56.75971538040504,7.8942037021749485,5.9158073349530715,1.978353248955745e+42,-96.16035011015197,0.5826894836880303,2.236262320839689,17.478379857690204
us,trend_pullback,1w,85.0,pullback_default,26,0.2,0.3,0,1609,57.05407085146054,7.7975298781461495,6.089732708279416,6.413493167161276e+37,-95.84246242752288,0.5848654528462458,2.232899515163931,17.515226848974518
us,trend_pullback,1w,90.0,pullback_default,26,0.2,0.3,0,1282,57.33229329173167,7.773162610439723,6.3110946582346505,4.969309410161699e+30,-89.83904055489835,0.5846267473532779,2.2372887723080908,17.692667706708267
us,quiet_bottom,1w,100.0,quiet_default,52,0.2,0.3,0,153,53.59477124183007,13.869307749506707,12.069943829334262,45714291.37302416,-82.01577373461225,0.7670652598212123,2.768367460368693,16.568627450980394
crypto,trend_chase,1h,60.0,chase_default,1344,0.15,0.3,0,802,43.01745635910225,2.818446407424567,-3.3336796650713096,1056803.2620528825,-92.77670889458868,0.6167795336764567,1.4468479262943144,512.1134663341646
crypto,trend_chase,1h,70.0,chase_default,1344,0.15,0.3,0,693,41.125541125541126,2.5373769665905788,-3.515198911934714,45497.5579399279,-86.84173289965186,0.5605805111012379,1.3989973736043875,511.8845598845599
crypto,trend_chase,1h,75.0,chase_default,1344,0.15,0.3,0,574,41.46341463414634,2.544839014837228,-3.196425215540444,19308.961748100424,-92.3172432143768,0.5564062164416615,1.4147069643463484,533.5313588850174
crypto,trend_chase,1h,80.0,chase_default,1344,0.15,0.3,0,524,41.603053435114504,2.6533140188515283,-2.9288727351881483,21175.15452858407,-92.35994563900817,0.5831579801265775,1.4380475595287543,531.6240458015267
crypto,trend_chase,1h,85.0,chase_default,1344,0.15,0.3,0,397,40.55415617128463,2.0009973371438656,-3.2468898310447414,709.4972941507741,-94.21557977739445,0.4519963725784986,1.3255772398057055,536.7103274559194
crypto,trend_chase,1h,90.0,chase_default,1344,0.15,0.3,0,327,43.425076452599384,2.5115849162195114,-3.2468898310447414,2503.487032784399,-85.9422258170591,0.5560461127919686,1.4162094282462117,546.7675840978593
crypto,trend_pullback,1h,60.0,pullback_default,2184,0.15,0.3,0,9783,34.87682714913626,0.12492239655980594,-6.125194420441915,-100.0,-100.0,0.03553944463706746,1.0165789419697646,268.5376673821936
crypto,trend_pullback,1h,70.0,pullback_default,2184,0.15,0.3,0,9438,35.12396694214876,0.1322320510357412,-5.999715535926748,-100.0,-100.0,0.03714617777999834,1.0174799740974874,272.12545030726847
crypto,trend_pullback,1h,75.0,pullback_default,2184,0.15,0.3,0,9403,35.169626714878234,0.1797732932740821,-6.010810810810807,-100.0,-100.0,0.05115946097874723,1.0240196982319787,269.81537807082844
crypto,trend_pullback,1h,80.0,pullback_default,2184,0.15,0.3,0,9223,35.1187249268134,0.21958322768930386,-5.98512396694214,-100.0,-100.0,0.06342705166897493,1.0296872367217218,267.32462322454734
