rank,label,_ret_th_key,ret_th,base_lookback,fresh_big_th,max_prior_extension,n,win_pct,mean_pct,median_pct,total_pct,mdd_pct,sharpe,profit_factor,avg_held_bars
203,p203,big,"[0.05, 0.08, 0.12, 0.18]",30.0,0.12,0.5,2881,47.55293300937174,7.418728550586441,-1.8132408575031507,1.866426363246955e+57,-94.67346376374111,0.5529680785774194,2.0113591339797843,74.82158972578965
107,p107,loose,"[0.05, 0.07, 0.1, 0.15]",30.0,0.12,0.5,2946,47.75967413441955,7.447958752176724,-1.7332659605752638,2.561484229203977e+58,-97.61786658575126,0.5521588239312585,2.0069857819762,75.03088934147998
57,p057,tight,"[0.02, 0.04, 0.06, 0.08]",30.0,0.12,0.2,3327,48.93297264803126,7.660832021160456,-0.9793478260869511,7.81137621665214e+69,-98.68683879184434,0.5517871986878322,2.0713793214082723,81.93748121430718
9,p009,default,"[0.03, 0.05, 0.07, 0.1]",30.0,0.12,0.2,3143,48.55233853006681,7.603719415847578,-1.1333333333333302,4.399421474316307e+65,-98.52942419947523,0.5514312427976683,2.061451461300636,80.80209990454979
202,p202,big,"[0.05, 0.08, 0.12, 0.18]",30.0,0.12,0.3,2759,47.408481333816596,7.386056243667515,-1.820270270270274,6.860840845332902e+54,-96.46432929903067,0.5463589554083639,2.010842317809473,76.55889815150417
11,p011,default,"[0.03, 0.05, 0.07, 0.1]",30.0,0.12,0.5,3419,47.85024861070488,7.385757549543759,-1.6757523645743784,1.8442758199889633e+68,-97.80726306549408,0.5456701871538259,2.019758205736992,77.71278151506289
215,p215,big,"[0.05, 0.08, 0.12, 0.18]",60.0,0.12,0.5,2669,47.13375796178344,7.360801494975903,-1.8831134564643799,9.189424851060065e+52,-97.57205520463921,0.5439408620743583,2.007332389941081,76.83476957662046
59,p059,tight,"[0.02, 0.04, 0.06, 0.08]",30.0,0.12,0.5,3631,48.16854860919857,7.418871418274852,-1.4689691817215684,3.419265865525162e+72,-98.28010669298254,0.5438620209022498,2.022936104317257,78.75819333516938
119,p119,loose,"[0.05, 0.07, 0.1, 0.15]",60.0,0.12,0.5,2736,47.404970760233915,7.378079150134487,-1.778631577714534,9.122842756893365e+53,-98.43265475911491,0.5428718108192256,2.000565496384859,76.8344298245614
106,p106,loose,"[0.05, 0.07, 0.1, 0.15]",30.0,0.12,0.3,2831,47.651006711409394,7.368963570987155,-1.7897579143389182,2.837889648495804e+55,-98.26215184623312,0.5427308261362069,1.9971288569116183,76.50194277640409
