rank,label,rally_lookback,rally_min_gain,depth_lookback,n,win_pct,mean_pct,median_pct,total_pct,mdd_pct,sharpe,profit_factor,avg_held_bars
31,p031,45.0,0.5,20.0,840,51.19047619047619,9.300136863157075,1.0308418579133007,1.879273504130821e+24,-97.39639669004592,0.7206174017510422,2.3692888358320014,66.73095238095237
30,p030,45.0,0.5,15.0,843,50.88967971530249,9.178394414597388,0.8291989838113969,9.72522103519595e+23,-97.39639669004592,0.7178991501157079,2.348139878331547,65.785290628707
15,p015,30.0,0.5,20.0,456,50.0,8.856026180928813,-0.03710981625992798,6784730928535.978,-92.56515712548374,0.7135578668803446,2.2318633961401764,58.953947368421055
28,p028,45.0,0.5,5.0,823,50.42527339003645,9.020883961591606,0.6590595834207182,1.0522415196727388e+23,-96.46316552233577,0.7053255553188298,2.3129037408683693,65.91859052247874
44,p044,60.0,0.5,5.0,1046,52.00764818355641,9.363882696164742,3.248664057954209,3.4715785573868467e+30,-97.58596516090113,0.7026408584379753,2.406365473069647,74.66826003824092
14,p014,30.0,0.5,15.0,461,49.457700650759215,8.547821624371496,-0.2,2768261438164.077,-92.56515712548374,0.6994213858888225,2.1826125874578595,57.70498915401301
29,p029,45.0,0.5,10.0,844,50.23696682464455,8.776757222083999,0.2534624125533071,4.974930774294069e+22,-97.39639669004592,0.6962153372431827,2.263995769747617,65.4218009478673
12,p012,30.0,0.5,5.0,454,50.0,8.578976811735025,-0.03710981625992798,1639276518690.6367,-92.56515712548374,0.6930753942239278,2.175510025728998,58.33700440528634
46,p046,60.0,0.5,15.0,1075,51.72093023255814,9.171589925902268,2.6756867814496266,1.6141240558239048e+30,-99.22922317985949,0.6877382407176835,2.3528581856740933,73.93302325581395
45,p045,60.0,0.5,10.0,1074,51.76908752327747,9.071429150111246,2.94100670376205,6.791810925733264e+29,-99.29229271545579,0.687034153554339,2.334351499042351,73.97765363128492
13,p013,30.0,0.5,10.0,462,49.35064935064935,8.418406075747738,-0.3043347268918582,1318117230670.981,-92.56515712548374,0.6837098831783147,2.146862803931645,57.87229437229437
47,p047,60.0,0.5,20.0,1076,51.6728624535316,9.095366270686384,2.6563468342341245,3.434211366459704e+29,-99.22922317985949,0.6759943627627382,2.323582118646344,74.11059479553903
60,p060,90.0,0.5,5.0,1426,50.420757363253855,8.009706478007645,0.5422408796846525,1.4669672323372012e+33,-98.6908538379076,0.5800404411242409,2.1525449737151434,82.29873772791024
63,p063,90.0,0.5,20.0,1477,50.37237643872715,7.947228220591248,0.3754715525688514,1.2156050135874482e+34,-99.04096378029023,0.5783887771952005,2.138328741898809,81.57007447528774
61,p061,90.0,0.5,10.0,1458,50.27434842249657,7.8788159449515085,0.2987062404194442,2.444780611592081e+33,-99.09058504315672,0.5779288126738464,2.1281560084202464,81.7002743484225
62,p062,90.0,0.5,15.0,1473,50.23761031907671,7.925297928624341,0.1471938418728726,5.955010426446222e+33,-99.44754852096011,0.5764753113546027,2.1334994726727574,81.52613713509844
76,p076,120.0,0.5,5.0,1640,50.853658536585364,8.011135868350348,1.0914775527124612,1.931479624439812e+38,-96.62174588059742,0.5677753054371273,2.1576362751270635,87.80914634146342
78,p078,120.0,0.5,15.0,1712,50.759345794392516,7.940139035331256,0.8992480893883938,3.629446229764479e+38,-99.93959786181806,0.562480901313546,2.132094063414251,86.11682242990655
77,p077,120.0,0.5,10.0,1690,50.76923076923077,7.852925204390518,0.9779925243507794,6.506541646209339e+37,-99.92982908504088,0.5595124328649292,2.1172014262652534,86.68520710059171
79,p079,120.0,0.5,20.0,1717,50.96097845078626,7.947521912272502,1.1059399313074982,3.3794832384426413e+38,-99.9468234255502,0.5595011559210843,2.128938726646195,86.6814210832848
8,p008,30.0,0.3,5.0,1687,47.06579727326615,6.540259451269905,-2.3735173993617242,8.728629257638534e+28,-97.79653296084803,0.48184948090477264,1.8814066201537003,81.0930646117368
11,p011,30.0,0.3,20.0,1715,46.70553935860058,6.382726183992764,-2.4438979730373456,2.068939357321873e+28,-98.94612594781049,0.47206223426189825,1.8572855097126604,80.83731778425656
10,p010,30.0,0.3,15.0,1722,46.631823461091756,6.332637792939848,-2.5022796257433977,1.4065632188010802e+28,-98.94612594781049,0.4709697183062914,1.8500844359678381,80.28048780487805
9,p009,30.0,0.3,10.0,1715,46.53061224489796,6.304602094367312,-2.6556593480510537,5.230588444342152e+27,-98.94612594781049,0.46722914195276927,1.8427307747204789,80.44256559766764
26,p026,45.0,0.3,15.0,2235,46.75615212527964,5.9870838996315525,-2.6634105403248842,1.0672721609263866e+34,-99.56722953634085,0.4327824863867074,1.8095282780633,87.46442953020134
24,p024,45.0,0.3,5.0,2193,46.785225718194255,6.00095625429442,-2.544663722462659,6.158508071938212e+33,-97.69236638418354,0.43199391759723516,1.8123354845988555,88.58458732330142
27,p027,45.0,0.3,20.0,2235,46.666666666666664,5.975138409577279,-2.665274664170869,5.912068966649468e+33,-99.62157874221175,0.4306372210363557,1.8059352127889494,87.62371364653244
