rank,label,_ret_th_key,ret_th,base_lookback,fresh_big_th,max_prior_extension,n,win_pct,mean_pct,median_pct,total_pct,mdd_pct,sharpe,profit_factor,avg_held_bars
106,p106,loose,"[0.05, 0.07, 0.1, 0.15]",30.0,0.12,0.3,1628,46.68304668304668,5.6149375275461075,-1.8300301141195685,1.1900247206723704e+20,-99.87950659770989,0.3769219154986819,1.7129129302819524,93.08538083538083
107,p107,loose,"[0.05, 0.07, 0.1, 0.15]",30.0,0.12,0.5,1672,46.65071770334928,5.567613018841198,-1.8300301141195685,1.3421758934894479e+20,-99.8193699250174,0.37478005265962744,1.7044142491739893,92.35705741626795
203,p203,big,"[0.05, 0.08, 0.12, 0.18]",30.0,0.12,0.5,1556,46.33676092544987,5.500068990932803,-1.8222140028571698,3.2566649904814484e+18,-99.28872520918802,0.3720728196075754,1.6943532895595648,91.3888174807198
202,p202,big,"[0.05, 0.08, 0.12, 0.18]",30.0,0.12,0.3,1517,46.209624258404745,5.4402870638567435,-1.8528953411723004,4.60474050415623e+17,-99.69406461806388,0.36606746804472085,1.6841292689461713,92.22412656558998
105,p105,loose,"[0.05, 0.07, 0.1, 0.15]",30.0,0.12,0.2,1581,46.426312460468054,5.439794119508617,-1.8528953411723004,9.592222335063025e+17,-99.85503788359347,0.3638971136756656,1.684286707979132,93.40037950664137
101,p101,loose,"[0.05, 0.07, 0.1, 0.15]",30.0,0.05,0.5,1337,46.44727000747943,5.349427982829711,-1.8697538376005185,2.8910734359979923e+17,-97.73378767431052,0.3635314209391025,1.7023951625769285,101.13911742707555
59,p059,tight,"[0.02, 0.04, 0.06, 0.08]",30.0,0.12,0.5,2755,46.46098003629764,5.428454429628376,-2.3494709428549254,3.0474045024812757e+33,-99.78077147566677,0.3632830712036144,1.7186068711705953,96.65517241379311
58,p058,tight,"[0.02, 0.04, 0.06, 0.08]",30.0,0.12,0.3,2711,46.40354112873478,5.418331103748201,-2.4013278583991937,3.5673577765189974e+33,-98.99170092690393,0.3632270058839283,1.7211778471743373,97.25119881962375
100,p100,loose,"[0.05, 0.07, 0.1, 0.15]",30.0,0.05,0.3,1329,46.42588412340105,5.31713715419261,-1.8697538376005185,1.4883097645970784e+17,-98.76948977041462,0.36108927817876524,1.6968203512117797,101.21068472535741
11,p011,default,"[0.03, 0.05, 0.07, 0.1]",30.0,0.12,0.5,2349,45.97701149425287,5.37590084115218,-2.5988978800783658,6.897245011447431e+27,-99.37258581473355,0.35868286426711,1.703327636996653,94.5581098339719
104,p104,loose,"[0.05, 0.07, 0.1, 0.15]",30.0,0.08,0.5,1605,46.292834890965736,5.263510334861094,-1.8528953411723004,4.83536080205354e+17,-99.75180599931625,0.3576875407342828,1.6661067079230145,93.62554517133957
10,p010,default,"[0.03, 0.05, 0.07, 0.1]",30.0,0.12,0.3,2310,45.97402597402597,5.348402661990392,-2.5444282296358924,2.2598179034827947e+27,-99.15304131671425,0.3571047163437274,1.7011389647970683,94.86103896103896
197,p197,big,"[0.05, 0.08, 0.12, 0.18]",30.0,0.05,0.5,1229,46.216436126932464,5.273530366556136,-1.8697538376005185,4827405248723470.0,-98.38250502598386,0.35686078556245426,1.6882934934767526,101.22620016273393
201,p201,big,"[0.05, 0.08, 0.12, 0.18]",30.0,0.12,0.2,1465,46.075085324232084,5.286308748761543,-2.0242570409368055,1.371350019073104e+16,-99.70535708536927,0.3553962628197168,1.6599198554234775,92.72559726962457
99,p099,loose,"[0.05, 0.07, 0.1, 0.15]",30.0,0.05,0.2,1305,46.28352490421456,5.227760174123908,-1.94183639526887,2.3876422124058988e+16,-98.39480038048669,0.3548789399208052,1.6818803515249754,101.20459770114942
