strategy,interval,group,mean_ret,median_ret,sharpe,mdd,pct_profit,n,n_trades,alpha
trend_follow,1d,trend,0.053,0.0,-0.056,-0.342,0.262,126,3.897,0.442
trend_follow,1d,whale,-0.067,0.0,-0.116,-0.321,0.2,30,1.933,0.64
trend_follow,1h,follower,-0.172,-0.232,-0.224,-0.502,0.269,93,89.828,0.518
trend_follow,1h,junk,-0.032,0.0,-0.361,-0.2,0.123,211,11.024,0.062
trend_follow,1h,trend,0.053,-0.186,-0.08,-0.489,0.365,126,73.429,0.428
trend_follow,1h,whale,0.011,-0.095,0.045,-0.491,0.467,30,53.167,0.712
trend_follow,4h,follower,-0.287,-0.366,-0.369,-0.615,0.194,93,34.839,0.401
trend_follow,4h,junk,-0.02,0.0,-0.274,-0.217,0.142,211,4.403,0.085
trend_follow,4h,trend,-0.002,-0.237,-0.189,-0.568,0.294,126,28.5,0.373
trend_follow,4h,whale,-0.055,-0.234,-0.033,-0.556,0.367,30,21.1,0.652
