body_ret_min,vol_ratio_min,pullback_timeout_h,horizon_h,n,mean,median,std,win,var_adj
0.05,5.0,12,336,1978,0.023814489122365317,-0.05841339346786989,0.4192943196267188,0.41253791708796766,-0.6680211382617207
0.05,5.0,12,672,1880,0.02916622926038667,-0.09477433178063316,0.6472698255816552,0.3776595744680851,-1.0388289829493444
0.05,5.0,24,4,2334,0.0002632156295364451,-0.0014018300732633882,0.05613936852621993,0.47986289631533846,-0.09236674243872643
0.05,5.0,24,12,2333,-0.0001076166093723536,-0.00843541406880377,0.10029182829556717,0.42434633519074155,-0.16558913329705818
0.05,5.0,24,24,2331,-0.0035082303209370107,-0.013115831615428397,0.11477271484727543,0.4174174174174174,-0.19288320981894144
0.05,5.0,24,72,2330,-0.003800433634928826,-0.024898557613267702,0.18062041053237798,0.4051502145922747,-0.3018241110133525
0.05,5.0,24,168,2293,0.0011960128443187696,-0.039667458432304015,0.25396633958107206,0.41125163541212384,-0.41784844746445016
0.05,5.0,24,336,2221,0.025175944160911196,-0.056014455343314395,0.4137350816343156,0.4173795587573165,-0.6574869405357096
0.05,5.0,24,672,2115,0.03016566288662672,-0.09193499193934906,0.6313669239629924,0.38156028368794326,-1.0115897616523108
0.05,10.0,12,4,1063,-0.0013298652817304946,-0.0026544913994478447,0.05470151964427736,0.464722483537159,-0.09158737269478813
0.05,10.0,12,12,1062,-0.003009849471689237,-0.012412286326549893,0.11455342496123544,0.3888888888888889,-0.19202300065772768
0.05,10.0,12,24,1061,-0.011809700503256667,-0.019603155629930757,0.11046573690052792,0.38642789820923656,-0.19407816638912773
0.05,10.0,12,72,1060,-0.01419443511368861,-0.034778143920796256,0.1861812556872077,0.35471698113207545,-0.3213935069975813
0.05,10.0,12,168,1049,-0.009368958361024098,-0.04714706670238422,0.2477023987110241,0.3822688274547188,-0.4180779162342138
0.05,10.0,12,336,1013,0.0207220414509256,-0.06670902160101655,0.4297487221855024,0.39881539980256664,-0.6883633501551534
0.05,10.0,12,672,961,0.03962443548710286,-0.09470544369873224,0.6507069356072653,0.3756503642039542,-1.034042008264885
0.05,10.0,24,4,1198,-0.0011756998627091258,-0.002384732183500826,0.055543728503404124,0.4657762938230384,-0.09282285189332593
0.05,10.0,24,12,1197,-0.0017925753952594975,-0.011058109280138728,0.11413425674285363,0.3993316624895572,-0.19011409902096799
0.05,10.0,24,24,1196,-0.008738515775613617,-0.017670003112361554,0.11583235102102579,0.3963210702341137,-0.19986189496030615
0.05,10.0,24,72,1195,-0.013364313409592779,-0.034424166142227874,0.1871339362376133,0.3631799163179916,-0.3221353082016547
