symbol,ts_trigger,ts_pullback,ts_entry,hours_to_pullback,body_ret,vol_ratio,trigger_close,pullback_low,pullback_ma_short,entry_price,body_ret_min,vol_ratio_min,pullback_timeout_h,fwd_ret_4h,fwd_ret_12h,fwd_ret_24h,fwd_ret_72h,fwd_ret_168h,fwd_ret_336h,fwd_ret_672h,rank_group
ENJUSDT,1775664000000,1775692800000,1775696400000,8,0.09654062751407881,31.996605500495804,0.02726,0.02513,0.026319000000000002,0.02546,0.05,5.0,24,0.2639434406912804,0.22270227808326792,0.17556952081696764,0.24823252160251386,2.7172034564021996,1.2796543597800474,1.0337784760408484,TOP
SIRENUSDT,1773565200000,1773576000000,1773579600000,3,0.10330344588301894,5.606495478998992,0.60418,0.58052,0.592075,0.58097,0.05,5.0,24,0.023340275745735717,0.020482985352083594,0.07172487391775828,0.49190147511919724,2.4950513795893077,1.979035062051397,0.37435667934661,TOP
PEPEUSDT,1708682400000,1708696800000,1708700400000,4,0.10382821296445227,16.125897683510583,1.3725e-06,1.2357e-06,1.24977e-06,1.2635e-06,0.05,5.0,24,-0.018757419865453206,-0.07225959635931944,-0.03996834190740006,0.2250098931539375,1.8316580925999206,5.89996042738425,4.713889988128215,TOP
ORDIUSDT,1699030800000,1699102800000,1699106400000,20,0.05203422385192946,6.059400734384844,6.025,6.551,6.553400000000001,6.586,0.05,5.0,24,-0.025660491952626874,0.09064682660188272,0.016550258123291917,0.5765259641664133,1.791831156999696,2.584421500151837,2.8985727300334037,TOP
TACUSDT,1776823200000,1776862800000,1776866400000,11,0.07556719022687614,12.022993978187461,0.006163,0.00616,0.006592000000000001,0.006506,0.05,5.0,24,0.0023055640946818556,0.10790039963110987,0.3702735936059023,0.3535198278512144,1.5139870888410698,2.428066400245927,,TOP
XLMUSDT,1731790800000,1731805200000,1731808800000,4,0.061142322097378216,5.851653880679488,0.22666,0.2016,0.20286999999999997,0.20486,0.05,5.0,24,-0.05935761007517315,0.008884115981646179,0.11017280093722537,0.16128087474372754,1.4990725373425753,1.440251879332227,1.0765400761495658,TOP
ORDIUSDT,1698800400000,1698832800000,1698836400000,9,0.057898925586947945,7.749363687271824,5.317,5.261,5.3534999999999995,5.293,0.05,5.0,24,0.00491214812015861,0.03287360665029282,0.01775930474211207,0.2616663517853768,1.4917815983374267,3.1267712072548646,2.901757037596826,TOP
LABUSDT,1777662000000,1777705200000,1777708800000,12,0.14067410708049888,22.95252520881118,0.81662,1.35009,1.380426,1.8247,0.05,5.0,24,0.17615498438099397,0.18207376555050137,-0.4496136351181017,0.20310187976105665,1.2839864087247217,1.622869512796624,,TOP
PIPPINUSDT,1763859600000,1763899200000,1763902800000,11,0.08487518355359777,7.155894794376028,0.03694,0.05742,0.062486,0.06042,0.05,5.0,24,-0.37140019860973195,-0.5185369083085072,0.11949685534591192,0.06934789804700436,1.2778881165177092,1.5870572658060245,6.005461767626613,TOP
TACUSDT,1777291200000,1777316400000,1777320000000,7,0.07480600103466112,9.08870176509405,0.010388,0.010222,0.010289399999999999,0.010498,0.05,5.0,24,0.006191655553438702,-0.01219279862831013,0.2600495332444275,0.768051057344256,1.2635740140979235,0.9069346542198511,,TOP
