ma_short_period,n_1d,mean_1d,median_1d,win_1d,var_adj_1d,n_7d,mean_7d,median_7d,win_7d,var_adj_7d,n_14d,mean_14d,median_14d,win_14d,var_adj_14d,n_28d,mean_28d,median_28d,win_28d,var_adj_28d,n_56d,mean_56d,median_56d,win_56d,var_adj_56d
10,1488,-0.0031059033532676358,-0.003284898386598012,0.4603494623655914,-0.11195278508580844,1456,-0.0018470196480930119,-0.013066871637202104,0.41895604395604397,-0.24090680385617955,1451,0.009196907041605354,-0.0008631851532152623,0.48518263266712613,-0.3671437409885697,1441,-0.013396997229702518,-0.051600099230959984,0.35877862595419846,-0.5293235172476964,1406,-0.04985172716453807,-0.16027784884185342,0.2972972972972973,-1.2019724535771061
5,1528,-0.002282829025683439,-0.004653678463249766,0.44175392670157065,-0.11512769508773588,1476,0.004091817188259616,-0.010271209573953055,0.4464769647696477,-0.24399521113787348,1470,0.007189689181882293,-0.016112741198192004,0.44625850340136053,-0.40220659457561087,1451,-0.001199827337807703,-0.06128848346636262,0.352170916609235,-0.5239098227987478,1420,-0.051716781905387414,-0.14154855919445924,0.3,-1.1508928688533857
15,1478,-0.0013686627208787353,-0.0016613146601952566,0.4769959404600812,-0.10191167266230058,1446,0.00014505454290242358,-0.01143141153081495,0.4363762102351314,-0.250289929610219,1430,0.009013287525773017,-0.0024348324262389864,0.479020979020979,-0.36073386087401915,1419,-0.013620947735159337,-0.05634256278171279,0.3664552501761804,-0.5460057227157219,1377,-0.04244437197460382,-0.16055045871559637,0.31082062454611475,-1.2345792344774607
