asset,strategy,interval,score_th,rule,variant,gate_weekly,gate_amount,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
us,trend_pullback,1d,70,hold_252d_trail25_TP35,baseline,False,False,19103,54.5,11.06,14.47,101.1,inf,,22.03,2.39
us,trend_pullback,1d,70,hold_252d_trail25_TP35,+weekly,True,False,17691,54.9,11.22,15.04,102.3,inf,,21.57,2.43
us,trend_pullback,1d,70,hold_252d_trail25_TP35,+amount,False,True,968,54.6,11.37,16.88,102.6,1.0386695735337124e+32,-99.9,5.1,2.45
us,trend_pullback,1d,70,hold_252d_trail25_TP35,+weekly+amount,True,True,891,54.5,11.28,16.56,104.5,2.1151528378302548e+29,-99.9,4.86,2.44
