asset,strategy,interval,score_th,rule,hold,trail_pct,take_profit_pct,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
us,trend_pullback,1d,70,hold_180d_trail15_TP20,180,0.15,0.2,19103,48.1,4.55,-1.39,48.7,1.8708429495820544e+226,-100.0,13.66,1.75
us,trend_pullback,1d,70,hold_180d_trail15_TP25,180,0.15,0.25,19103,46.8,5.11,-1.83,53.7,2.2791633941802955e+252,-100.0,14.19,1.83
us,trend_pullback,1d,70,hold_180d_trail15_TP30,180,0.15,0.3,19103,46.5,5.69,-1.92,57.7,6.315570308785855e+280,-100.0,14.75,1.93
us,trend_pullback,1d,70,hold_180d_trail15_TP35,180,0.15,0.35,19103,46.4,6.12,-1.95,60.9,5.783019355085949e+299,-100.0,15.01,2.0
us,trend_pullback,1d,70,hold_180d_trail18_TP20,180,0.18,0.2,19103,54.4,5.52,19.84,56.7,1.313518899638474e+285,-100.0,15.65,1.84
us,trend_pullback,1d,70,hold_180d_trail18_TP25,180,0.18,0.25,19103,50.2,6.29,0.12,63.0,inf,,16.35,1.94
us,trend_pullback,1d,70,hold_180d_trail18_TP30,180,0.18,0.3,19103,49.4,7.07,-0.48,68.2,inf,,17.03,2.05
us,trend_pullback,1d,70,hold_180d_trail18_TP35,180,0.18,0.35,19103,49.1,7.62,-0.66,72.4,inf,,17.3,2.13
us,trend_pullback,1d,70,hold_180d_trail20_TP20,180,0.2,0.2,19103,58.3,6.16,19.96,61.5,inf,,16.92,1.91
us,trend_pullback,1d,70,hold_180d_trail20_TP25,180,0.2,0.25,19103,53.6,7.11,10.91,68.7,inf,,17.86,2.02
us,trend_pullback,1d,70,hold_180d_trail20_TP30,180,0.2,0.3,19103,51.6,8.03,1.8,74.5,inf,,18.67,2.14
us,trend_pullback,1d,70,hold_180d_trail20_TP35,180,0.2,0.35,19103,51.1,8.72,1.01,79.3,inf,,19.04,2.24
us,trend_pullback,1d,70,hold_180d_trail22_TP20,180,0.22,0.2,19103,61.7,6.8,20.09,65.3,inf,,18.23,2.0
us,trend_pullback,1d,70,hold_180d_trail22_TP25,180,0.22,0.25,19103,57.3,7.87,24.81,73.0,inf,,19.25,2.11
us,trend_pullback,1d,70,hold_180d_trail22_TP30,180,0.22,0.3,19103,54.3,8.92,9.95,79.4,inf,,20.15,2.23
us,trend_pullback,1d,70,hold_180d_trail22_TP35,180,0.22,0.35,19103,53.4,9.71,3.69,84.7,inf,,20.56,2.34
us,trend_pullback,1d,70,hold_180d_trail25_TP20,180,0.25,0.2,19103,64.8,7.23,20.19,70.3,inf,,18.78,2.03
us,trend_pullback,1d,70,hold_180d_trail25_TP25,180,0.25,0.25,19103,60.8,8.37,24.92,78.8,inf,,19.76,2.12
us,trend_pullback,1d,70,hold_180d_trail25_TP30,180,0.25,0.3,19103,57.9,9.48,16.43,85.8,inf,,20.66,2.24
us,trend_pullback,1d,70,hold_180d_trail25_TP35,180,0.25,0.35,19103,55.4,10.34,10.53,91.6,inf,,21.12,2.34
us,trend_pullback,1d,70,hold_252d_trail15_TP20,252,0.15,0.2,19103,48.1,4.72,-1.35,50.9,2.110475377000995e+235,-100.0,14.11,1.78
us,trend_pullback,1d,70,hold_252d_trail15_TP25,252,0.15,0.25,19103,46.8,5.33,-1.81,56.2,1.2313456326785897e+264,-100.0,14.69,1.88
us,trend_pullback,1d,70,hold_252d_trail15_TP30,252,0.15,0.3,19103,46.5,5.96,-1.91,60.7,2.9195928958577337e+295,-100.0,15.3,1.98
us,trend_pullback,1d,70,hold_252d_trail15_TP35,252,0.15,0.35,19103,46.4,6.41,-1.94,64.4,inf,,15.53,2.05
us,trend_pullback,1d,70,hold_252d_trail18_TP20,252,0.18,0.2,19103,54.4,5.74,19.9,59.6,1.8625755706876276e+297,-100.0,16.17,1.88
us,trend_pullback,1d,70,hold_252d_trail18_TP25,252,0.18,0.25,19103,49.9,6.56,-0.15,66.6,inf,,16.9,1.98
us,trend_pullback,1d,70,hold_252d_trail18_TP30,252,0.18,0.3,19103,49.0,7.4,-0.77,72.4,inf,,17.6,2.1
us,trend_pullback,1d,70,hold_252d_trail18_TP35,252,0.18,0.35,19103,48.7,7.99,-0.95,77.5,inf,,17.86,2.18
