tier,interval,strategy,score_th,rule,IS_n,IS_win%,IS_mean%,IS_Sharpe,IS_PF,IS_MDD%,OOS_n,OOS_win%,OOS_mean%,OOS_Sharpe,OOS_PF,OOS_MDD%
follower,1w,trend_chase,90,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
follower,1w,trend_pullback,60,hold_8w_trail15,222,49.1,13.67,2.49,2.17,-99.8,38,10.5,-22.29,-5.65,0.08,-100.0
follower,1w,trend_pullback,70,hold_8w_trail15,116,51.7,12.05,1.65,1.99,-98.7,27,7.4,-22.87,-5.85,0.04,-100.0
follower,1w,trend_pullback,80,hold_8w_trail15,52,51.9,15.27,1.35,2.35,-90.1,10,0.0,-21.87,-4.95,0.0,-90.8
follower,1w,trend_pullback,90,hold_8w_trail15,16,50.0,6.97,0.52,1.82,-73.6,8,0.0,-23.7,-4.04,0.0,-87.5
junk,1w,trend_chase,60,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
junk,1w,trend_chase,70,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
junk,1w,trend_chase,80,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
junk,1w,trend_chase,90,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
junk,1w,trend_pullback,60,hold_8w_trail15,8,37.5,-1.09,-0.08,0.89,-53.3,1,0.0,-8.39,0.0,0.0,0.0
junk,1w,trend_pullback,70,hold_8w_trail15,8,37.5,-1.89,-0.14,0.82,-56.9,0,0.0,0.0,0.0,0.0,0.0
junk,1w,trend_pullback,80,hold_8w_trail15,3,66.7,2.84,0.1,1.24,-34.9,0,0.0,0.0,0.0,0.0,0.0
junk,1w,trend_pullback,90,hold_8w_trail15,1,100.0,28.94,0.0,99.99,0.0,0,0.0,0.0,0.0,0.0,0.0
trend,1w,trend_chase,60,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
trend,1w,trend_chase,70,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
trend,1w,trend_chase,80,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
trend,1w,trend_chase,90,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
trend,1w,trend_pullback,60,hold_8w_trail15,260,49.2,19.99,2.8,3.12,-96.0,102,25.5,-14.85,-5.7,0.2,-100.0
trend,1w,trend_pullback,70,hold_8w_trail15,148,52.7,22.38,2.28,3.39,-93.4,65,23.1,-15.14,-4.95,0.17,-100.0
trend,1w,trend_pullback,80,hold_8w_trail15,81,53.1,15.44,1.46,2.76,-89.0,37,29.7,-11.94,-2.67,0.3,-99.7
trend,1w,trend_pullback,90,hold_8w_trail15,34,47.1,15.85,0.91,2.5,-87.8,15,53.3,2.93,0.5,1.41,-34.0
whale,1w,trend_chase,60,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
whale,1w,trend_chase,70,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
whale,1w,trend_chase,80,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
whale,1w,trend_chase,90,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
whale,1w,trend_pullback,60,hold_8w_trail15,16,37.5,10.73,0.29,1.44,-99.2,5,0.0,-10.74,-2.73,0.0,-26.7
whale,1w,trend_pullback,70,hold_8w_trail15,8,37.5,19.3,0.57,2.85,-50.7,2,0.0,-16.76,-2.73,0.0,-9.3
whale,1w,trend_pullback,80,hold_8w_trail15,3,0.0,-18.79,-1.18,0.0,-43.2,1,0.0,-24.16,0.0,0.0,0.0
whale,1w,trend_pullback,90,hold_8w_trail15,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
