interval,mode,th_chase,th_pullback,IS_n,IS_win%,IS_mean%,IS_Sharpe,IS_PF,IS_MDD%,OOS_n,OOS_win%,OOS_mean%,OOS_Sharpe,OOS_PF,OOS_MDD%
1d,baseline_chase,60,60,247,65.2,16.12,5.53,4.18,-63.4,153,38.6,-2.12,-1.13,0.75,-99.9
1d,baseline_chase,70,60,166,67.5,17.66,4.79,4.62,-58.8,100,38.0,-2.77,-1.07,0.72,-99.7
1d,baseline_pullback,60,60,7551,33.1,4.46,6.31,1.6,-100.0,7373,23.5,-3.28,-9.69,0.64,-100.0
1d,baseline_pullback,60,70,6983,34.6,4.84,6.55,1.66,-100.0,6235,24.7,-3.14,-8.51,0.64,-100.0
1d,baseline_pullback,60,80,5098,35.0,4.99,5.62,1.69,-100.0,4344,26.7,-2.48,-5.87,0.7,-100.0
1d,regime_adaptive,60,60,1002,32.7,0.28,0.2,1.03,-100.0,2409,40.7,4.01,5.09,1.62,-100.0
1d,regime_adaptive,60,70,846,34.0,0.59,0.42,1.07,-100.0,2211,41.3,3.36,4.19,1.54,-100.0
1d,regime_adaptive,60,80,641,37.8,1.89,1.12,1.23,-99.9,1722,43.4,3.37,4.16,1.57,-100.0
1d,regime_adaptive,70,60,946,31.0,-0.62,-0.44,0.93,-100.0,2399,40.8,4.05,5.13,1.63,-100.0
1d,regime_adaptive,70,70,790,32.0,-0.46,-0.32,0.95,-100.0,2201,41.4,3.41,4.23,1.55,-100.0
1d,regime_adaptive,70,80,585,35.4,0.59,0.34,1.07,-100.0,1712,43.6,3.43,4.21,1.59,-100.0
1d,regime_adaptive,80,70,747,29.9,-1.67,-1.19,0.81,-100.0,2188,41.5,3.49,4.33,1.57,-100.0
1d,regime_adaptive,80,80,542,32.7,-0.99,-0.57,0.89,-100.0,1699,43.7,3.54,4.33,1.61,-100.0
1d,both_always,60,60,7798,34.1,4.83,6.98,1.65,-100.0,7526,23.8,-3.26,-9.76,0.64,-100.0
1d,both_always,60,70,7230,35.6,5.22,7.24,1.72,-100.0,6388,25.0,-3.11,-8.59,0.65,-100.0
1d,both_always,60,80,5345,36.4,5.5,6.4,1.78,-100.0,4497,27.1,-2.47,-5.98,0.7,-100.0
1d,both_always,70,60,7717,33.9,4.74,6.8,1.64,-100.0,7473,23.7,-3.28,-9.75,0.64,-100.0
1d,both_always,70,70,7149,35.3,5.14,7.06,1.71,-100.0,6335,24.9,-3.13,-8.58,0.65,-100.0
1d,both_always,70,80,5264,36.0,5.39,6.2,1.76,-100.0,4444,26.9,-2.49,-5.96,0.7,-100.0
1d,both_always,80,70,7090,35.0,5.0,6.83,1.69,-100.0,6292,24.8,-3.14,-8.58,0.64,-100.0
1d,both_always,80,80,5205,35.6,5.2,5.94,1.73,-100.0,4401,26.8,-2.5,-5.96,0.7,-100.0
1w,baseline_chase,60,60,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1w,baseline_chase,70,60,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1w,baseline_pullback,60,60,518,48.8,16.6,3.72,2.55,-99.1,149,21.5,-16.14,-7.67,0.16,-100.0
1w,baseline_pullback,60,70,291,51.9,17.37,2.93,2.68,-96.5,100,19.0,-16.72,-7.16,0.13,-100.0
1w,baseline_pullback,60,80,149,51.7,14.58,2.05,2.5,-78.2,53,22.6,-14.17,-4.22,0.2,-100.0
1w,regime_adaptive,60,60,27,48.1,0.43,0.06,1.05,-54.3,23,34.8,-9.74,-1.78,0.32,-95.6
1w,regime_adaptive,60,70,10,70.0,4.1,0.32,1.59,-51.9,17,35.3,-7.52,-1.8,0.32,-72.8
1w,regime_adaptive,60,80,4,75.0,14.14,1.03,10.05,-6.2,8,50.0,2.19,0.38,1.45,-12.9
1w,regime_adaptive,70,60,27,48.1,0.43,0.06,1.05,-54.3,23,34.8,-9.74,-1.78,0.32,-95.6
1w,regime_adaptive,70,70,10,70.0,4.1,0.32,1.59,-51.9,17,35.3,-7.52,-1.8,0.32,-72.8
1w,regime_adaptive,70,80,4,75.0,14.14,1.03,10.05,-6.2,8,50.0,2.19,0.38,1.45,-12.9
1w,regime_adaptive,80,70,10,70.0,4.1,0.32,1.59,-51.9,17,35.3,-7.52,-1.8,0.32,-72.8
1w,regime_adaptive,80,80,4,75.0,14.14,1.03,10.05,-6.2,8,50.0,2.19,0.38,1.45,-12.9
1w,both_always,60,60,518,48.8,16.6,3.72,2.55,-99.1,149,21.5,-16.14,-7.67,0.16,-100.0
1w,both_always,60,70,291,51.9,17.37,2.93,2.68,-96.5,100,19.0,-16.72,-7.16,0.13,-100.0
1w,both_always,60,80,149,51.7,14.58,2.05,2.5,-78.2,53,22.6,-14.17,-4.22,0.2,-100.0
1w,both_always,70,60,518,48.8,16.6,3.72,2.55,-99.1,149,21.5,-16.14,-7.67,0.16,-100.0
1w,both_always,70,70,291,51.9,17.37,2.93,2.68,-96.5,100,19.0,-16.72,-7.16,0.13,-100.0
1w,both_always,70,80,149,51.7,14.58,2.05,2.5,-78.2,53,22.6,-14.17,-4.22,0.2,-100.0
1w,both_always,80,70,291,51.9,17.37,2.93,2.68,-96.5,100,19.0,-16.72,-7.16,0.13,-100.0
1w,both_always,80,80,149,51.7,14.58,2.05,2.5,-78.2,53,22.6,-14.17,-4.22,0.2,-100.0
