above_ma,horizon_d,n,mean,median,win,std
True,1,992,-0.0102547804907737,-0.00979570490370274,0.4022177419354839,0.06765512760818286
True,2,992,-0.0149031935949621,-0.01890453567566519,0.3840725806451613,0.08815525463609336
True,3,992,-0.0064608833963683086,-0.012210387990380211,0.4254032258064516,0.10589075370172121
True,4,992,-0.020233516868241676,-0.02725582348752037,0.3790322580645161,0.12058316099553912
True,5,992,-0.014740820674687342,-0.012855054029392077,0.4344758064516129,0.1449323160533417
True,6,992,-0.002326046176284176,-0.004462597158527926,0.4657258064516129,0.16258868356873332
True,7,992,0.005850793595584979,-0.00880069695276059,0.4566532258064516,0.16725166608842434
True,14,992,0.07220399922005175,0.014362624367603494,0.5231854838709677,0.3021599520722278
True,21,992,0.06401102355650796,-0.004516504835450408,0.48185483870967744,0.36478942712414836
True,28,992,0.06206692142667789,-0.032884151542432793,0.43649193548387094,0.41605545793230553
True,35,992,0.06157774590132718,-0.04773627235553407,0.41330645161290325,0.6845341723779544
True,42,992,0.04454051857351578,-0.06470949440208301,0.40725806451612906,0.643412827737011
True,49,992,0.04119168418141553,-0.0878530260524264,0.3558467741935484,0.7485009112497814
True,56,992,0.06829860711491875,-0.08894175158581352,0.3699596774193548,0.9356082297882661
False,1,438,-0.009056857255934728,-0.0042895443592219085,0.4589041095890411,0.06611077489885182
False,2,438,-0.015523439317303109,-0.02222366894394051,0.3835616438356164,0.0712597289283123
False,3,438,-0.017501970906765977,-0.02519674957298368,0.363013698630137,0.08106809331354732
False,4,438,-0.021091845378213382,-0.021731988398655033,0.3356164383561644,0.10198584451333507
False,5,438,-0.027104137069691895,-0.03767276044266077,0.3082191780821918,0.12591433916189076
False,6,438,-0.024757880753142184,-0.03786200252459371,0.3287671232876712,0.12938189586168508
False,7,438,-0.02752409135161227,-0.042746186264255415,0.319634703196347,0.14150987597851192
False,14,438,-0.06351037974086396,-0.08243712437507134,0.2579908675799087,0.24598874010681138
False,21,438,-0.07711081157788949,-0.10572613574638479,0.2534246575342466,0.2810722941998559
False,28,438,-0.09833711734824122,-0.13029634699945147,0.2146118721461187,0.3084215907444628
False,35,438,-0.12063409673394805,-0.16221908065409396,0.1963470319634703,0.29513060084577547
False,42,438,-0.13784505467471775,-0.18228450002772556,0.22146118721461186,0.3208681468906302
False,49,438,-0.16968110943254858,-0.2531346407025589,0.21232876712328766,0.32326341129553443
False,56,438,-0.16291794729421838,-0.24139040416981333,0.21232876712328766,0.35247241064138535
