group,n_trades,mean_ret,median_ret,std_ret,win_rate,payoff,var_adj_ex,mdd,sharpe,avg_holding_days,n_symbols
trend,682,0.0009347502525416562,-0.018969120772348965,0.17507658272913568,0.26832844574780057,2.7845585400734105,-0.2879416112505322,-1.0013607834430494,0.020233328947313625,17.54692082111437,124
follower,606,0.013339385014074267,-0.01422357343638979,0.16459895592716664,0.29207920792079206,3.3195447967067815,-0.25824889226575065,-0.9999545669668864,0.2921637840747037,19.38943894389439,93
whale,131,0.023861810636518592,-0.009367589865218124,0.19628492284338006,0.3893129770992366,2.390132272849165,-0.30000831205505846,-0.9357473812703929,0.40040675479287535,23.229007633587788,30
junk,106,0.036014584345853105,-0.025444046287028538,0.26930815939041336,0.3113207547169811,3.488007400424727,-0.40834387864832894,-0.9941451914850902,0.38198187891595065,30.88679245283019,37
ALL,1525,0.01027187549167658,-0.01726134005743886,0.1812188401797116,0.29114754098360657,3.025586945810241,-0.28873921080484755,-1.0158282641537593,0.20275660188552747,19.694426229508196,284
