Symbol,date,close,intra_pct,gap_in_atr,pattern_T,fwd_5d,fwd_20d,fwd_60d,Name
000020,2025-09-12,6410.0,0.15625,0.15879828326180256,False,-0.6240249609984372,-3.432137285491421,-0.46801872074883066,동화약품
000020,2025-09-15,6420.0,0.15600624024961,0.3815789473684211,False,-1.5576323987538943,-3.89408099688473,-1.5576323987538943,동화약품
000020,2025-09-16,6380.0,-0.6230529595015576,0.4956140350877193,False,0.7836990595611271,-2.6645768025078342,-1.0971786833855801,동화약품
000020,2025-09-18,6400.0,0.1564945226917058,0.4458874458874459,False,0.15624999999999112,-0.6249999999999978,-0.9375000000000022,동화약품
000020,2025-09-19,6370.0,-0.62402496099844,0.4267241379310345,False,-0.31397174254317317,-1.098901098901095,0.31397174254317317,동화약품
000020,2025-09-23,6430.0,1.4195583596214512,0.32286995515695066,False,-1.0886469673405896,-0.9331259720062213,-0.3110419906687367,동화약품
000020,2025-09-24,6420.0,-0.15552099533437014,0.29107981220657275,False,-0.9345794392523366,-2.336448598130836,0.15576323987538387,동화약품
000020,2025-09-25,6410.0,-0.3110419906687403,0.26291079812206575,False,-0.6240249609984372,-2.808112324492984,-0.46801872074883066,동화약품
000020,2025-09-29,6420.0,1.1023622047244095,0.03365384615384615,False,-2.6479750778816147,-4.2056074766355085,-2.6479750778816147,동화약품
000020,2025-12-10,6330.0,0.7961783439490446,0.125,False,0.789889415481837,-4.89731437598736,-3.159557661927326,동화약품
000020,2025-12-11,6380.0,0.7898894154818324,0.2936170212765957,False,-0.6269592476489061,-5.642633228840122,-4.545454545454541,동화약품
000020,2025-12-12,6380.0,-0.6230529595015576,0.3799126637554585,False,0.15673981191222097,-5.799373040752354,-5.485893416927901,동화약품
000020,2026-01-30,6070.0,-0.9787928221859705,0.019120458891013385,False,0.49423393739702615,0.6589785831960571,-0.16474464579900872,동화약품
000020,2026-02-03,6050.0,0.6655574043261231,0.1577981651376147,False,1.983471074380172,-1.3223140495867813,-1.8181818181818188,동화약품
000020,2026-02-04,6160.0,1.8181818181818181,0.30091743119266057,False,0.16233766233766378,-2.5974025974025983,-4.2207792207792245,동화약품
000020,2026-02-05,6160.0,0.0,0.3861566484517304,False,0.32467532467532756,-1.6233766233766267,-4.707792207792205,동화약품
000020,2026-02-06,6100.0,-0.974025974025974,0.3907637655417407,False,1.4754098360655776,0.0,-4.918032786885251,동화약품
000020,2026-02-09,6100.0,-0.16366612111292964,0.31413612565445026,False,6.557377049180335,0.4918032786885185,-3.934426229508192,동화약품
000020,2026-02-10,6170.0,1.1475409836065573,0.28471001757469244,False,7.2933549432739,-1.296596434359809,-5.672609400324147,동화약품
000020,2026-02-11,6170.0,-0.4838709677419355,0.268760907504363,False,8.103727714748787,-2.269043760129663,-2.269043760129663,동화약품
000020,2026-02-12,6180.0,0.1620745542949757,0.25886524822695034,False,7.281553398058249,-1.9417475728155331,-1.7799352750809017,동화약품
000020,2026-02-13,6190.0,0.3241491085899514,0.28113879003558717,False,6.138933764135701,-3.2310177705977328,-0.9693053311793265,동화약품
000020,2026-02-19,6500.0,4.838709677419355,0.45544554455445546,False,-2.1538461538461506,-6.769230769230772,-7.07692307692308,동화약품
000020,2026-04-21,5990.0,-0.33277870216306155,0.16274089935760172,False,1.1686143572620988,-0.16694490818029983,,동화약품
000020,2026-04-22,5970.0,-0.333889816360601,0.3325942350332594,False,2.01005025125629,4.690117252931314,,동화약품
000020,2026-05-26,6040.0,-3.205128205128205,0.11009174311926606,False,-9.43708609271523,,,동화약품
000040,2025-12-05,503.0,-0.984251968503937,0.006711409395972137,False,-1.7892644135188873,-15.705765407554672,-26.838966202783297,KR모터스
000040,2025-12-08,502.0,-2.524271844660194,0.16326530612245,False,-1.195219123505975,-18.924302788844628,-26.49402390438247,KR모터스
000040,2025-12-09,495.0,-1.0,0.3573085846867744,False,0.60606060606061,-17.979797979797986,-25.25252525252525,KR모터스
000040,2025-12-17,498.0,-0.4,0.48148148148148145,False,-3.4136546184738936,-19.076305220883537,-19.277108433734934,KR모터스
000040,2025-12-18,495.0,-1.0,0.42326732673267103,False,-4.2424242424242475,-16.36363636363637,-18.585858585858585,KR모터스
000040,2026-01-28,444.0,-1.1135857461024499,0.22081218274111503,False,-2.9279279279279313,-13.288288288288285,0.6756756756756799,KR모터스
000040,2026-01-29,447.0,0.44943820224719105,0.44139650872818065,False,-3.803131991051456,-21.252796420581653,-1.118568232662187,KR모터스
000040,2026-02-06,439.0,-2.0089285714285716,0.37965260545905877,False,-5.6947608200455635,-15.717539863325737,-11.161731207289293,KR모터스
