직전_저점_MA20w_이하_pct,반등기간_일,숏보유_일,표본수,윈율,평균_숏수익,중위_숏수익,p10_숏수익,p25_숏수익,p75_숏수익,p90_숏수익,표준편차,최대손실,Sharpe_like
10,10,1,1446,0.5283540802213001,-0.005583405521946004,0.005295352263639419,-0.1113338853933884,-0.03951343717366579,0.048065369355416,0.09734225761520693,0.12103859804831507,-1.0,-0.04612913245836896
10,10,2,1440,0.5777777777777777,0.000692834776040823,0.012282449660136696,-0.12402631408310383,-0.04092092223189431,0.06663077159356198,0.12021556703055261,0.13316153478405876,-1.0,0.005202964783819574
10,10,3,1439,0.5448227936066713,-0.00014387225566850034,0.010763610790959222,-0.13260192551168223,-0.047937700364517166,0.0743167162492206,0.14430259314736774,0.14520511836592595,-1.0,-0.0009908208284086328
10,10,4,1437,0.5393180236604036,-0.0009970699458076227,0.012956824932202737,-0.1505193069914924,-0.05998193713240951,0.0897310281614464,0.15880058019402377,0.1617994601062208,-1.0,-0.006162381167112979
10,10,5,1434,0.5523012552301255,-0.0011832241608403873,0.01706606485916673,-0.16538927215458857,-0.06601937397562924,0.09832014842609516,0.16939973556111287,0.17314910498036604,-1.0,-0.006833556321151975
10,10,6,1433,0.5540823447313329,-0.004126261179347878,0.022490301863057893,-0.1831497546067809,-0.07969004660738266,0.09984974730228102,0.18036355246001787,0.1824813062930763,-1.0,-0.02261196647025776
10,10,7,1431,0.5625436757512229,-0.0016138442776483992,0.0212576341380305,-0.19726661772180498,-0.07689895498114374,0.10893412030817978,0.17836124943413312,0.18842904473402383,-1.0,-0.008564732045032728
10,20,1,1608,0.4937810945273632,-0.023022144885709233,-0.0009714318455186222,-0.15560612073069793,-0.051368539875235375,0.04203681747073154,0.09114854629588841,0.14274801776608365,-1.0,-0.16127821069596107
10,20,2,1602,0.5374531835205992,-0.01732644362122601,0.006380073931025909,-0.1604610021065559,-0.055890037292704864,0.06171343712811472,0.11547209253655843,0.15564218210737346,-1.0,-0.11132228671320574
10,20,3,1601,0.509681449094316,-0.018235401772175044,0.0024410740725919755,-0.17330960245066995,-0.06285090729887188,0.0690729680602441,0.13807672807165794,0.16631868864625166,-1.0,-0.10964132726515469
10,20,4,1598,0.5056320400500626,-0.019500941515017082,0.0020294902376229995,-0.20395013519015975,-0.07561713919138913,0.08250854176955635,0.15558396099780616,0.1808010421039085,-1.0,-0.10785856811494295
10,20,5,1595,0.516614420062696,-0.0196126347768485,0.004267287937500752,-0.22801498666123096,-0.08189109057993882,0.09213178757606916,0.16440655074755556,0.191080731203423,-1.0,-0.10264056795956598
10,20,6,1594,0.5213299874529486,-0.021304142031215795,0.009132287877236522,-0.23382327836734723,-0.09278468169158277,0.09423995294995835,0.17404409751426275,0.1991658264269798,-1.0,-0.10696685477328378
10,20,7,1593,0.5342121782799749,-0.01885302400568836,0.012212500166473572,-0.23526409652821229,-0.09443934827239753,0.10279637652619145,0.1747174840524708,0.20583873910045591,-1.0,-0.09159123344846899
10,40,1,1958,0.440755873340143,-0.04956972680321984,-0.010169830227236276,-0.22623622023384934,-0.08542939147146889,0.03503515158193052,0.08221953393680109,0.1683936897810696,-1.0,-0.29436807797053416
10,40,2,1949,0.474089276552078,-0.04614537818020197,-0.006112929449268334,-0.24838498665634282,-0.08881066811074256,0.051435086566475885,0.10579798245702068,0.18257437196902884,-1.0,-0.2527483878626179
10,40,3,1945,0.45758354755784064,-0.04763837732289142,-0.0088373208667063,-0.2574058705138047,-0.09749295853202833,0.058210784313725616,0.12462130465252726,0.1947428611760918,-1.0,-0.24462194421502054
10,40,4,1941,0.4549201442555384,-0.04992916526075732,-0.013728350727565175,-0.27798793579388614,-0.1038478861580785,0.06639004149377581,0.14234786934173427,0.20832511309604881,-1.0,-0.23966944992242656
10,40,5,1937,0.4599896747547754,-0.049856838871917115,-0.014767880476319828,-0.29095713760472885,-0.10994924334993894,0.07767627918084652,0.15478312371381134,0.21542593059536216,-1.0,-0.23143378670399703
10,40,6,1933,0.47387480600103465,-0.050925472808119425,-0.010525707731093181,-0.27968940490631017,-0.11677687557738103,0.07742049875363732,0.15646933435322358,0.2227127393935103,-1.0,-0.2286599004026411
10,40,7,1930,0.4854922279792746,-0.05028560604334824,-0.005242884748207444,-0.29357145115148603,-0.12169986879089284,0.08697972608350663,0.16232478910684658,0.23108487126924418,-1.0,-0.2176066558020534
10,60,1,2057,0.42732134175984443,-0.053303157671625905,-0.012880490454911131,-0.2304011257331671,-0.09260304912478823,0.0334835434373395,0.07937653360330338,0.16811374900903675,-1.0,-0.31706602217740476
10,60,2,2047,0.45774303859306303,-0.04968226952677744,-0.011158057037938818,-0.2537787884967298,-0.09400662641451063,0.04789850441119359,0.10201575173102927,0.18054997968773345,-1.0,-0.27517183669975703
10,60,3,2042,0.4407443682664055,-0.05120266742035929,-0.012700023259475723,-0.2624883711615595,-0.10208229628503934,0.05461781299810892,0.12136499302933597,0.1928346419843708,-1.0,-0.2655262918190252
10,60,4,2038,0.4411187438665358,-0.05309611450547128,-0.01696163314544119,-0.27995947526720166,-0.10847985770947088,0.06159508729575186,0.13962284189330518,0.20625743781563158,-1.0,-0.2574264233464036
10,60,5,2034,0.4488692232055064,-0.052829840938353,-0.01700250928396152,-0.2917277203221116,-0.1142297683891082,0.07416451368263605,0.15188411156076684,0.21330179855949202,-1.0,-0.2476764907522251
10,60,6,2030,0.45911330049261084,-0.05463802578768384,-0.014437510710200718,-0.2848919661105239,-0.12097517000816649,0.07376071941583862,0.15196510502957275,0.22127564141385514,-1.0,-0.24692291224904203
10,60,7,2026,0.47186574531095754,-0.054063142478781225,-0.009601566920418136,-0.2966228232822745,-0.12863411928095403,0.0832674380862354,0.15910513480489086,0.2291164668007207,-1.0,-0.2359635832102975
20,10,1,673,0.612184249628529,0.013387478986894703,0.018922907365550135,-0.10196955774256744,-0.02946624842542045,0.06953476738369191,0.13805609750427575,0.12537493549868683,-1.0,0.10677954834947789
20,10,2,673,0.6671619613670133,0.024588507712954285,0.027876731392318388,-0.10420402719531263,-0.02864525980413757,0.09486697124428922,0.1622574769782893,0.13549719942840893,-1.0,0.18146875224491874
20,10,3,672,0.6175595238095238,0.02817181189122215,0.033111593084798,-0.1182799056821069,-0.031050842289658043,0.10620459078452818,0.1746909819847223,0.13900075440240894,-1.0,0.20267380570945967
20,10,4,671,0.6259314456035767,0.02557324720758247,0.03782255469464624,-0.13979250196337767,-0.04011914159652441,0.1191259646216335,0.1841451292246521,0.16034965387197947,-1.0,0.15948426822299056
20,10,5,670,0.6238805970149254,0.02620307676336199,0.04071715926681241,-0.1388566696064939,-0.04549130446051547,0.1302789911506079,0.19663287869198173,0.16570017415358507,-0.8626347995499821,0.15813548113156925
20,10,6,670,0.6014925373134329,0.02467050584284526,0.04568520397786113,-0.15269929489078435,-0.060397358926749634,0.13220321743190164,0.21016804753345228,0.17837614385240586,-1.0,0.13830608348198417
20,10,7,669,0.5994020926756353,0.024651810166099346,0.04352722798089548,-0.1786981994683124,-0.06154960173787116,0.13197461095529472,0.2211372731742344,0.18606889451178765,-1.0,0.132487540331668
20,20,1,890,0.5786516853932584,-0.0017496857514360926,0.012816889612581595,-0.1175218277410195,-0.03725115902922754,0.06114120208247131,0.11924298202873927,0.13881085472150118,-1.0,-0.012604819377753419
20,20,2,890,0.6191011235955056,0.0075505141869263576,0.02102980972784735,-0.12426929239133946,-0.03750238761080982,0.08143360902112981,0.14709854439849854,0.14727085584527574,-1.0,0.05126957498542009
20,20,3,889,0.5669291338582677,0.009038556372153112,0.01960000680658791,-0.13704309412077367,-0.043298144884350576,0.09346277592446839,0.16026220303682984,0.15399200223792006,-1.0,0.05869497273104093
20,20,4,888,0.5777027027027027,0.006654184389186321,0.02741168636711544,-0.15791748921808138,-0.053507107065625004,0.11107733365964309,0.17366367525245158,0.1773417093767704,-1.0,0.037521823899019764
20,20,5,887,0.5749718151071026,0.006113996730278631,0.024802301730051823,-0.16557088458485786,-0.06315408302434966,0.11613121323407755,0.18803525315567737,0.18442453587539062,-1.0,0.033151753378463975
20,20,6,887,0.5614430665163472,0.0037595094573385822,0.030267411107846143,-0.18252767223910754,-0.07736257755499643,0.11848999572298341,0.19586340766779592,0.19432352856302063,-1.0,0.019346650841199315
20,20,7,886,0.5665914221218962,0.005666595937248803,0.026661192862242222,-0.2010688451435343,-0.07972864453641221,0.12406693456041862,0.2035652802556175,0.19748801050454473,-1.0,0.02869336686704026
20,40,1,1348,0.47997032640949555,-0.04494089092806691,-0.004227351217793718,-0.236568257811126,-0.0752798304242781,0.045459067987010104,0.09743063278809001,0.17975196768558285,-1.0,-0.2500161278160597
20,40,2,1345,0.5137546468401487,-0.03794734557609918,0.0032996564275264983,-0.25796835387277073,-0.07817360762669345,0.06583802281914553,0.12014403434946146,0.19148885401946045,-1.0,-0.19816999673642993
20,40,3,1343,0.4914370811615786,-0.03812973154672541,-0.002496166202133443,-0.2601111809371658,-0.08359959046090926,0.07194386296190475,0.14515897061931984,0.20226119878112953,-1.0,-0.1885172824867229
20,40,4,1340,0.48582089552238805,-0.041732704807593085,-0.0056066441320794524,-0.27943363320643416,-0.09476526579342537,0.08348681893710816,0.15616925819584915,0.2160424611102593,-1.0,-0.19316899369283896
20,40,5,1338,0.49327354260089684,-0.042093275981363316,-0.004272015897851089,-0.29065831570359224,-0.10209828363047241,0.08949825388171681,0.16837257139576176,0.223489900861937,-1.0,-0.18834531591370132
20,40,6,1337,0.5048616305160808,-0.04101529128029699,0.0020202020202021442,-0.27809879736987514,-0.10838350453255075,0.09174425982824286,0.1772807152912712,0.23170920853763324,-1.0,-0.1770119173905661
20,40,7,1335,0.5108614232209738,-0.04146422409207174,0.005222218164554704,-0.2946285782763174,-0.10846524939912539,0.10012160072129078,0.17505404480220518,0.24047945380636068,-1.0,-0.17242314649242194
20,60,1,1592,0.4591708542713568,-0.04966288183320475,-0.007566216439643503,-0.24137219571526136,-0.08749255139469642,0.04139806725444417,0.09040067009739222,0.17780293527530192,-1.0,-0.2793141843035888
