Symbol,Name,TF,binding,close,today_low,drop_buf_pct,close_to_MA20_pct
086790,하나금융지주,1W,MA20,129300.0,121300.0,2.2837255551872735,7.246713070378965
018880,한온시스템,1W,MA10,5680.0,4860.0,2.2925050301810797,20.801056338028168
001800,오리온홀딩스,1W,MA10,26700.0,26000.0,2.4398073836276124,7.041198501872659
336260,두산퓨얼셀,1W,MA10,77700.0,75800.0,2.4848317705460614,26.615186615186616
009830,한화솔루션,1M,MA10,38700.0,36700.0,2.5046142488003036,21.79328165374677
204320,HL만도,1W,MA10,70600.0,60600.0,2.588021044111693,18.61543909348442
499790,GS피앤엘,1M,MA10(P),48100.0,47200.0,2.6507276507276507,
035420,NAVER,1M,MA10,248000.0,245500.0,2.7390552995391655,7.935483870967743
483650,달바글로벌,1W,MA20,196900.0,189500.0,2.8157875643909143,5.063484002031489
454910,두산로보틱스,1W,MA10,111400.0,110400.0,2.823800974608878,8.572710951526032
322000,HD현대에너지솔루션,1W,MA20,158100.0,152600.0,2.9497605493810375,4.108159392789374
000540,흥국화재,1Q,MA20,3715.0,3655.0,2.988848298404151,2.8465679676985194
000150,두산,1W,MA10,1709000.0,1692000.0,3.126306110507394,18.926272674078408
006220,제주은행,1Q,MA10,12290.0,11450.0,3.5255143554573944,14.5240032546786
010690,화신,1M,MA10,10780.0,10470.0,4.549430161675053,16.048237476808904
084670,동양고속,1M,MA10,36700.0,35950.0,4.8664850136239775,41.51907356948229
092200,디아이씨,1M,MA10,8950.0,8950.0,4.981644054269756,27.058659217877096
014910,성문전자,1W,MA20,2120.0,2080.0,5.03032345013477,4.372641509433964
