lookback_N,threshold_X,hold_H,count,win_rate,mean_short,mean_capped,median_short,p25,p75,std,sharpe_like
5,0.2,5,14661,0.5889775595116294,-0.007184397594620512,0.002127852950199953,0.03621730382293764,-0.07804428044280454,0.13107611875272296,0.48566515286068923,-0.0147929032015219
5,0.2,10,14636,0.5945613555616288,-0.014350293639630996,-0.004260017038188102,0.048909088242313936,-0.11265280274802414,0.1636828059110981,0.3379252535439538,-0.04246588110575897
5,0.2,20,14318,0.6130744517390697,-0.02780752505588986,0.0034407525596188,0.08668799243823394,-0.1481598629289292,0.23668526474111298,0.5044773609174805,-0.05512145283450778
5,0.2,40,13710,0.6582786287381474,-0.006071383500002199,0.056502127996770034,0.14038193071745286,-0.12153714050777542,0.3344963367656263,0.7703410274761854,-0.00788142301065471
5,0.2,60,13293,0.6754682915820357,0.002059948343833925,0.0794252215438047,0.17102935974531297,-0.11242603550295849,0.37041822509350564,0.9873104989604986,0.0020864240236508837
5,0.3,5,6498,0.60310864881502,-0.0073743973714321615,0.0043620269812892935,0.04823554187963114,-0.08765114572402494,0.15179514934085844,0.3596442360838746,-0.02050470056667984
5,0.3,10,6490,0.6027734976887519,-0.017218998184259683,-0.0015095673855568118,0.058452013823242166,-0.12752848242146464,0.18659784098526652,0.39472422167766125,-0.043622856765858725
5,0.3,20,6349,0.6177350763899827,-0.0349431101889062,0.010938586628403373,0.10101801096319507,-0.15576781778104332,0.26720183486238536,0.5828200395319745,-0.05995523114985336
5,0.3,40,6040,0.6731788079470199,-0.007554682376816079,0.07366656627690016,0.1706705823430174,-0.11964252185075203,0.3725830928490372,0.8589787054147596,-0.008794958861254058
5,0.3,60,5805,0.6921619293712317,-0.0036517977443934475,0.09818240423615787,0.2028213617388801,-0.10102339181286557,0.4074906367041198,1.1704605961884398,-0.0031199664100486487
5,0.5,5,2197,0.6226672735548475,-0.00441560624541438,0.01843601940217911,0.06586897287051308,-0.09170833562283631,0.19366156005145607,0.49512370266065586,-0.008918187963303213
5,0.5,10,2193,0.6233470132238942,-0.0029814275490262112,0.0174784979905187,0.08409570724841664,-0.14056516123184304,0.23504056795131856,0.44448668807886316,-0.006707574442583151
5,0.5,20,2141,0.6445586174684726,-0.019233832412811763,0.039619176842457984,0.13910891089108912,-0.14459383753501398,0.3150234741784037,0.6453869444660544,-0.02980201656964787
5,0.5,40,2017,0.7074863658899355,0.027186098232530757,0.11494898971652263,0.21953488372093022,-0.07903375658098488,0.4203910614525139,0.8983725022201349,0.03026149861593732
5,0.5,60,1910,0.7319371727748691,0.05860613084737203,0.14932209251778555,0.2543686766540227,-0.044579221491228005,0.46612097028743826,0.968006575216298,0.060543112358794345
5,1.0,5,418,0.6602870813397129,-0.030350337943059497,0.05240945239186935,0.1262917440114018,-0.06976948388247156,0.2748285651671848,0.9273184968503071,-0.032729141116182026
5,1.0,10,417,0.6402877697841727,0.021208349402571415,0.055926935110238704,0.14445089314503123,-0.17941218433442718,0.3358977978543196,0.5553729408920339,0.038187581426827884
5,1.0,20,407,0.6609336609336609,-0.0080538757087322,0.09354633239699729,0.2240692135705259,-0.15395036008700602,0.4034613576895286,0.8634888169792045,-0.009327133774479631
5,1.0,40,369,0.7317073170731707,0.01854123100805933,0.18660255267964976,0.29251487629188855,-0.04716187459791166,0.5255263298869663,1.2279759671963375,0.015099017817418592
5,1.0,60,344,0.7441860465116279,0.03435306638257766,0.19832477578507668,0.3388233288210555,-0.009740228637578896,0.546882221288089,1.24708192916234,0.027546759823271975
5,2.0,5,67,0.6119402985074627,-0.28900663771923146,0.09360325700116427,0.14451003541912633,-0.14960154896915656,0.38724951083065245,2.0642574249848393,-0.14000513415682836
5,2.0,10,67,0.5970149253731343,0.11681252053926326,0.12819867745132132,0.13145539906103298,-0.24084445175983127,0.4940895369390901,0.557700590382082,0.20945382263130605
5,2.0,20,66,0.6666666666666666,0.08676026950752865,0.14843772034887892,0.29633047114851857,-0.32228540952870216,0.622172352994488,0.7797192710192582,0.11127116224037223
5,2.0,40,56,0.6785714285714286,0.24132750809279896,0.26674190285833876,0.38273123602885323,-0.1633145687018609,0.6883886312839239,0.6063634131113242,0.39799153919019986
5,2.0,60,42,0.5952380952380952,0.16581834959635758,0.17626000717541973,0.26455954143008564,-0.24723038010635146,0.5143442817354404,0.5145336144661561,0.3222692258277412
10,0.2,5,27782,0.5546037002375639,-0.010929766323990104,-0.007090989769898054,0.020173170028920995,-0.08750907155345672,0.11232560068067676,0.24239361270601642,-0.04509098322341568
10,0.2,10,27726,0.5710524417514247,-0.021529998980848317,-0.012235091249110028,0.0358393140333203,-0.12008241484811555,0.14956088194011227,0.32233367693458137,-0.06679413453040434
10,0.2,20,27029,0.5980983388212661,-0.038359820040497844,-0.006959473818021673,0.06602931803696621,-0.14307078763708891,0.2145908081325817,0.6501588194585354,-0.05900069166552971
10,0.2,40,25932,0.6574888169057536,-0.003080178513908491,0.0479670555261302,0.12754184729280255,-0.11630022432002168,0.3045474414152817,0.7016236926550747,-0.004390071980398099
10,0.2,60,25283,0.6618676581101927,0.006422563667932838,0.06897269215486582,0.1498810467882632,-0.1222134526001929,0.35353974610947403,0.8686962432919976,0.0073933365287663635
10,0.3,5,13995,0.559199714183637,-0.01568386080972965,-0.009945312346870723,0.024544179523141585,-0.09916988140266536,0.12549400304220198,0.2857993518386865,-0.05487717417421604
10,0.3,10,13967,0.5748550153934273,-0.02932696316328891,-0.01594265386929292,0.0416231538117261,-0.13439185689038835,0.16366350163112547,0.3675161047145647,-0.07979776338254893
10,0.3,20,13648,0.6007473622508792,-0.04208732147342347,-0.0033512308225624003,0.07719682079853885,-0.15017228138573813,0.23787209121607747,0.5433628844779447,-0.07745711508039488
10,0.3,40,13035,0.6665899501342539,-0.01117738260120677,0.05797018665222764,0.15023403291559712,-0.11656914532110851,0.33151595184982535,0.7992688814894366,-0.013984508667943797
10,0.3,60,12652,0.6763357571925387,0.0032951783828738313,0.08432156397571873,0.18136708792494965,-0.11299655769715355,0.385985339325674,0.978230315153305,0.0033685097791693584
10,0.5,5,5152,0.5690993788819876,-0.021065984754542057,-0.00987496773047838,0.03199394483749812,-0.11570098334958878,0.1458540065037774,0.3755396111724512,-0.056095240362988935
