ts,chase_top10,pullback_top10
2026-05-26 22:00 KST,"FUTUUSDT(180), MUUSDT(170), DRAMUSDT(145), APPUSDT(135), SNDKUSDT(125), EWTUSDT(120), AMDUSDT(120), AVGOUSDT(115), GEUSDT(115), GOOGLUSDT(115)","STABLEUSDT(185), JTOUSDT(165), TRUSTUSDT(165), HUSDT(160), PLUMEUSDT(155), ERAUSDT(150), MMTUSDT(145), NILUSDT(145), BICOUSDT(140), USUSDT(140)"
2026-05-26 21:00 KST,"OKLOUSDT(135), ACTUSDT(135), MUUSDT(130), DRAMUSDT(105), FUTUUSDT(105), DOLOUSDT(100), MRVLUSDT(95), APPUSDT(95), UMAUSDT(95), NATGASUSDT(95)","HUSDT(225), STABLEUSDT(185), XANUSDT(165), TRUSTUSDT(165), JTOUSDT(165), PLUMEUSDT(155), NILUSDT(145), MMTUSDT(145), USUSDT(140), BICOUSDT(140)"
2026-05-26 20:00 KST,"ATHUSDT(140), APPUSDT(135), VANAUSDT(130), TRXUSDT(125), MUBARAKUSDT(125), IMXUSDT(120), KLACUSDT(120), VIRTUALUSDT(115), CROSSUSDT(110), MIRAUSDT(105)","HUSDT(245), STABLEUSDT(165), TRUSTUSDT(165), JTOUSDT(165), PLUMEUSDT(160), MAGMAUSDT(145), NILUSDT(145), MMTUSDT(145), ERAUSDT(140), 1MCHEEMSUSDT(135)"
2026-05-26 19:00 KST,"ATHUSDT(180), CROSSUSDT(160), MUBARAKUSDT(155), VIRTUALUSDT(150), VANAUSDT(135), MORPHOUSDT(135), FLYUSDT(120), IMXUSDT(120), ATOMUSDT(110), STRKUSDT(105)","HUSDT(250), NILUSDT(175), JTOUSDT(165), STABLEUSDT(165), TRUSTUSDT(165), PLUMEUSDT(160), ERAUSDT(145), MAGMAUSDT(145), MMTUSDT(145), XANUSDT(145)"
2026-05-26 18:00 KST,"VANAUSDT(145), VIRTUALUSDT(125), MUBARAKUSDT(125), FLYUSDT(120), ATHUSDT(115), STXSTOCKUSDT(115), DYDXUSDT(115), AAOIUSDT(110), MUUSDT(105), GRTUSDT(105)","HUSDT(240), STABLEUSDT(165), JTOUSDT(165), TRUSTUSDT(165), PLUMEUSDT(160), MAGMAUSDT(145), MMTUSDT(145), NILUSDT(140), ERAUSDT(140), XANUSDT(140)"
2026-05-26 17:00 KST,"FLYUSDT(160), DYDXUSDT(150), VIRTUALUSDT(125), OKLOUSDT(120), KLACUSDT(120), VRTUSDT(120), GRTUSDT(115), LWLGUSDT(110), KOPNUSDT(110), NIOUSDT(110)","HUSDT(240), STABLEUSDT(165), JTOUSDT(165), TRUSTUSDT(165), PLUMEUSDT(160), MAGMAUSDT(145), MMTUSDT(145), ERAUSDT(140), 1MCHEEMSUSDT(135), USUSDT(135)"
2026-05-26 16:00 KST,"AIXBTUSDT(125), SENTUSDT(115), KITEUSDT(105), NEWTUSDT(105), XPINUSDT(100), SEIUSDT(95), COSTUSDT(95), RENDERUSDT(90), GMXUSDT(90), POWRUSDT(85)","HUSDT(215), TRUSTUSDT(180), STABLEUSDT(165), XANUSDT(160), MAGMAUSDT(160), MMTUSDT(145), INUSDT(140), JTOUSDT(140), PLUMEUSDT(135), AZTECUSDT(125)"
2026-05-26 15:00 KST,"KITEUSDT(135), SENTUSDT(115), AIXBTUSDT(115), RENDERUSDT(105), JDUSDT(100), GRTUSDT(95), MMTUSDT(95), POWRUSDT(85), RAREUSDT(85), SEIUSDT(85)","HUSDT(235), TRUSTUSDT(180), STABLEUSDT(165), MAGMAUSDT(160), INUSDT(155), MMTUSDT(145), JTOUSDT(140), XANUSDT(140), PLUMEUSDT(135), SAFEUSDT(115)"
2026-05-26 14:00 KST,"AIXBTUSDT(125), APPUSDT(110), RENDERUSDT(105), GRTUSDT(105), HIVEUSDT(105), MELANIAUSDT(100), NEWTUSDT(95), SEIUSDT(95), SPELLUSDT(85), IOTAUSDT(85)","HUSDT(215), PLUMEUSDT(180), TRUSTUSDT(180), STABLEUSDT(165), GENIUSUSDT(160), MAGMAUSDT(160), MMTUSDT(145), XANUSDT(140), JTOUSDT(140), INUSDT(130)"
2026-05-26 13:00 KST,"SEIUSDT(115), RENDERUSDT(115), HIVEUSDT(105), MMTUSDT(100), GRTUSDT(95), MELANIAUSDT(95), OXYUSDT(95), RAREUSDT(90), KMNOUSDT(90), SENTUSDT(90)","HUSDT(230), PLUMEUSDT(185), TRUSTUSDT(180), STABLEUSDT(165), MAGMAUSDT(160), INUSDT(160), GENIUSUSDT(155), MMTUSDT(145), XANUSDT(140), JTOUSDT(140)"
