entry,fwd,n,평균_%,중앙값_%,양수_%
t+0,+1,254,1.1900012990706736,0.549486664263046,60.23622047244095
t+0,+3,254,3.456732440460502,1.3951357654506094,66.14173228346458
t+0,+5,254,5.00266718272399,2.141873342705132,73.62204724409449
t+0,+10,253,7.086855317659405,3.3742602243618025,79.05138339920948
t+5,+1,254,0.5719401503058404,0.3543916769996581,63.38582677165354
t+5,+3,254,1.814893454688651,0.9843000106921167,68.89763779527559
t+5,+5,253,2.0906675423948635,1.035231083929508,64.03162055335969
t+5,+10,248,2.1874852082244223,0.5988818199344523,56.451612903225815
t+8,+1,254,0.04663214410231075,0.08614440977991468,53.937007874015755
t+8,+3,252,0.05902551671538432,-0.05748900429011029,48.41269841269841
t+8,+5,249,-0.005384301192873911,0.08737439930100124,50.602409638554214
t+8,+10,245,0.24925811001787493,-0.14152881557121127,47.3469387755102
t+10,+1,252,-0.20722476886204863,-0.17541500221068296,45.23809523809524
t+10,+3,249,-0.3454124247524163,-0.05676979846721313,48.99598393574297
t+10,+5,248,-0.09217484499522434,-0.10687626076801937,49.193548387096776
t+10,+10,242,0.17204214661775868,-0.050643520348174015,49.586776859504134
t+12,+1,249,-0.06576615413499147,0.02577452446001492,51.40562248995983
t+12,+3,248,0.20027825663537135,0.014292520247738088,50.0
t+12,+5,245,0.2895991628812976,0.06609385327165272,51.83673469387755
t+15,+1,246,-0.004233693493950274,-0.053077349652683084,47.96747967479675
t+15,+3,245,-0.1255957949747967,-0.0514562107646479,48.16326530612245
t+15,+5,242,0.24363458278607406,0.10456497123752578,51.652892561983464
t+18,+1,244,0.2901846478553181,0.11765252476728252,53.68852459016394
