665 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 104/665] BEATUSDT             rows=  5396  ( 0.1s)
[ 105/665] BERAUSDT             rows= 12090  ( 0.1s)
[ 106/665] BEUSDT               rows=  1539  ( 0.1s)
[ 107/665] BGBUSDT              rows= 17279  ( 0.1s)
[ 108/665] BICOUSDT             rows= 18314  ( 0.1s)
[ 109/665] BIGTIMEUSDT          rows= 23683  ( 0.1s)
[ 110/665] BILLUSDT             rows=  1201  ( 0.1s)
[ 111/665] BIOUSDT              rows= 12910  ( 0.1s)
[ 112/665] BIRBUSDT             rows=  3531  ( 0.1s)
[ 113/665] BLESSUSDT            rows=  6598  ( 0.1s)
[ 114/665] BLURUSDT             rows= 29283  ( 0.1s)
[ 115/665] BMNRUSDT             rows=   211  ( 0.1s)
[ 116/665] BNBUSDT              rows= 56816  ( 0.1s)
[ 117/665] BNTUSDT              rows= 25173  ( 0.1s)
[ 118/665] BOMEUSDT             rows= 19868  ( 0.1s)
[ 119/665] BRETTUSDT            rows= 17786  ( 0.1s)
[ 120/665] BREVUSDT             rows=  4074  ( 0.1s)
[ 121/665] BRKBUSDT             rows=   718  ( 0.1s)
[ 122/665] BROCCOLIUSDT         rows= 11901  ( 0.1s)
[ 123/665] BRUSDT               rows= 11083  ( 0.1s)
[ 124/665] BSBUSDT              rows=  2204  ( 0.1s)
[ 125/665] BSVUSDT              rows= 27406  ( 0.1s)
[ 126/665] BTCUSDT              rows= 56816  ( 0.3s)
[ 127/665] BTWUSDT              rows=   497  ( 0.3s)
[ 128/665] BUDUSDT              rows=   234  ( 0.1s)
[ 129/665] BUSDT                rows=  9576  ( 0.1s)
[ 130/665] BXUSDT               rows=   405  ( 0.1s)
[ 131/665] BZUSDT               rows=  2038  ( 0.1s)
[ 132/665] C98USDT              rows= 35685  ( 0.1s)
[ 133/665] CAKEUSDT             rows= 19677  ( 0.1s)
[ 134/665] CARVUSDT             rows= 14903  ( 0.1s)
[ 135/665] CATIUSDT             rows= 15429  ( 0.1s)
