Symbol,date,close,close_ma_atr,gap_in_atr,fwd1,fwd2,fwd3,fwd4,fwd5,fwd6,fwd7,Name,cma_b
000150,2026-06-02,1918000,1.0664788732394366,0.07492957746478873,-6.15224191866528,-9.280500521376434,-17.72679874869656,-18.35245046923879,-17.413972888425445,-15.484880083420228,-1.147028154327423,두산,1.0~1.5
000150,2026-06-04,1800000,0.3716838871823513,0.21530298799218095,-3.3333333333333326,-12.333333333333329,-13.0,-12.0,-9.944444444444445,5.333333333333323,-5.055555555555557,두산,≤0.5
000150,2026-06-05,1740000,0.05054454063110863,0.3755934096621056,-9.310344827586203,-9.999999999999998,-8.965517241379306,-6.83908045977012,8.965517241379306,-1.7816091954023006,,두산,≤0.5
000150,2026-06-12,1896000,0.92103948025987,0.3803098450774613,-9.862869198312241,,,,,,,두산,0.5~1.0
000370,2026-05-18,7120,1.2092675635276533,0.09715994020926756,7.4438202247191,2.2471910112359605,0.0,0.9831460674157411,0.4213483146067398,-4.7752808988763995,-9.55056179775281,한화손해보험,1.0~1.5
000370,2026-05-19,7650,2.3724966622162884,0.17757009345794392,-4.8366013071895475,-6.928104575163396,-6.013071895424837,-6.5359477124183,-11.372549019607847,-15.816993464052286,-17.385620915032685,한화손해보험,2.0~2.5
000370,2026-05-20,7280,1.2292191435768263,0.1385390428211587,-2.197802197802201,-1.2362637362637319,-1.7857142857142905,-6.868131868131866,-11.538461538461542,-13.186813186813184,-16.346153846153843,한화손해보험,1.0~1.5
000370,2026-05-21,7120,0.7605985037406484,0.1745635910224439,0.9831460674157411,0.4213483146067398,-4.7752808988763995,-9.55056179775281,-11.23595505617978,-14.466292134831459,-14.32584269662921,한화손해보험,0.5~1.0
000370,2026-05-22,7190,0.8418491484184915,0.2360097323600973,-0.5563282336578546,-5.702364394993042,-10.43115438108484,-12.100139082058414,-15.2990264255911,-15.159944367176637,-14.88178025034771,한화손해보험,0.5~1.0
000400,2026-05-26,2325,1.2253378378378372,0.10236486486486548,-1.7204301075268824,-7.95698924731183,-12.25806451612903,-16.215053763440856,-18.02150537634408,-18.107526881720425,-18.150537634408604,롯데손해보험,1.0~1.5
