모집단,1봉_퍼센트,2~3봉_퍼센트,4~6봉_퍼센트,7~10봉_퍼센트,11~20봉_퍼센트,21~50봉_퍼센트,51~120봉_퍼센트,121~480봉_퍼센트,480봉이내_안닿음_퍼센트
전체 트리거,4.33,10.32,24.23,37.46,20.8,2.83,0.0,0.0,0.03
주봉 MA20 위 0~10% 밴드,4.52,8.41,21.65,35.51,26.32,3.58,0.0,0.0,0.0
