symbol,ts_kst,close,body_pct,body_to_range,close_now,change_now_pct
ICPUSDT,2026-06-04 06:00,3.169,6.022080963532959,0.9137055837563456,2.86,-9.750710003155575
MEMEUSDT,2026-06-04 06:00,0.0005959,6.050898736429962,0.8153477218225413,0.000543,-8.87732841080719
LINEAUSDT,2026-06-04 06:00,0.00307,6.74547983310152,0.8398268398268391,0.002796,-8.925081433224754
MYXUSDT,2026-06-04 06:00,0.2477,7.27587700303162,0.8615384615384613,0.291,17.48082357690754
ETHFIUSDT,2026-06-04 06:00,0.3701,5.592011412268191,1.0,0.3355,-9.348824641988642
BEATUSDT,2026-06-04 04:00,1.37865,5.232425005724745,0.942786411772794,1.30761,-5.152866935045153
GWEIUSDT,2026-06-04 04:00,0.10665,6.415885052883646,0.9069111424541596,0.09974,-6.4791373652133135
PARTIUSDT,2026-06-04 04:00,0.05649,6.625141562853906,0.9696132596685084,0.05094,-9.824747742963355
STOUSDT,2026-06-04 03:00,0.07924,19.175815912167263,0.8632362897765746,0.06848,-13.579000504795562
OPNUSDT,2026-06-04 02:00,0.2439,17.7691936262675,0.8888888888888891,0.2024,-17.01517015170152
STOUSDT,2026-06-04 02:00,0.06649,8.51966704749469,0.7981651376146786,0.06848,2.9929312678598374
PRLUSDT,2026-06-04 02:00,0.2019,7.165605095541393,0.9121621621621624,0.2082,3.1203566121842496
POETUSDT,2026-06-04 02:00,15.392,6.592797783933518,0.7537608867775138,14.524,-5.639293139293142
XPLUSDT,2026-06-04 02:00,0.1013,6.1956179893070535,0.8981762917933125,0.0855,-15.59723593287265
ZAMAUSDT,2026-06-04 02:00,0.03411,5.964585274930096,0.8971962616822438,0.03073,-9.909117560832604
YBUSDT,2026-06-04 01:00,0.1101,5.967276227141479,0.8732394366197185,0.103,-6.448683015440516
PARTIUSDT,2026-06-04 01:00,0.05,6.609808102345428,0.9967845659164,0.05094,1.8799999999999928
BASEDUSDT,2026-06-04 01:00,0.07208,6.501182033096928,0.8888888888888898,0.06156,-14.594894561598235
QUSDT,2026-06-04 01:00,0.018756,8.434988726368726,0.9681486396814843,0.017843,-4.867775645126878
OPNUSDT,2026-06-04 01:00,0.2071,25.82017010935602,0.9081196581196582,0.2024,-2.2694350555287346
OPNUSDT,2026-06-04 00:00,0.1646,17.823908375089484,0.9325842696629216,0.2024,22.96476306196841
MAGMAUSDT,2026-06-04 00:00,0.4114,7.361883138912814,0.7724534501642928,0.44613,8.441905687895003
XPLUSDT,2026-06-04 00:00,0.09937,6.187219491344308,0.8086592178770955,0.0855,-13.957934990439764
EDGEUSDT,2026-06-03 23:00,0.6909,14.198347107438014,0.7662801070472791,0.6212,-10.088290635403094
ARCUSDT,2026-06-03 23:00,0.07898,11.286459067211482,1.0,0.07422,-6.026842238541404
OPNUSDT,2026-06-03 23:00,0.1397,8.04331013147718,0.920353982300884,0.2024,44.88188976377954
ARUSDT,2026-06-03 23:00,2.622,7.679671457905537,0.9166666666666672,2.349,-10.411899313501133
POETUSDT,2026-06-03 23:00,14.628,7.424542850848198,0.6943681318681316,14.524,-0.7109652720809474
UBUSDT,2026-06-03 23:00,0.11154,6.370398626740421,0.8176254589963277,0.10466,-6.168190783575397
USUSDT,2026-06-03 22:00,0.0137,6.515316436013063,0.8765690376569037,0.013137,-4.109489051094898
VELVETUSDT,2026-06-03 22:00,0.10422,6.054747125267118,0.9519999999999986,0.10465,0.4125887545576796
USELESSUSDT,2026-06-03 22:00,0.10372,5.192697768762692,0.9481481481481504,0.09331,-10.036637099884306
OPNUSDT,2026-06-03 22:00,0.1293,7.750000000000003,0.9489795918367346,0.2024,56.53518948182521
GRASSUSDT,2026-06-03 22:00,0.5225,8.290155440414503,0.9389671361502336,0.4603,-11.904306220095691
MAGMAUSDT,2026-06-03 21:00,0.39169,7.915472779369622,0.9563914780292933,0.44613,13.898746457657854
USARUSDT,2026-06-03 21:00,32.17,7.37650200267023,0.8185185185185201,27.38,-14.88964874106311
PROMUSDT,2026-06-03 20:00,0.9934,9.792219274977883,0.7168284789644009,1.0153,2.20455003019933
VVVUSDT,2026-06-03 20:00,21.207,8.597910692339216,0.9240506329113934,19.486,-8.115244966284717
GMTUSDT,2026-06-03 20:00,0.01085,6.0606060606060685,0.849315068493152,0.00935,-13.824884792626724
SKYAIUSDT,2026-06-03 20:00,0.15153,6.039188243526941,0.9817974971558596,0.16884,11.4234804989111
RAVEUSDT,2026-06-03 20:00,0.42085,5.892861636011372,0.7470494417862841,0.38687,-8.074135677794942
HUSDT,2026-06-03 20:00,0.61172,5.855887035370682,0.6416382252559744,0.55648,-9.030275289348078
ARUSDT,2026-06-03 20:00,2.368,5.0576752440106425,0.8837209302325572,2.349,-0.8023648648648515
HAEDALUSDT,2026-06-03 19:00,0.02862,6.512839598064748,0.9358288770053464,0.02712,-5.241090146750529
FILUSDT,2026-06-03 19:00,0.9454,5.7139662305714,0.9060283687943268,0.884,-6.494605458007194
INUSDT,2026-06-03 19:00,0.10085,5.801510700797307,0.8442748091603043,0.10787,6.960832920178482
MAGMAUSDT,2026-06-03 19:00,0.36533,5.855934167825686,0.9683756588404412,0.44613,22.116990118522992
龙虾USDT,2026-06-03 19:00,0.009163,12.567567567567565,0.8560669456066943,0.00865,-5.59860307759467
WLDUSDT,2026-06-03 19:00,0.5078,6.995364517488413,0.7528344671201811,0.509,0.23631350925560826
LABUSDT,2026-06-03 19:00,17.84511,9.920976883166624,0.8865586692427503,16.20066,-9.215129522877692
EPICUSDT,2026-06-03 19:00,0.571,21.282922684791835,0.9709302325581396,0.5013,-12.20665499124343
BRUSDT,2026-06-03 18:00,0.12395,6.294485893148099,1.0,0.10972,-11.480435659540142
ZORAUSDT,2026-06-03 18:00,0.01352,6.20581304006285,0.7745098039215693,0.01198,-11.390532544378708
CUSDT,2026-06-03 17:00,0.10274,9.495896834701057,0.8954773869346735,0.0993,-3.348257737979364
FFUSDT,2026-06-03 17:00,0.10105,7.362940926476845,0.7057026476578411,0.09441,-6.571004453240977
GPSUSDT,2026-06-03 17:00,0.009286,5.211874008610925,0.8013937282229973,0.006387,-31.219039414171874
CROSSUSDT,2026-06-03 16:00,0.11339,5.469258673611767,0.8099173553719019,0.10116,-10.78578357879884
CUSDT,2026-06-03 16:00,0.09383,5.74777414628648,0.6021251475796928,0.0993,5.829691996163277
MAGMAUSDT,2026-06-03 16:00,0.33756,12.482505831389554,0.926539698243879,0.44613,32.16317099182368
LABUSDT,2026-06-03 16:00,15.99679,12.817194533756396,0.7986465108103366,16.20066,1.2744431851640137
INUSDT,2026-06-03 15:00,0.094,8.394833948339476,0.8792270531400964,0.10787,14.755319148936163
MAGMAUSDT,2026-06-03 15:00,0.3001,8.331528409501116,0.9529314616019806,0.44613,48.66044651782741
BEATUSDT,2026-06-03 15:00,1.2165,7.021263493124769,0.9790235525024522,1.30761,7.489519112207155
DEXEUSDT,2026-06-03 15:00,22.329,6.156698678330331,0.3696831287467889,18.011,-19.338080523086575
WUSDT,2026-06-03 14:00,0.01374,5.529953917050692,0.972972972972974,0.01192,-13.245997088791853
GENIUSUSDT,2026-06-03 14:00,0.56046,5.460635255155791,0.8423802612481843,0.45274,-19.2199264889555
INUSDT,2026-06-03 13:00,0.08385,5.273069679849336,1.0,0.10787,28.646392367322605
FETUSDT,2026-06-03 13:00,0.261,5.030181086519119,0.9541984732824436,0.2452,-6.053639846743298
EPICUSDT,2026-06-03 13:00,0.431,5.070697220867865,0.9327354260089684,0.5013,16.310904872389788
ARKMUSDT,2026-06-03 13:00,0.1386,5.079605761940873,1.0,0.1389,0.21645021645021265
NEARUSDT,2026-06-03 13:00,2.8196,5.205029663072272,0.9432048681541584,2.6969,-4.351681089516244
IOUSDT,2026-06-03 13:00,0.1758,5.269461077844313,0.9565217391304364,0.1752,-0.3412969283276548
MYXUSDT,2026-06-03 13:00,0.4006,5.448802316399052,0.9366515837104068,0.291,-27.358961557663513
GOATUSDT,2026-06-03 13:00,0.01785,5.558840922531045,0.9494949494949514,0.01455,-18.4873949579832
WLDUSDT,2026-06-03 13:00,0.4078,6.308654848800834,0.8705035971223024,0.509,24.816086316821977
USELESSUSDT,2026-06-03 13:00,0.10049,6.904255319148931,0.9759398496240592,0.09331,-7.144989551199117
SUSHIUSDT,2026-06-03 13:00,0.2166,7.868525896414333,1.0,0.2167,0.046168051708225646
SKYAIUSDT,2026-06-03 13:00,0.1791,8.578357077902393,0.914673561732386,0.16884,-5.728643216080412
MYXUSDT,2026-06-03 12:00,0.3799,5.177187153931338,0.9589743589743606,0.291,-23.400894972361154
APRUSDT,2026-06-03 11:00,0.26313,9.651206400800094,0.8948995363214837,0.2299,-12.628738646296503
AIOUSDT,2026-06-03 11:00,0.10429,8.760037543018031,0.9545454545454533,0.10346,-0.7958577044778958
MYXUSDT,2026-06-03 11:00,0.3612,6.737588652482282,0.9460580912863084,0.291,-19.435215946843865
GOATUSDT,2026-06-03 11:00,0.01612,5.221932114882497,0.6896551724137912,0.01455,-9.739454094292794
DEXEUSDT,2026-06-03 10:00,22.617,24.536093827432406,0.7290575916230367,18.011,-20.365212008666052
USUSDT,2026-06-03 10:00,0.012758,7.526337968815842,0.8306976744186048,0.013137,2.9706850603542807
