symbol,ts_kst,close,body_pct,body_to_range,close_now,change_now_pct
USUSDT,2026-06-04 08:00,0.015399,9.042628522872118,0.8417930125247195,0.013137,-14.689265536723164
MYXUSDT,2026-06-04 07:00,0.2812,13.524424707307228,0.768348623853211,0.291,3.4850640113797917
OPNUSDT,2026-06-04 06:00,0.2626,9.280066583437364,0.6696696696696693,0.2024,-22.924600152322927
PLUMEUSDT,2026-06-04 06:00,0.01345,5.490196078431381,0.9722222222222232,0.01216,-9.591078066914493
BASEDUSDT,2026-06-04 06:00,0.07044,5.024601162964064,0.923287671232876,0.06156,-12.606473594548559
SUSHIUSDT,2026-06-04 06:00,0.2349,5.100671140939594,0.8201438848920861,0.2167,-7.74797786292039
WIFUSDT,2026-06-04 06:00,0.1923,5.139420448332417,0.9894736842105276,0.1748,-9.100364014560576
EULUSDT,2026-06-04 06:00,1.096,5.182341650671789,1.0,1.03,-6.0218978102189835
VVVUSDT,2026-06-04 06:00,21.067,5.187737167964857,0.8987889273356395,19.486,-7.504628091327667
AIXBTUSDT,2026-06-04 06:00,0.02712,5.197827773467795,1.0,0.02473,-8.81268436578171
RIVERUSDT,2026-06-04 06:00,5.51,5.293330785400348,0.8656249999999996,5.054,-8.275862068965509
IOUSDT,2026-06-04 06:00,0.1862,5.436013590033974,0.8000000000000009,0.1752,-5.907626208378093
MERLUSDT,2026-06-04 06:00,0.02811,5.478424015009379,0.9419354838709678,0.0251,-10.707933119886158
VIRTUALUSDT,2026-06-04 06:00,0.7488,5.539112050739957,0.9800498753117202,0.684,-8.65384615384615
WLDUSDT,2026-06-04 06:00,0.5514,7.969453691012328,0.7373188405797105,0.509,-7.689517591585054
PENGUUSDT,2026-06-04 06:00,0.007239,5.647985989492122,0.982233502538071,0.006773,-6.437353225583636
ENAUSDT,2026-06-04 06:00,0.11441,5.671007666020128,0.8950437317784258,0.10776,-5.812428983480468
CHILLGUYUSDT,2026-06-04 06:00,0.0095,5.790645879732735,1.0,0.00872,-8.210526315789469
RENDERUSDT,2026-06-04 06:00,2.216,5.927342256214154,0.9920000000000008,2.045,-7.716606498194957
