봉_인덱스,종가변화율_평균_퍼센트,종가변화율_중앙값_퍼센트,MA10거리_평균_퍼센트,MA10거리_중앙값_퍼센트
t+1,0.13947322504273577,-0.20727536532282698,6.545770440981099,5.45346265101242
t+2,0.26120913850602057,-0.27252906976743707,5.703131649265563,4.665934216850945
t+3,0.30741043312414157,-0.3523884103367225,4.824495491693022,3.8828248681720434
t+4,0.3291656975025108,-0.4442366144493834,3.933176766193194,3.1018648673976266
t+5,0.37564749136261527,-0.43873729266987616,3.0870702909799443,2.358573400360077
t+6,0.4008838259595822,-0.5505181347150228,2.2517403070713673,1.655401742147675
t+7,0.4581084439777515,-0.5605935696620065,1.4780248897327242,0.9991844413423329
t+8,0.48340613934967686,-0.5752636625119878,0.7057138190611895,0.26056165512326357
t+9,0.5516794262845214,-0.6571493315205106,0.009078927723574194,-0.3210398559235719
t+10,0.6270105964496961,-0.7533189255943186,0.0435662061331668,-0.34523294778943586
