664 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 105/664] BERAUSDT             rows= 12114  ( 0.2s)
[ 104/664] BEATUSDT             rows=  5420  ( 0.2s)
[ 106/664] BEUSDT               rows=  1563  ( 0.1s)
[ 107/664] BGBUSDT              rows= 17303  ( 0.1s)
[ 108/664] BICOUSDT             rows= 18338  ( 0.2s)
[ 109/664] BIGTIMEUSDT          rows= 23707  ( 0.2s)
[ 110/664] BILLUSDT             rows=  1225  ( 0.2s)
[ 111/664] BIOUSDT              rows= 12934  ( 0.1s)
[ 112/664] BIRBUSDT             rows=  3555  ( 0.1s)
[ 113/664] BLESSUSDT            rows=  6622  ( 0.1s)
[ 114/664] BLURUSDT             rows= 29307  ( 0.1s)
[ 115/664] BMNRUSDT             rows=   235  ( 0.1s)
[ 116/664] BNBUSDT              rows= 56840  ( 0.2s)
[ 117/664] BNTUSDT              rows= 25197  ( 0.2s)
[ 118/664] BOMEUSDT             rows= 19892  ( 0.2s)
[ 119/664] BRETTUSDT            rows= 17810  ( 0.2s)
[ 120/664] BREVUSDT             rows=  4098  ( 0.2s)
[ 121/664] BRKBUSDT             rows=   742  ( 0.1s)
[ 122/664] BROCCOLIUSDT         rows= 11925  ( 0.1s)
[ 123/664] BRUSDT               rows= 11107  ( 0.1s)
[ 124/664] BSBUSDT              rows=  2228  ( 0.1s)
[ 125/664] BSVUSDT              rows= 27430  ( 0.2s)
[ 126/664] BTCUSDT              rows= 56840  ( 0.2s)
[ 127/664] BTWUSDT              rows=   521  ( 0.2s)
[ 128/664] BUDUSDT              rows=   258  ( 0.1s)
[ 129/664] BUSDT                rows=  9600  ( 0.1s)
[ 130/664] BXUSDT               rows=   429  ( 0.2s)
[ 131/664] BZUSDT               rows=  2062  ( 0.2s)
[ 134/664] CARVUSDT             rows= 14927  ( 0.2s)
[ 132/664] C98USDT              rows= 35709  ( 0.2s)
[ 135/664] CATIUSDT             rows= 15453  ( 0.2s)
[ 133/664] CAKEUSDT             rows= 19701  ( 0.2s)
[ 136/664] CATUSDT              rows=    91  ( 0.1s)
[ 137/664] CBRSUSDT             rows=  1082  ( 0.1s)
[ 138/664] CCLUSDT              rows=   258  ( 0.1s)
[ 139/664] CCUSDT               rows=  1510  ( 0.2s)
[ 140/664] CELOUSDT             rows= 29419  ( 0.2s)
[ 141/664] CELRUSDT             rows= 27575  ( 0.1s)
[ 143/664] CFGUSDT              rows=  2443  ( 0.1s)
[ 144/664] CFXUSDT              rows= 29283  ( 0.2s)
[ 145/664] CGNXUSDT             rows=   235  ( 0.2s)
[ 142/664] CETUSUSDT            rows= 14330  ( 0.2s)
[ 146/664] CGPTUSDT             rows= 13249  ( 0.1s)
[ 147/664] CHILLGUYUSDT         rows= 13949  ( 0.1s)
[ 148/664] CHIPUSDT             rows=  1578  ( 0.1s)
[ 149/664] CHRUSDT              rows= 28223  ( 0.2s)
