symbol,bar_ts,last_close,ret_bar,amt_bar,ch_score,dist_ma10,ret_short,ret_24h,ret_72h,vol_burst_24v72,bull_stack,ma10_strong_up,ch_pct,거래대금,ret_bar_str
PHAUSDT,2026-05-26 00:00:00,0.04636,-0.051,,68.0,0.0967,-0.051,0.2726,0.3847,4.03,1,1,52.3,-,-5.1%
AKTUSDT,2026-05-26 00:00:00,0.9032,-0.0264,,67.0,0.0166,-0.0264,0.0203,0.1526,0.49,1,1,51.5,-,-2.64%
BASUSDT,2026-05-26 00:00:00,0.023413,0.0021,,65.0,0.0333,0.0021,0.074,0.0861,0.33,1,1,50.0,-,0.21%
EWYUSDT,2026-05-26 00:00:00,192.6,0.0065,,62.0,0.0131,0.0065,0.0142,0.0663,0.81,1,1,47.7,-,0.65%
MRVLUSDT,2026-05-26 00:00:00,202.97,-0.0039,,62.0,0.0063,-0.0039,0.0173,0.0402,0.64,1,1,47.7,-,-0.39%
ARKMUSDT,2026-05-26 00:00:00,0.1429,-0.0165,,61.0,0.0174,-0.0165,0.064,0.1043,0.32,1,1,46.9,-,-1.65%
ERAUSDT,2026-05-26 00:00:00,0.1517,0.0236,,61.0,0.0761,0.0236,0.2011,0.1778,46.89,1,1,46.9,-,2.36%
ARMUSDT,2026-05-26 00:00:00,313.65,0.0019,,60.0,0.0058,0.0019,0.0073,0.0315,0.25,1,0,46.2,-,0.19%
INFQUSDT,2026-05-26 00:00:00,16.931,0.0172,,60.0,0.0224,0.0172,0.0259,0.0629,0.03,1,1,46.2,-,1.72%
UBUSDT,2026-05-26 00:00:00,0.18962,-0.0022,,59.0,0.0638,-0.0022,0.1478,0.6633,0.32,1,1,45.4,-,-0.22%
AZTECUSDT,2026-05-26 00:00:00,0.02373,0.0064,,58.0,0.0718,0.0064,0.1381,0.1183,2.18,1,1,44.6,-,0.64%
NEARUSDT,2026-05-26 00:00:00,2.6835,-0.0309,,58.0,0.0591,-0.0309,0.1441,0.2701,0.27,1,1,44.6,-,-3.09%
NILUSDT,2026-05-26 00:00:00,0.08376,-0.0128,,58.0,0.0368,-0.0128,0.0678,0.5903,0.7,1,1,44.6,-,-1.28%
EWTUSDT,2026-05-26 00:00:00,99.79,0.0178,,56.0,0.0241,0.0178,0.0377,0.0394,0.85,1,0,43.1,-,1.78%
DEXEUSDT,2026-05-26 00:00:00,17.381,-0.0025,,56.0,0.0378,-0.0025,0.0219,0.2647,0.98,1,1,43.1,-,-0.25%
INJUSDT,2026-05-26 00:00:00,5.606,-0.0106,,55.0,0.0415,-0.0106,0.1055,0.0692,0.34,1,1,42.3,-,-1.06%
MMTUSDT,2026-05-26 00:00:00,0.1374,0.0668,,54.0,0.0685,0.0668,0.101,0.0974,1.41,1,1,41.5,-,6.68%
AMATUSDT,2026-05-26 00:00:00,436.82,0.0079,,53.0,0.0109,0.0079,0.0102,0.0103,0.72,1,0,40.8,-,0.79%
USELESSUSDT,2026-05-26 00:00:00,0.08144,-0.0085,,52.0,0.0222,-0.0085,0.0948,0.1886,0.44,1,1,40.0,-,-0.85%
POLYXUSDT,2026-05-26 00:00:00,0.05706,0.0042,,52.0,0.0168,0.0042,0.0348,0.0213,0.13,1,1,40.0,-,0.42%
LLYUSDT,2026-05-26 00:00:00,1076.27,0.0053,,52.0,0.0061,0.0053,0.0059,0.0117,0.39,1,0,40.0,-,0.53%
BEUSDT,2026-05-26 00:00:00,309.83,0.0062,,51.0,0.0104,0.0062,0.0202,0.0371,0.09,1,0,39.2,-,0.62%
DRIFTUSDT,2026-05-26 00:00:00,0.0336,-0.04,,51.0,0.0797,-0.04,0.2174,0.1831,12.26,1,1,39.2,-,-4.0%
JSTUSDT,2026-05-26 00:00:00,0.09308,0.0011,,51.0,0.002,0.0011,0.0019,0.0012,0.15,1,0,39.2,-,0.11%
STXSTOCKUSDT,2026-05-26 00:00:00,825.46,0.0183,,51.0,0.0199,0.0183,0.0241,0.0183,0.51,1,0,39.2,-,1.83%
STABLEUSDT,2026-05-26 00:00:00,0.03752,-0.0045,,50.0,0.0163,-0.0045,-0.0404,0.0794,0.58,1,1,38.5,-,-0.45%
TRUSTUSDT,2026-05-26 00:00:00,0.07356,-0.0159,,50.0,0.0014,-0.0159,0.0333,0.0385,0.15,1,1,38.5,-,-1.59%
TRXUSDT,2026-05-26 00:00:00,0.37359,0.0053,,50.0,0.0146,0.0053,0.0261,0.029,0.68,1,0,38.5,-,0.53%
TIAUSDT,2026-05-26 00:00:00,0.4696,-0.0078,,50.0,0.0676,-0.0078,0.121,0.1186,0.68,1,1,38.5,-,-0.78%
CUSDT,2026-05-26 00:00:00,0.09562,0.0086,,49.0,0.0467,0.0086,0.0816,0.0852,0.29,1,1,37.7,-,0.86%
FLUXUSDT,2026-05-26 00:00:00,0.07939,-0.0325,,49.0,0.0407,-0.0325,0.0823,0.1529,0.82,1,1,37.7,-,-3.25%
NXPCUSDT,2026-05-26 00:00:00,0.3744,0.0135,,49.0,0.0387,0.0135,0.0573,0.0821,0.19,1,1,37.7,-,1.35%
APLDUSDT,2026-05-26 00:00:00,46.27,-0.0024,,48.0,0.0054,-0.0024,0.0129,0.014,0.01,1,0,36.9,-,-0.24%
NBISUSDT,2026-05-26 00:00:00,218.62,0.0075,,48.0,0.0008,0.0075,0.0045,0.0196,0.08,1,0,36.9,-,0.75%
FLYUSDT,2026-05-26 00:00:00,50.74,0.0148,,48.0,0.016,0.0148,0.0179,0.0195,0.09,1,0,36.9,-,1.48%
