entry,n,평균_%,중앙값_%,양수_%,P25,P75,max,min
t+0,254,-3.637068462745711,-6.815904281698754,37.40157480314961,-24.448485389133708,9.421561904279814,137.73069036226929,-93.25741311179563
t+5,254,-7.942222243387148,-9.005915062578726,31.88976377952756,-26.488171119826816,5.467109265390027,125.4598492828782,-93.96614133763991
t+8,254,-9.509054307638234,-12.087459126497018,28.74015748031496,-27.55091358296942,3.0274772726865957,128.42131187915604,-93.97528392899342
t+10,253,-9.615236486478981,-11.190430252749373,28.85375494071146,-28.243939406690146,2.596357280838934,135.6667937153263,-93.95520098189628
t+12,251,-9.432253145060024,-10.444591904445918,27.88844621513944,-27.886116274557665,1.8852681232870772,134.67296419685402,-93.92026484863788
t+15,248,-9.723565986215123,-10.038665807616768,26.209677419354836,-28.402017975351473,1.3793240847428887,131.12514017527099,-93.97921760391198
t+18,245,-9.660096557290743,-10.16559777926678,27.346938775510203,-28.802320762536255,2.267344969739497,130.48376408217365,-93.94388239897154
t+20,242,-10.254966950612234,-11.500723878847765,27.685950413223143,-28.901233151157843,1.5092581449266407,130.05498367026334,-93.98882092678123
